squad,#_of_players,matches_played,starts,minutes,90s_played,goals_against,goals_against/90,shots_on_target_against,saves,save_percentage,wins,draws,losses,clean_sheets,clean_sheet_percentage,penalty_kicks_attempted,penalty_kicks_allowed,penalty_kicks_saved,penalty_kicks_missed,save%_(penalty_kicks),league,season
Arsenal,2,38,38,"3,420",38,29.0,0.0,83.0,54.0,67.0,28,5,5,18,47,3,2,1,0,33.0,Premier_League,2023_2024
Aston Villa,2,38,38,"3,420",38,61.0,1.0,173.0,115.0,65.0,20,8,10,8,21,2,1,1,0,50.0,Premier_League,2023_2024
Bournemouth,3,38,38,"3,420",38,67.0,1.0,194.0,127.0,68.0,13,9,16,9,23,7,6,1,0,14.0,Premier_League,2023_2024
Brentford,2,38,38,"3,420",38,65.0,1.0,184.0,119.0,65.0,10,9,19,7,18,2,2,0,0,0.0,Premier_League,2023_2024
Brighton,2,38,38,"3,420",38,62.0,1.0,165.0,105.0,66.0,12,12,14,6,15,6,6,0,0,0.0,Premier_League,2023_2024
Burnley,2,38,38,"3,420",38,78.0,2.0,244.0,168.0,70.0,5,9,24,2,5,7,6,1,0,14.0,Premier_League,2023_2024
Chelsea,2,38,38,"3,420",38,63.0,1.0,186.0,125.0,67.0,18,9,11,8,21,5,3,1,1,25.0,Premier_League,2023_2024
Crystal Palace,3,38,38,"3,420",38,58.0,1.0,154.0,98.0,64.0,13,10,15,10,26,3,3,0,0,0.0,Premier_League,2023_2024
Everton,1,38,38,"3,420",38,51.0,1.0,165.0,117.0,73.0,13,9,16,13,34,8,8,0,0,0.0,Premier_League,2023_2024
Fulham,1,38,38,"3,420",38,61.0,1.0,190.0,133.0,72.0,13,8,17,10,26,8,8,0,0,0.0,Premier_League,2023_2024
Liverpool,2,38,38,"3,420",38,41.0,1.0,147.0,108.0,72.0,24,10,4,10,26,1,1,0,0,0.0,Premier_League,2023_2024
Luton Town,2,38,38,"3,420",38,85.0,2.0,223.0,142.0,63.0,6,8,24,2,5,4,4,0,0,0.0,Premier_League,2023_2024
Manchester City,2,38,38,"3,420",38,34.0,0.0,109.0,76.0,71.0,28,7,3,13,34,3,3,0,0,0.0,Premier_League,2023_2024
Manchester Utd,1,38,38,"3,420",38,58.0,1.0,203.0,146.0,74.0,18,6,14,9,23,7,7,0,0,0.0,Premier_League,2023_2024
Newcastle Utd,3,38,38,"3,420",38,62.0,1.0,195.0,133.0,70.0,18,6,14,10,26,5,4,1,0,20.0,Premier_League,2023_2024
Nott'ham Forest,3,38,38,"3,420",38,67.0,1.0,163.0,98.0,61.0,9,9,20,4,10,4,4,0,0,0.0,Premier_League,2023_2024
Sheffield Utd,2,38,38,"3,420",38,104.0,2.0,263.0,166.0,62.0,3,7,28,1,2,7,5,0,2,0.0,Premier_League,2023_2024
Tottenham,1,38,38,"3,420",38,61.0,1.0,167.0,109.0,67.0,20,6,12,7,18,7,7,0,0,0.0,Premier_League,2023_2024
West Ham,2,38,38,"3,420",38,74.0,1.0,241.0,169.0,72.0,14,10,14,5,13,10,8,2,0,20.0,Premier_League,2023_2024
Wolves,2,38,38,"3,420",38,65.0,1.0,203.0,139.0,71.0,13,7,18,5,13,8,8,0,0,0.0,Premier_League,2023_2024
Arda,4,32,32,"2,700",32,,,,,,8,11,13,10,31,1,1,0,0,0.0,Bulgarian_First_League,2021_2022
Beroe,2,32,32,"2,880",32,,,,,,11,8,13,9,28,6,6,0,0,0.0,Bulgarian_First_League,2021_2022
Botev Plovdiv,3,31,31,"2,790",31,,,,,,15,8,8,10,32,2,2,0,0,0.0,Bulgarian_First_League,2021_2022
Botev Vratsa,2,32,32,"2,880",32,,,,,,6,10,16,8,25,5,5,0,0,0.0,Bulgarian_First_League,2021_2022
Cherno More,2,31,31,"2,790",31,,,,,,12,11,8,15,48,3,3,0,0,0.0,Bulgarian_First_League,2021_2022
CSKA 1948,4,32,32,"2,880",32,,,,,,11,8,13,10,31,7,7,0,0,0.0,Bulgarian_First_League,2021_2022
CSKA Sofia,2,31,31,"2,700",31,,,,,,16,10,5,14,45,4,4,0,0,0.0,Bulgarian_First_League,2021_2022
Levski Sofia,2,31,31,"2,790",31,,,,,,15,7,9,15,48,4,4,0,0,0.0,Bulgarian_First_League,2021_2022
Loko Plovdiv,2,32,32,"2,880",32,,,,,,9,11,12,8,25,5,5,0,0,0.0,Bulgarian_First_League,2021_2022
Lokomotiv Sofia,3,32,32,"2,880",32,,,,,,8,10,14,8,25,4,4,0,0,0.0,Bulgarian_First_League,2021_2022
