squad,country,season,uefa_rating,confederation,overall_uefa_rating,uefa_season_ranking,overall_uefa_club_rank
Arouca,Portugal,2022_2023,-1,UEFA,2,-1,95
Willem II,Netherlands,2022_2023,-1,UEFA,0,-1,102
Reims,France,2022_2023,-1,UEFA,0,-1,102
SønderjyskE,Denmark,2022_2023,-1,UEFA,0,-1,102
Piast Gliwice,Poland,2022_2023,-1,UEFA,0,-1,102
Arda,Bulgaria,2022_2023,-1,UEFA,1,-1,98
OFI Crete,Greece,2022_2023,-1,UEFA,0,-1,102
Lechia Gdańsk,Poland,2022_2023,1,UEFA,1,72,98
Hartberg,Austria,2022_2023,-1,UEFA,0,-1,102
Gaziantep FK,Serbia,2022_2023,1,UEFA,8,72,68
Cherno More,Bulgaria,2022_2023,-1,UEFA,0,-1,102
Go Ahead Eag,Netherlands,2022_2023,-1,UEFA,0,-1,102
Radnički Kragujevac,Serbia,2022_2023,-1,UEFA,0,-1,102
Slavia Sofia,Bulgaria,2022_2023,-1,UEFA,0,-1,102
Cracovia,Poland,2022_2023,-1,UEFA,0,-1,102
Mainz 05,Germany,2022_2023,-1,UEFA,0,-1,102
Zagłębie Lubin,Poland,2022_2023,-1,UEFA,0,-1,102
Southampton,England,2022_2023,-1,UEFA,0,-1,102
Celta Vigo,Spain,2022_2023,-1,UEFA,0,-1,102
Heracles Almelo,Netherlands,2022_2023,-1,UEFA,0,-1,102
PAS Giannina,Greece,2022_2023,-1,UEFA,0,-1,102
Sassuolo,Italy,2022_2023,-1,UEFA,0,-1,102
Beroe,Bulgaria,2022_2023,-1,UEFA,0,-1,102
Everton,England,2022_2023,-1,UEFA,0,-1,102
Hertha BSC,Germany,2022_2023,-1,UEFA,0,-1,102
No Match,Greece,2022_2023,-1,UEFA,0,-1,102
Lyngby,Denmark,2022_2023,-1,UEFA,0,-1,102
Marítimo,Portugal,2022_2023,-1,UEFA,0,-1,102
Oostende,Belgium,2022_2023,-1,UEFA,0,-1,102
Zulte Waregem,Belgium,2022_2023,-1,UEFA,0,-1,102
SCR Altach,Austria,2022_2023,-1,UEFA,0,-1,102
No Match,Poland,2022_2023,-1,UEFA,0,-1,102
Mladost Lučani,Serbia,2022_2023,-1,UEFA,0,-1,102
No Match,Bulgaria,2022_2023,-1,UEFA,0,-1,102
Schalke 04,Germany,2022_2023,-1,UEFA,0,-1,102
Bordeaux,France,2022_2023,-1,UEFA,0,-1,102
Górnik Zabrze,Poland,2022_2023,-1,UEFA,0,-1,102
Admira,Austria,2022_2023,-1,UEFA,0,-1,102
Burnley,England,2022_2023,-1,UEFA,0,-1,102
Asteras Tripoli,Greece,2022_2023,-1,UEFA,0,-1,102
Spartak Subotic,Serbia,2022_2023,-1,UEFA,0,-1,102
Utrecht,Netherlands,2022_2023,-1,UEFA,0,-1,102
Torino,Italy,2022_2023,-1,UEFA,0,-1,102
Wolves,England,2022_2023,-1,UEFA,0,-1,102
Saint-Étienne,France,2022_2023,-1,UEFA,0,-1,102
Strasbourg,France,2022_2023,-1,UEFA,0,-1,102
Barcelona,Spain,2022_2023,-1,UEFA,47,-1,19
Valencia,Spain,2022_2023,-1,UEFA,0,-1,102
Atromitos,Greece,2022_2023,-1,UEFA,0,-1,102
No Match,Denmark,2022_2023,-1,UEFA,0,-1,102
Getafe,Spain,2022_2023,-1,UEFA,0,-1,102
Manchester City,England,2023_2024,28,UEFA,88,4,2
Real Madrid,Spain,2023_2024,34,UEFA,93,1,1
Bayern Munich,Germany,2023_2024,28,UEFA,81,4,3
Liverpool,England,2023_2024,20,UEFA,72,14,5
Roma,Italy,2023_2024,21,UEFA,66,12,8
Paris S-G,France,2023_2024,23,UEFA,61,8,10
Dortmund,Germany,2023_2024,29,UEFA,57,2,12
Inter,Italy,2023_2024,20,UEFA,67,14,7
Villarreal,Spain,2023_2024,16,UEFA,52,27,14
Chelsea,England,2023_2024,-1,UEFA,46,-1,22
Leverkusen,Germany,2023_2024,29,UEFA,62,2,9
Benfica,Portugal,2023_2024,14,UEFA,59,31,11
RB Leipzig,Germany,2023_2024,18,UEFA,53,18,13
Atlético Madrid,Spain,2023_2024,24,UEFA,51,7,15
Porto,Portugal,2023_2024,19,UEFA,47,16,19
Manchester Utd,England,2023_2024,7,UEFA,44,43,24
Barcelona,Spain,2023_2024,23,UEFA,47,8,19
West Ham,England,2023_2024,19,UEFA,69,16,6
Arsenal,England,2023_2024,22,UEFA,39,10,30
Atalanta,Italy,2023_2024,28,UEFA,44,4,24
Juventus,Italy,2023_2024,-1,UEFA,37,-1,33
Milan,Italy,2023_2024,16,UEFA,47,27,19
Club Brugge,Belgium,2023_2024,21,UEFA,45,12,23
Napoli,Italy,2023_2024,17,UEFA,51,22,15
Feyenoord,Netherlands,2023_2024,8,UEFA,49,41,18
Sevilla,Spain,2023_2024,6,UEFA,39,49,30
Ajax,Netherlands,2023_2024,5,UEFA,35,54,35
Eint Frankfurt,Germany,2023_2024,7,UEFA,51,43,15
Real Sociedad,Spain,2023_2024,18,UEFA,43,18,26
PSV Eindhoven,Netherlands,2023_2024,17,UEFA,38,22,32
Lazio,Italy,2023_2024,18,UEFA,33,18,37
Sporting CP,Portugal,2023_2024,12,UEFA,42,34,27
Marseille,France,2023_2024,18,UEFA,42,18,27
Lille,France,2023_2024,17,UEFA,34,22,36
RB Salzburg,Austria,2023_2024,7,UEFA,33,43,37
AZ Alkmaar,Netherlands,2023_2024,4,UEFA,36,56,34
Fiorentina,Italy,2023_2024,22,UEFA,42,10,27
Braga,Portugal,2023_2024,7,UEFA,30,43,41
Tottenham,England,2023_2024,-1,UEFA,23,-1,47
Olympiacos,Greece,2023_2024,17,UEFA,28,22,43
FC Copenhagen,France,2023_2024,10,UEFA,72,35,4
FC Copenhagen,Denmark,2023_2024,15,UEFA,72,29,4
Red Star,Serbia,2023_2024,5,UEFA,24,54,46
Gent,Belgium,2023_2024,10,UEFA,32,35,40
PAOK,Greece,2023_2024,15,UEFA,29,29,42
Betis,Spain,2023_2024,6,UEFA,33,49,37
Union SG,Belgium,2023_2024,6,UEFA,25,49,45
