Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches
Yusuf Özdemir,,"MF,DF",Alanyaspor,22,2001,27.4,2,25,10,40.0,0.91,0.36,0.08,0.20,,0,0,Matches
Erdem Özgenç,tr TUR,DF,Pendikspor,38,1984,16.7,1,12,3,25.0,0.72,0.18,0.00,0.00,,1,1,Matches

Alim Öztürk,tr TUR,DF,Samsunspor,30,1992,21.4,0,7,3,42.9,0.33,0.14,0.00,0.00,,0,0,Matches
Alpaslan Öztürk,tr TUR,DF,Pendikspor,30,1993,20.6,2,12,5,41.7,0.58,0.24,0.17,0.40,,0,0,Matches
Bahadır Öztürk,tr TUR,DF,Antalyaspor,27,1995,16.5,1,6,1,16.7,0.36,0.06,0.17,1.00,,0,0,Matches
Eslem Öztürk,tr TUR,MF,İstanbulspor,25,1997,1.8,0,2,0,0.0,1.13,0.00,0.00,,,0,0,Matches
Mehmet Öztürk,tr TUR,GK,Kayserispor,18,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Mithat Pala,tr TUR,MF,Rizespor,22,2000,17.9,0,13,3,23.1,0.73,0.17,0.00,0.00,,0,0,Matches
Murat Paluli,tr TUR,DF,Sivasspor,28,1994,17.0,0,9,0,0.0,0.53,0.00,0.00,,,0,0,Matches
Flavio Paoletti,it ITA,MF,Fatih Karagümrük,20,2003,7.8,1,12,4,33.3,1.53,0.51,0.08,0.25,,0,0,Matches
Abdülkadir Parmak,tr TUR,MF,Hatayspor,28,1994,2.2,0,2,1,50.0,0.90,0.45,0.00,0.00,,0,0,Matches
Abdülkadir Parmak,tr TUR,MF,Sivasspor,28,1994,3.2,0,3,1,33.3,0.93,0.31,0.00,0.00,,0,0,Matches
Bruno Paz,ao ANG,MF,Konyaspor,25,1998,3.4,0,2,0,0.0,0.59,0.00,0.00,,,0,0,Matches
