Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches
Kostas Manolas,gr GRE,DF,Olympiacos,31,1991,2.9,0,,,,,,,,,0,0,Matches
Dimitrios Manos,gr GRE,FW,Ionikos,27,1994,1.6,0,,,,,,,,,0,0,Matches
Georgios Manousos,gr GRE,FW,PAS Lamia,34,1987,12.2,0,,,,,,,,,0,0,Matches
Petros Mantalos,gr GRE,"MF,FW",AEK Athens,30,1991,9.7,2,,,,,,,,,0,0,Matches
Vassilis Mantzis,gr GRE,FW,Ionikos,30,1991,28.3,6,,,,,,,,,0,0,Matches
Marcelo,br BRA,"DF,MF",Olympiacos,34,1988,1.1,0,,,,,,,,,0,0,Matches
Marko Marić,hr CRO,GK,Atromitos,26,1996,1.7,0,,,,,,,,,0,0,Matches
Nikos Marinakis,gr GRE,"DF,MF",OFI Crete,28,1993,6.5,0,,,,,,,,,0,0,Matches
Matej Marković,ba BIH,GK,Levadiakos,26,1996,14.0,0,,,,,,,,,0,0,Matches
Gustavo Marmentini,br BRA,MF,PAS Lamia,28,1994,1.2,0,,,,,,,,,0,0,Matches
Johan Mårtensson,se SWE,MF,Panetolikos,33,1989,18.6,0,,,,,,,,,0,0,Matches
Rubén Martínez,es ESP,MF,PAS Lamia,32,1989,12.0,3,,,,,,,,,0,0,Matches
Giorgos Masouras,gr GRE,MF,Olympiacos,28,1994,15.9,4,,,,,,,,,0,0,Matches
Javier Matilla,es ESP,MF,Volos NFC,33,1988,4.4,0,,,,,,,,,0,0,Matches
Theofanis Mavromatis,gr GRE,DF,Atromitos,25,1997,14.7,0,,,,,,,,,0,0,Matches
Bradley Mazikou,cg CGO,DF,Aris,26,1996,21.4,0,,,,,,,,,0,0,Matches
Jeison Medina,co COL,FW,PAS Lamia,27,1995,5.1,1,,,,,,,,,0,1,Matches
Alfredo Mejía,hn HON,MF,Levadiakos,32,1990,23.7,1,,,,,,,,,0,0,Matches

