Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches
Loïc Bessile,tg TOG,DF,Charleroi,22,1999,13.1,2,15,3,20.0,1.14,0.23,0.13,0.67,17.3,0,0,0,1.9,1.9,0.13,+0.1,+0.1,Matches
Roman Bezus,ua UKR,"MF,FW",Gent,30,1990,11.0,3,36,10,27.8,3.28,0.91,0.06,0.20,24.5,2,1,2,4.5,2.6,0.07,-1.5,-0.6,Matches
Wouter Biebauw,be BEL,GK,Beerschot,37,1984,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lucas Bijker,nl NED,DF,Mechelen,28,1993,23.0,0,6,1,16.7,0.26,0.04,0.00,0.00,21.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Arnaud Bodart,be BEL,GK,Standard Liège,23,1998,25.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches

Merveille Bokadi,cd COD,"MF,DF",Standard Liège,29,1992,16.4,1,20,4,20.0,1.22,0.24,0.05,0.25,13.0,0,0,0,2.7,2.7,0.14,-1.7,-1.7,Matches
Sinan Bolat,tr TUR,GK,Gent,32,1988,25.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Theo Bongonda,cd COD,FW,Genk,25,1995,21.0,10,78,33,42.3,3.72,1.57,0.12,0.27,18.5,0,1,1,10.8,10.1,0.13,-0.8,-1.1,Matches
Indy Boonen,be BEL,MF,Oostende,22,1999,2.8,0,5,3,60.0,1.81,1.09,0.00,0.00,22.6,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
