club_id,club,num_of_players,90s_played,passes_completed,passes_attempted,pass_completion_%,total_passing_distance,progressive_passing_distance,passes_completed_(short),passes_attempted_(short),pass_completion_%_(short),passes_completed_(medium),passes_attempted_(medium),pass_completion_%_(medium),passes_completed_(long),passes_attempted_(long),pass_completion_%_(long),assists,xag:_exp._assisted_goals,xa:_expected_assists,assists_-_xag,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,league,season
277,Troyes,32.0,38.0,12751.0,16193.0,78.0,226331.0,85483.0,5580.0,6477.0,86.0,5447.0,6399.0,85.0,1278.0,2441.0,52.0,26.0,27.0,24.0,-1.0,303.0,941.0,206.0,63.0,1235.0,Ligue_1,2022_2023
277,Troyes,35.0,38.0,13093.0,16828.0,77.0,232760.0,90537.0,6026.0,6920.0,87.0,5156.0,6130.0,84.0,1466.0,2726.0,53.0,23.0,27.0,27.0,-4.0,285.0,937.0,216.0,85.0,1216.0,Ligue_1,2021_2022
278,Tsarsko Selo,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Twente,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Twente,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Twente,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Udinese,30.0,38.0,13391.0,16790.0,79.0,246847.0,93352.0,5689.0,6485.0,87.0,5719.0,6627.0,86.0,1624.0,2751.0,59.0,41.0,37.0,33.0,3.0,384.0,1009.0,295.0,70.0,1354.0,Serie_A,2022_2023
280,Udinese,32.0,38.0,9976.0,13300.0,75.0,185378.0,75887.0,4317.0,5066.0,85.0,4174.0,5111.0,81.0,1234.0,2396.0,51.0,23.0,28.0,23.0,-5.0,329.0,874.0,186.0,76.0,1022.0,Serie_A,2023_2024
280,Udinese,29.0,38.0,11650.0,15251.0,76.0,201058.0,80592.0,5511.0,6357.0,86.0,4617.0,5570.0,82.0,1128.0,2322.0,48.0,36.0,36.0,29.0,0.0,375.0,905.0,280.0,54.0,1226.0,Serie_A,2021_2022
281,Union Berlin,28.0,34.0,10312.0,14418.0,71.0,197596.0,82612.0,4140.0,5021.0,82.0,4555.0,5629.0,80.0,1359.0,2892.0,47.0,38.0,25.0,30.0,12.0,272.0,878.0,255.0,115.0,1012.0,Bundesliga,2022_2023
281,Union Berlin,28.0,34.0,10673.0,14818.0,72.0,204003.0,82846.0,4154.0,5080.0,81.0,4744.0,5871.0,80.0,1458.0,2914.0,50.0,33.0,31.0,31.0,1.0,299.0,815.0,248.0,111.0,1123.0,Bundesliga,2021_2022
281,Union Berlin,30.0,34.0,11004.0,14784.0,74.0,204399.0,86273.0,4534.0,5371.0,84.0,4773.0,5802.0,82.0,1356.0,2658.0,51.0,23.0,25.0,28.0,-2.0,300.0,859.0,233.0,80.0,1146.0,Bundesliga,2023_2024
282,Union SG,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Union SG,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Union SG,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Utrecht,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Utrecht,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Utrecht,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Valencia,34.0,38.0,9627.0,13777.0,69.0,187440.0,77723.0,3923.0,4782.0,82.0,3835.0,4951.0,77.0,1506.0,3098.0,48.0,30.0,25.0,27.0,4.0,288.0,900.0,256.0,75.0,1202.0,La_Liga,2021_2022
284,Valencia,28.0,38.0,13592.0,17492.0,77.0,240816.0,86465.0,6320.0,7184.0,88.0,5505.0,6588.0,83.0,1420.0,2753.0,51.0,23.0,32.0,35.0,-9.0,355.0,1155.0,302.0,111.0,1472.0,La_Liga,2022_2023
