club_id,club,confederation,country,uefa_rating,uefa_season_ranking,overall_uefa_rating,overall_uefa_club_rank,season
118,Greuther Fürth,,,-1,-1,-1,-1,
119,Groningen,,,-1,-1,-1,-1,
119,Groningen,,,-1,-1,-1,-1,
120,Górnik Zabrze,UEFA,Poland,-1,-1,0,102,2021_2022
120,Górnik Zabrze,UEFA,Poland,-1,-1,0,102,2022_2023
120,Górnik Zabrze,UEFA,Poland,-1,-1,0,102,2023_2024
121,Górnik Łęczna,,,-1,-1,-1,-1,
122,Göztepe,,,-1,-1,-1,-1,
123,Hartberg,UEFA,Austria,-1,-1,0,102,2021_2022
123,Hartberg,UEFA,Austria,-1,-1,0,102,2022_2023
123,Hartberg,UEFA,Austria,-1,-1,0,102,2023_2024
124,Hatayspor,,,-1,-1,-1,-1,
124,Hatayspor,,,-1,-1,-1,-1,
124,Hatayspor,,,-1,-1,-1,-1,
125,Heerenveen,,,-1,-1,-1,-1,
125,Heerenveen,,,-1,-1,-1,-1,
125,Heerenveen,,,-1,-1,-1,-1,
126,Heidenheim,UEFA,Germany,-1,-1,0,102,2023_2024
127,Hellas Verona,,,-1,-1,-1,-1,
127,Hellas Verona,,,-1,-1,-1,-1,
127,Hellas Verona,,,-1,-1,-1,-1,
128,Heracles Almelo,UEFA,Netherlands,-1,-1,0,102,2021_2022
128,Heracles Almelo,UEFA,Netherlands,-1,-1,0,102,2023_2024
129,Hertha BSC,UEFA,Germany,-1,-1,0,102,2021_2022
129,Hertha BSC,UEFA,Germany,-1,-1,0,102,2022_2023
130,Hoffenheim,UEFA,Germany,-1,-1,0,102,2021_2022
130,Hoffenheim,UEFA,Germany,-1,-1,0,102,2022_2023
130,Hoffenheim,UEFA,Germany,-1,-1,0,102,2023_2024
131,Horsens,,,-1,-1,-1,-1,
132,Hvidovre IF,,,-1,-1,-1,-1,
133,Inter,UEFA,Italy,18,17,67,7,2021_2022
133,Inter,UEFA,Italy,29,2,67,7,2022_2023
133,Inter,UEFA,Italy,20,14,67,7,2023_2024
134,Ionikos,,,-1,-1,-1,-1,
134,Ionikos,,,-1,-1,-1,-1,
135,Jagiellonia,UEFA,Poland,-1,-1,0,102,2021_2022
135,Jagiellonia,UEFA,Poland,-1,-1,0,102,2022_2023
135,Jagiellonia,UEFA,Poland,-1,-1,0,102,2023_2024
136,Javor Ivanjica,,,-1,-1,-1,-1,
136,Javor Ivanjica,,,-1,-1,-1,-1,
137,Juventus,UEFA,Italy,20,13,37,33,2021_2022
137,Juventus,UEFA,Italy,17,23,37,33,2022_2023
137,Juventus,UEFA,Italy,-1,-1,37,33,2023_2024
138,Kasımpaşa,,,-1,-1,-1,-1,
138,Kasımpaşa,,,-1,-1,-1,-1,
138,Kasımpaşa,,,-1,-1,-1,-1,
139,Kayserispor,,,-1,-1,-1,-1,
139,Kayserispor,,,-1,-1,-1,-1,
139,Kayserispor,,,-1,-1,-1,-1,
140,Konyaspor,,,-1,-1,-1,-1,
140,Konyaspor,,,-1,-1,-1,-1,
140,Konyaspor,,,-1,-1,-1,-1,
141,Korona Kielce,,,-1,-1,-1,-1,
141,Korona Kielce,,,-1,-1,-1,-1,
142,Kortrijk,,,-1,-1,-1,-1,
142,Kortrijk,,,-1,-1,-1,-1,
142,Kortrijk,,,-1,-1,-1,-1,
143,Köln,UEFA,Germany,-1,-1,6,75,2021_2022
143,Köln,UEFA,Germany,6,50,6,75,2022_2023
143,Köln,UEFA,Germany,-1,-1,6,75,2023_2024
144,LASK,UEFA,Austria,15,26,18,50,2021_2022
144,LASK,UEFA,Austria,-1,-1,18,50,2022_2023
144,LASK,UEFA,Austria,3,57,18,50,2023_2024
145,Las Palmas,,,-1,-1,-1,-1,
146,Lazio,UEFA,Italy,9,41,33,37,2021_2022
146,Lazio,UEFA,Italy,6,50,33,37,2022_2023
146,Lazio,UEFA,Italy,18,18,33,37,2023_2024
147,Le Havre,,,-1,-1,-1,-1,
148,Lecce,,,-1,-1,-1,-1,
148,Lecce,,,-1,-1,-1,-1,
149,Lech Poznań,UEFA,Poland,-1,-1,16,55,2021_2022
149,Lech Poznań,UEFA,Poland,14,31,16,55,2022_2023
149,Lech Poznań,UEFA,Poland,2,70,16,55,2023_2024
150,Lechia Gdańsk,UEFA,Poland,-1,-1,1,98,2021_2022
150,Lechia Gdańsk,UEFA,Poland,1,72,1,98,2022_2023
151,Leeds United,,,-1,-1,-1,-1,
151,Leeds United,,,-1,-1,-1,-1,
152,Legia Warsaw,UEFA,Poland,4,54,13,58,2021_2022
152,Legia Warsaw,UEFA,Poland,-1,-1,13,58,2022_2023
152,Legia Warsaw,UEFA,Poland,9,39,13,58,2023_2024
