player_id,player,nation,position,club,age,year_of_birth,league,season,matches_played,starts,minutes,90s_played,goals_against,goals_against/90,shots_on_target_against,saves,save_percentage,wins,draws,losses,clean_sheets,clean_sheet_percentage,penalty_kicks_attempted,penalty_kicks_allowed,penalty_kicks_saved,penalty_kicks_missed,save%_(penalty_kicks)
5487,Jakub Letniowski,POL,MF,Łódzki KS,22,2000,Ekstraklasa,2023_2024,,,,,,,,,,,,,,,,,,,
5488,Jakub Lewicki,POL,"DF,MF",Jagiellonia,16,2005,Ekstraklasa,2022_2023,,,,,,,,,,,,,,,,,,,
5488,Jakub Lewicki,POL,"MF,DF",Jagiellonia,17,2005,Ekstraklasa,2023_2024,,,,,,,,,,,,,,,,,,,
5489,Jakub Lutostanski,POL,FW,Jagiellonia,16,2004,Ekstraklasa,2021_2022,,,,,,,,,,,,,,,,,,,
5490,Jakub Moder,POL,MF,Brighton,22,1999,Premier_League,2021_2022,,,,,,,,,,,,,,,,,,,
5490,Jakub Moder,POL,"MF,DF",Brighton,24,1999,Premier_League,2023_2024,,,,,,,,,,,,,,,,,,,
5491,Jakub Myszor,POL,FW,RKS Raków,21,2002,Ekstraklasa,2023_2024,,,,,,,,,,,,,,,,,,,
5491,Jakub Myszor,POL,"FW,MF",Cracovia,19,2002,Ekstraklasa,2021_2022,,,,,,,,,,,,,,,,,,,
5491,Jakub Myszor,POL,"FW,MF",Cracovia,20,2002,Ekstraklasa,2022_2023,,,,,,,,,,,,,,,,,,,
5491,Jakub Myszor,POL,MF,Cracovia,21,2002,Ekstraklasa,2023_2024,,,,,,,,,,,,,,,,,,,
5492,Jakub Nowakowski,POL,MF,Radomiak Radom,19,2001,Ekstraklasa,2021_2022,,,,,,,,,,,,,,,,,,,
5492,Jakub Nowakowski,POL,MF,Radomiak Radom,20,2001,Ekstraklasa,2022_2023,,,,,,,,,,,,,,,,,,,
5493,Jakub Ojrzynski,POL,GK,Radomiak Radom,19,2003,Ekstraklasa,2022_2023,1.0,1.0,90,1.0,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
