Player,Nation,Position,Squad,Age,Year of birth,90s Played,Passes Attempted,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Completed,Passes Offside,Passes Blocked,Matches
Bouna Sarr,sn SEN,DF,de Bayern Munich,31,1992,0.1,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0,Matches
Leo Sauer,sk SVK,"MF,FW",nl Feyenoord,17,2005,0.2,11,11,0,0,0,0,0,0,0,0,0,0,11,0,0,Matches
Stefan Savić,me MNE,DF,es Atlético Madrid,32,1991,4.6,289,287,1,1,0,1,0,0,0,0,0,0,257,1,4,Matches
Liam Scales,ie IRL,DF,sct Celtic,24,1998,6.0,583,570,13,13,1,0,2,0,0,0,0,0,519,0,5,Matches
Fabian Schär,ch SUI,DF,eng Newcastle Utd,31,1991,6.0,285,274,10,9,0,4,0,1,0,0,0,0,247,1,1,Matches
Alexander Schlager,at AUT,GK,at RB Salzburg,27,1996,6.0,256,194,62,16,0,0,0,0,0,0,0,0,197,0,0,Matches
Xaver Schlager,at AUT,MF,de RB Leipzig,25,1997,6.9,350,326,18,18,0,3,4,0,0,0,0,0,294,6,7,Matches

Nico Schlotterbeck,de GER,DF,de Dortmund,23,1999,10.8,672,628,42,19,1,14,4,1,0,0,0,0,568,2,8,Matches
Jerdy Schouten,nl NED,"MF,DF",nl PSV Eindhoven,26,1997,6.9,367,361,5,4,0,0,0,0,1,0,0,0,332,1,2,Matches
Nicolas Seiwald,at AUT,MF,de RB Leipzig,22,2001,3.0,79,76,2,2,0,1,2,0,0,0,0,0,60,1,3,Matches
Benjamin Šeško,si SVN,FW,de RB Leipzig,20,2003,4.5,88,81,7,0,0,0,2,0,0,0,0,0,63,0,1,Matches
Luke Shaw,eng ENG,DF,eng Manchester Utd,28,1995,1.5,66,52,14,3,0,2,3,10,1,0,1,0,47,0,1,Matches
Maryan Shved,ua UKR,FW,ua Shakhtar,26,1997,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Danylo Sikan,ua UKR,FW,ua Shakhtar,22,2001,5.3,101,91,10,0,0,0,3,0,0,0,0,0,75,0,7,Matches
André Silva,pt POR,FW,es Real Sociedad,27,1995,1.0,27,24,3,0,0,0,0,0,0,0,0,0,20,0,2,Matches
António Silva,pt POR,DF,pt Benfica,19,2003,3.1,125,119,6,5,0,0,0,1,0,0,0,0,111,0,1,Matches
Bernardo Silva,pt POR,"FW,MF",eng Manchester City,28,1994,5.9,360,340,20,2,0,1,13,12,2,0,0,0,319,0,3,Matches
Rafa Silva,pt POR,"MF,FW",pt Benfica,30,1993,5.6,179,163,15,0,1,0,5,3,0,0,0,0,141,1,5,Matches
Mohamed Simakan,fr FRA,DF,de RB Leipzig,23,2000,6.6,321,293,28,16,2,3,5,12,0,0,0,0,262,0,3,Matches
Giovanni Simeone,ar ARG,FW,it Napoli,28,1995,1.1,26,23,3,0,0,0,0,0,0,0,0,0,17,0,2,Matches
Roko Simic,hr CRO,FW,at RB Salzburg,19,2003,3.8,54,54,0,0,0,0,0,0,0,0,0,0,33,0,4,Matches
Xavi Simons,nl NED,"MF,FW",de RB Leipzig,20,2003,6.6,299,266,30,9,2,2,20,0,14,2,9,0,232,3,7,Matches
Leo Skiri Østigård,no NOR,DF,it Napoli,23,1999,2.1,93,89,3,3,0,0,0,0,0,0,0,0,78,1,1,Matches
Milan Škriniar,sk SVK,DF,fr Paris S-G,28,1995,6.0,499,480,19,9,0,2,0,2,0,0,0,0,467,0,0,Matches
Emile Smith Rowe,eng ENG,MF,eng Arsenal,23,2000,0.5,39,39,0,0,0,0,0,0,0,0,0,0,34,0,0,Matches
Cédric Soares,pt POR,DF,eng Arsenal,31,1991,0.7,36,27,9,1,0,1,2,8,0,0,0,0,26,0,1,Matches
Carlos Soler,es ESP,"MF,FW",fr Paris S-G,26,1997,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
Oumar Solet,fr FRA,DF,at RB Salzburg,23,2000,1.7,112,105,6,6,0,0,0,0,0,0,0,0,96,1,0,Matches
Yann Sommer,ch SUI,GK,it Inter,34,1988,7.3,320,273,47,8,0,0,0,0,0,0,0,0,270,0,0,Matches
Florian Sotoca,fr FRA,MF,fr Lens,32,1990,5.2,208,204,3,0,3,4,12,3,0,0,0,0,132,1,12,Matches
Boubakary Soumaré,fr FRA,MF,es Sevilla,24,1999,2.4,153,151,2,1,0,0,1,1,0,0,0,0,142,0,0,Matches
Djibril Sow,ch SUI,MF,es Sevilla,26,1997,4.1,141,140,1,1,1,0,1,0,0,0,0,0,120,0,3,Matches

Çağlar Söyüncü,tr TUR,DF,es Atlético Madrid,27,1996,0.7,55,54,1,0,0,0,0,0,0,0,0,0,52,0,0,Matches
Uroš Spajić,rs SRB,DF,rs Red Star,30,1993,0.7,14,14,0,0,0,0,0,0,0,0,0,0,12,0,0,Matches
Marco Sportiello,it ITA,GK,it Milan,31,1992,0.1,7,5,2,0,0,0,0,0,0,0,0,0,6,0,0,Matches
Marko Stamenic,nz NZL,MF,rs Red Star,21,2002,3.3,80,77,2,2,1,0,1,0,0,0,0,0,58,1,2,Matches
Orri Steinn Óskarsson,is ISL,FW,dk FC Copenhagen,18,2004,1.6,33,33,0,0,0,0,0,0,0,0,0,0,21,0,1,Matches
Calvin Stengs,nl NED,"FW,MF",nl Feyenoord,24,1998,5.2,260,216,40,9,3,2,32,3,24,12,6,0,183,4,9,Matches
Taras Stepanenko,ua UKR,MF,ua Shakhtar,33,1989,5.5,233,227,2,2,0,1,2,0,0,0,0,0,194,4,5,Matches
John Stones,eng ENG,"DF,MF",eng Manchester City,29,1994,3.8,307,299,8,7,0,1,1,1,0,0,0,0,292,0,1,Matches
Luka Sučić,hr CRO,"FW,MF",at RB Salzburg,20,2002,4.4,175,167,7,1,2,3,9,0,6,5,0,0,127,1,6,Matches
Heorhiy Sudakov,ua UKR,MF,ua Shakhtar,20,2002,6.0,295,273,21,9,2,6,13,1,9,5,1,0,232,1,7,Matches
Niklas Süle,de GER,DF,de Dortmund,27,1995,4.4,166,135,30,7,0,3,3,23,0,0,0,0,136,1,4,Matches
Suso,es ESP,MF,es Sevilla,29,1993,0.9,28,24,4,2,0,0,3,0,2,0,0,0,24,0,0,Matches
Mahamadou Susoho,es ESP,MF,eng Manchester City,18,2005,0.2,15,15,0,0,0,0,0,0,0,0,0,0,14,0,0,Matches
Christian Sørensen,dk DEN,DF,dk FC Copenhagen,30,1992,0.5,58,47,11,0,0,0,12,7,4,1,3,0,43,0,3,Matches
Mehdi Taremi,ir IRN,FW,pt Porto,31,1992,6.1,144,132,12,0,3,1,1,1,0,0,0,0,105,0,5,Matches
Matt Targett,eng ENG,DF,eng Newcastle Utd,27,1995,0.2,30,26,4,1,0,0,1,3,0,0,0,0,25,0,2,Matches
Greg Taylor,sct SCO,DF,sct Celtic,25,1997,6.0,467,383,81,13,0,1,5,68,0,0,0,0,397,3,8,Matches
Aurélien Tchouaméni,fr FRA,"MF,DF",es Real Madrid,23,2000,6.7,417,411,6,6,0,4,5,0,0,0,0,0,384,0,1,Matches
Mathys Tel,fr FRA,"FW,MF",de Bayern Munich,18,2005,1.6,69,66,3,0,1,0,3,3,0,0,0,0,55,0,3,Matches
Casper Tengstedt,dk DEN,FW,pt Benfica,23,2000,1.5,24,24,0,0,0,0,2,0,0,0,0,0,14,0,1,Matches
Marc-André ter Stegen,de GER,GK,es Barcelona,31,1992,8.0,292,253,39,7,0,0,0,0,0,0,0,0,236,0,0,Matches
Aleksa Terzić,rs SRB,DF,at RB Salzburg,23,1999,2.0,100,81,18,0,0,0,20,18,0,0,0,0,62,1,4,Matches
Tetê,br BRA,FW,tr Galatasaray,23,2000,2.5,118,111,7,1,0,0,16,4,2,1,0,0,73,0,6,Matches
Jordan Teze,nl NED,DF,nl PSV Eindhoven,23,1999,8.0,460,379,80,9,3,2,23,71,0,0,0,0,376,1,8,Matches
Odin Thiago Holm,no NOR,MF,sct Celtic,20,2003,0.6,13,13,0,0,0,0,0,0,0,0,0,0,11,0,0,Matches

Malick Thiaw,de GER,DF,it Milan,21,2001,4.1,162,151,10,6,1,1,0,0,0,0,0,0,146,1,0,Matches
Adrien Thomasson,fr FRA,MF,fr Lens,29,1993,2.5,109,97,11,4,0,2,10,0,7,1,4,0,79,1,7,Matches
Marcus Thuram,fr FRA,FW,it Inter,25,1997,5.1,101,98,2,0,0,0,2,0,0,0,0,0,71,1,4,Matches
Kieran Tierney,sct SCO,DF,es Real Sociedad,26,1997,0.7,34,26,8,2,0,0,0,6,0,0,0,0,25,0,0,Matches
Guus Til,nl NED,MF,nl PSV Eindhoven,25,1997,2.0,41,40,1,0,0,0,3,0,0,0,0,0,31,0,1,Matches
Malik Tillman,us USA,MF,nl PSV Eindhoven,21,2002,5.6,173,165,7,0,4,0,7,3,2,0,1,0,132,1,2,Matches
Quinten Timber,nl NED,MF,nl Feyenoord,22,2001,5.1,147,136,10,4,3,0,2,2,0,0,0,0,117,1,10,Matches
Takehiro Tomiyasu,jp JPN,DF,eng Arsenal,24,1998,4.3,245,210,35,2,0,1,3,33,0,0,0,0,203,0,3,Matches
Fikayo Tomori,eng ENG,DF,it Milan,25,1997,6.0,260,245,13,8,0,0,1,1,0,0,0,0,230,2,1,Matches
Sandro Tonali,it ITA,MF,eng Newcastle Utd,23,2000,1.8,46,45,1,0,0,0,4,1,0,0,0,0,27,0,2,Matches
Lucas Torreira,uy URU,MF,tr Galatasaray,27,1996,5.5,315,296,19,14,2,1,2,2,0,0,0,0,274,0,7,Matches
Ferrán Torres,es ESP,FW,es Barcelona,23,2000,4.2,159,149,10,0,0,3,14,2,5,1,0,0,116,0,6,Matches
Óliver Torres,es ESP,"FW,MF",es Sevilla,28,1994,1.1,66,64,2,0,0,0,4,2,0,0,0,0,47,0,2,Matches
Lucas Tousart,fr FRA,MF,de Union Berlin,26,1997,2.6,66,64,1,1,0,1,1,0,0,0,0,0,41,1,6,Matches
Chaka Traorè,ci CIV,MF,it Milan,18,2004,0.2,7,7,0,0,0,0,1,0,0,0,0,0,6,0,0,Matches
Hamari Traoré,ml MLI,DF,es Real Sociedad,31,1992,5.9,361,291,69,2,0,3,14,67,0,0,0,0,291,1,4,Matches
Gernot Trauner,at AUT,DF,nl Feyenoord,31,1992,3.1,304,299,5,4,1,0,0,1,0,0,0,0,287,0,2,Matches
Christopher Trimmel,at AUT,"FW,DF",de Union Berlin,36,1987,1.4,69,45,23,3,0,0,9,15,5,2,3,0,48,1,1,Matches
Kieran Trippier,eng ENG,DF,eng Newcastle Utd,32,1990,5.7,399,297,101,28,2,2,44,50,23,9,6,4,306,1,10,Matches
Leandro Trossard,be BEL,FW,eng Arsenal,28,1994,5.9,160,153,7,2,2,1,14,0,3,1,1,0,121,0,10,Matches
Anatolii Trubin,ua UKR,GK,pt Benfica,21,2001,6.0,195,123,72,20,0,0,0,0,0,0,0,0,155,0,0,Matches
David Turnbull,sct SCO,"MF,FW",sct Celtic,24,1999,0.4,9,8,1,0,0,0,0,1,0,0,0,0,6,0,0,Matches
Beñat Turrientes,es ESP,MF,es Real Sociedad,21,2002,2.1,94,92,2,0,0,1,6,0,2,2,0,0,73,0,3,Matches
Ayase Ueda,jp JPN,FW,nl Feyenoord,24,1998,1.7,28,26,2,0,0,0,3,0,0,0,0,0,19,0,1,Matches
Manuel Ugarte Ribeiro,uy URU,MF,fr Paris S-G,22,2001,4.3,253,249,2,2,0,3,0,0,0,0,0,0,230,2,1,Matches

Filip Ugrinic,ch SUI,MF,ch Young Boys,24,1999,5.7,206,187,18,4,0,4,8,1,13,3,4,0,178,1,0,Matches
Andreas Ulmer,at AUT,DF,at RB Salzburg,37,1985,2.4,98,75,23,2,0,1,6,21,0,0,0,0,76,0,3,Matches
Sven Ulreich,de GER,GK,de Bayern Munich,34,1988,3.0,137,115,22,3,0,1,0,0,0,0,0,0,109,0,0,Matches
Dayot Upamecano,fr FRA,DF,de Bayern Munich,24,1998,5.5,542,537,5,5,0,0,0,0,0,0,0,0,505,0,5,Matches
Anthony Valencia,ec ECU,"MF,FW",be Antwerp,20,2003,0.4,13,12,1,0,1,0,2,0,1,1,0,0,9,0,0,Matches
Federico Valverde,uy URU,"MF,FW",es Real Madrid,25,1998,11.9,622,612,9,6,1,13,10,1,0,0,0,0,552,1,13,Matches
Zeno Van den Bosch,be BEL,DF,be Antwerp,20,2003,1.0,43,40,2,2,0,1,0,0,0,0,0,0,35,1,2,Matches
Raphaël Varane,fr FRA,DF,eng Manchester Utd,30,1993,3.7,233,224,9,6,0,0,0,0,0,0,0,0,205,0,4,Matches
Alan Varela,ar ARG,MF,pt Porto,22,2001,7.8,366,351,15,15,2,5,1,0,0,0,0,0,328,0,5,Matches
Denis Vavro,sk SVK,DF,dk FC Copenhagen,27,1996,7.9,387,375,11,11,0,6,5,0,0,0,0,0,316,1,0,Matches
Lucas Vázquez,es ESP,DF,es Real Madrid,32,1991,4.2,327,294,32,3,0,1,20,29,0,0,0,0,280,1,8,Matches
Matías Vecino,uy URU,MF,it Lazio,31,1991,5.2,247,244,3,3,0,1,2,0,0,0,0,0,213,0,7,Matches
Joey Veerman,nl NED,MF,nl PSV Eindhoven,24,1998,6.4,454,396,55,25,3,6,36,3,26,8,12,0,348,3,12,Matches
Arthur Vermeeren,be BEL,MF,be Antwerp,18,2005,6.0,203,199,2,1,1,0,0,1,0,0,0,0,177,2,5,Matches
Yorbe Vertessen,be BEL,FW,nl PSV Eindhoven,22,2001,1.8,51,51,0,0,0,0,3,0,0,0,0,0,37,0,3,Matches
Fabio Vieira,pt POR,FW,eng Arsenal,23,2000,1.0,53,50,2,1,0,1,3,0,1,1,0,0,43,1,0,Matches
Vitinha,pt POR,MF,fr Paris S-G,23,2000,10.2,735,689,45,23,1,8,15,4,11,2,5,0,679,1,6,Matches
Kevin Volland,de GER,"FW,MF",de Union Berlin,31,1992,2.6,48,47,1,1,1,0,3,0,0,0,0,0,28,0,1,Matches
Stefan de Vrij,nl NED,DF,it Inter,31,1992,5.5,422,415,7,6,1,0,0,0,0,0,0,0,395,0,0,Matches
Elye Wahi,fr FRA,FW,fr Lens,20,2003,5.1,74,58,16,0,0,0,4,0,0,0,0,0,56,0,1,Matches
Kyle Walker,eng ENG,DF,eng Manchester City,33,1990,5.6,516,466,50,8,0,3,8,42,0,0,0,0,465,0,6,Matches
Aaron Wan-Bissaka,eng ENG,DF,eng Manchester Utd,25,1997,2.4,115,91,24,0,0,0,3,24,0,0,0,0,103,0,1,Matches
Timon Wellenreuther,de GER,GK,nl Feyenoord,27,1995,2.0,71,59,12,3,0,0,0,0,0,0,0,0,64,0,1,Matches
Stephen Welsh,sct SCO,DF,sct Celtic,23,2000,0.8,57,55,2,2,0,0,0,0,0,0,0,0,51,0,0,Matches
Wendell,br BRA,DF,pt Porto,30,1993,4.3,199,152,47,9,0,0,10,35,3,3,0,0,160,0,3,Matches

Timo Werner,de GER,"FW,MF",de RB Leipzig,27,1996,0.6,23,23,0,0,0,0,1,0,0,0,0,0,14,0,3,Matches
Ben White,eng ENG,DF,eng Arsenal,25,1997,8.4,530,440,90,11,0,4,6,79,0,0,0,0,453,0,7,Matches
Mats Wieffer,nl NED,MF,nl Feyenoord,23,1999,5.2,357,344,13,5,3,2,2,8,0,0,0,0,307,0,7,Matches
Owen Wijndal,nl NED,DF,be Antwerp,23,1999,5.0,199,170,29,5,0,1,13,20,4,1,1,0,161,0,9,Matches
Joe Willock,eng ENG,MF,eng Newcastle Utd,23,1999,1.1,42,41,1,0,0,0,1,1,0,0,0,0,35,0,2,Matches
Callum Wilson,eng ENG,FW,eng Newcastle Utd,31,1992,2.7,22,19,3,0,0,0,0,0,0,0,0,0,18,0,1,Matches
Axel Witsel,be BEL,"DF,MF",es Atlético Madrid,34,1989,9.8,564,553,10,8,0,2,0,0,0,0,0,0,536,1,2,Matches
Marius Wolf,de GER,"DF,FW",de Dortmund,28,1995,3.2,108,80,28,1,0,0,7,27,0,0,0,0,72,0,7,Matches
Jacob Wright,eng ENG,FW,eng Manchester City,17,2005,0.0,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0,Matches
Lamine Yamal,es ESP,FW,es Barcelona,16,2007,6.4,265,263,2,1,2,2,21,1,0,0,0,0,201,0,7,Matches
Alhassan Yusuf,ng NGA,MF,be Antwerp,23,2000,4.2,176,170,5,3,0,0,6,2,0,0,0,0,145,1,9,Matches
Mattia Zaccagni,it ITA,FW,it Lazio,28,1995,5.1,180,174,5,2,0,2,7,2,1,0,0,0,140,1,7,Matches
Wilfried Zaha,ci CIV,FW,tr Galatasaray,30,1992,4.4,101,94,6,3,2,0,5,3,0,0,0,0,76,1,4,Matches
Warren Zaïre-Emery,fr FRA,MF,fr Paris S-G,17,2006,10.0,513,495,16,9,1,3,3,7,0,0,0,0,469,2,7,Matches
Arsen Zakharyan,ru RUS,"FW,MF",es Real Sociedad,20,2003,2.4,123,110,13,2,0,1,15,1,10,4,4,0,94,0,3,Matches
Rodrigo Zalazar,uy URU,MF,pt Braga,23,1999,4.4,290,255,34,15,0,6,24,0,16,9,4,0,240,1,2,Matches
Andre-Frank Zambo Anguissa,cm CMR,MF,it Napoli,27,1995,7.0,378,373,3,2,1,0,4,1,0,0,0,0,331,2,6,Matches
Alessandro Zanoli,it ITA,DF,it Napoli,22,2000,0.0,5,3,2,0,0,0,0,2,0,0,0,0,5,0,0,Matches
Ramiz Zerrouki,dz ALG,MF,nl Feyenoord,25,1998,3.9,229,225,3,2,0,2,3,1,0,0,0,0,196,1,3,Matches
Piotr Zieliński,pl POL,MF,it Napoli,29,1994,5.2,312,283,29,4,1,0,27,0,21,9,11,0,252,0,2,Matches
Oleksandr Zinchenko,ua UKR,DF,eng Arsenal,26,1996,3.1,257,227,30,8,1,2,1,22,0,0,0,0,231,0,4,Matches
Hakim Ziyech,ma MAR,FW,tr Galatasaray,30,1993,2.8,142,128,11,3,2,1,27,1,7,5,1,0,88,3,8,Matches
Igor Zubeldia,es ESP,DF,es Real Sociedad,26,1997,7.7,429,425,4,4,0,0,0,0,0,0,0,0,373,0,3,Matches
Martín Zubimendi,es ESP,MF,es Real Sociedad,24,1999,7.9,444,426,16,16,0,0,1,0,0,0,0,0,387,2,3,Matches
Oleksandr Zubkov,ua UKR,"FW,MF",ua Shakhtar,26,1996,5.9,211,194,16,3,5,0,16,6,7,6,0,0,154,1,8,Matches

Martin Ødegaard,no NOR,MF,eng Arsenal,24,1998,8.3,396,367,27,15,3,4,14,2,5,2,3,0,342,2,6,Matches
Łukasz Łakomy,pl POL,MF,ch Young Boys,22,2001,0.2,15,15,0,0,0,0,0,0,0,0,0,0,10,0,2,Matches
