Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches
Diogo Gonçalves,pt POR,MF,FC Copenhagen,26,1997,13.9,4,0,0,12,11,3,68,4,9,,,0,Matches
Kamil Grabara,pl POL,GK,FC Copenhagen,24,1999,31.0,2,0,0,1,3,1,0,0,2,,,0,Matches
Pascal Gregor,dk DEN,DF,Lyngby,29,1994,28.4,5,0,0,30,20,0,19,28,22,,,0,Matches
Mathias Greve,dk DEN,MF,Brøndby,28,1995,14.9,3,0,0,18,10,1,14,22,16,,,0,Matches
Gustav Grubbe,dk DEN,DF,Odense,20,2003,0.8,0,0,0,3,3,0,2,2,1,,,0,Matches
Jeppe Grønning,dk DEN,MF,Viborg,32,1991,16.9,3,0,0,31,23,1,11,26,33,,,0,Matches
Cho Gue-sung,kr KOR,FW,Midtjylland,25,1998,27.1,4,0,0,44,36,19,26,4,9,,,0,Matches
Andreas Gülstorff,dk DEN,GK,Nordsjælland,20,2003,1.0,0,0,0,0,1,0,0,0,0,,,0,Matches
Thomas Gundelund,dk DEN,MF,Vejle BK,21,2001,16.0,2,0,0,14,22,1,40,15,23,,,0,Matches
Andri Guðjohnsen,is ISL,FW,Lyngby,21,2002,26.1,1,0,0,28,45,7,12,3,7,,,0,Matches
Frederik Gytkjær,dk DEN,FW,Lyngby,30,1993,20.8,1,0,0,37,35,17,29,3,2,,,0,Matches
Rami Al Hajj,se SWE,"MF,FW",Odense,21,2001,25.3,5,0,0,29,63,0,47,14,16,,,0,Matches
Brian Hamalainen,dk DEN,"DF,MF",Lyngby,34,1989,9.3,3,0,0,5,2,0,34,7,5,,,0,Matches
Lee Hanbeom,kr KOR,DF,Midtjylland,21,2002,1.1,0,0,0,3,2,0,1,2,1,,,0,Matches
Andreas Hansen,dk DEN,GK,Nordsjælland,27,1995,29.0,2,0,0,0,6,0,0,1,0,,,0,Matches
Jesper Hansen,dk DEN,GK,AGF,38,1985,12.1,1,0,0,0,1,0,0,0,0,,,0,Matches
Kian Hansen,dk DEN,DF,Nordsjælland,34,1989,27.4,1,0,0,6,7,0,11,7,13,,,1,Matches
Mads Hansen,dk DEN,"MF,FW",Nordsjælland,21,2002,9.3,1,0,0,4,12,1,26,1,17,,,0,Matches
Martin Hansen,dk DEN,GK,Odense,33,1990,9.5,0,0,0,0,2,0,0,0,0,,,0,Matches
Sabil Hansen,no NOR,MF,Randers,17,2005,1.9,0,0,0,2,2,0,1,0,5,,,0,Matches
