Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches
Marcus Coco,fr FRA,"DF,FW",Nantes,27,1996,16.5,2,0,0,23,27,0,46,21,26,0,0,0,77,23,21,52.3,Matches
Maxime Colin,fr FRA,DF,Metz,31,1991,20.4,3,0,0,11,8,0,34,20,23,1,0,0,83,23,14,62.2,Matches
Eray Cömert,ch SUI,DF,Nantes,25,1998,22.2,5,0,0,26,26,1,3,36,28,0,2,0,99,14,27,34.1,Matches
Alois Confais,fr FRA,"MF,FW",Le Havre,26,1996,0.1,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,,Matches
Joaquín Correa,ar ARG,"FW,MF",Marseille,28,1994,4.8,2,0,0,6,5,0,1,1,5,0,0,0,18,5,6,45.5,Matches
Oscar Cortés,co COL,"FW,MF",Lens,19,2003,0.5,0,0,0,0,1,1,2,0,0,0,0,0,2,1,2,33.3,Matches
David Costa,pt POR,MF,Lens,22,2001,16.6,3,0,0,12,23,0,77,16,10,1,0,0,75,6,9,40.0,Matches

Logan Costa,cv CPV,DF,Toulouse,22,2001,29.4,6,0,0,38,10,1,12,23,24,0,0,0,158,64,37,63.4,Matches
Grégoire Coudert,fr FRA,GK,Brest,24,1999,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
Mamadou Coulibaly,fr FRA,MF,Monaco,19,2004,1.3,0,0,0,3,2,0,1,0,4,0,0,0,3,2,0,100.0,Matches
Tanguy Coulibaly,fr FRA,"FW,MF",Montpellier,22,2001,6.9,2,0,0,12,14,0,8,2,11,1,0,0,44,8,9,47.1,Matches
Nicolas Cozza,fr FRA,DF,Nantes,24,1999,9.9,2,0,0,9,19,1,13,14,23,0,0,0,25,7,12,36.8,Matches
Trévis Dago,ci CIV,"FW,MF",Lille,18,2005,0.3,1,0,0,2,1,0,1,1,0,0,0,0,1,1,1,50.0,Matches
Thijs Dallinga,nl NED,FW,Toulouse,22,2000,27.9,6,0,0,37,45,20,14,3,15,1,0,0,68,59,43,57.8,Matches
Kevin Danso,at AUT,DF,Lens,24,1998,29.5,6,0,0,23,48,2,3,23,14,0,0,0,216,55,27,67.1,Matches
Dante,br BRA,DF,Nice,39,1983,31.6,5,1,0,42,17,0,10,37,30,0,1,0,219,55,31,64.0,Matches
Raimane Daou,km COM,"DF,MF",Marseille,18,2004,0.3,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,,Matches
Mohammed Daramy,dk DEN,"FW,MF",Reims,21,2002,18.3,0,0,0,7,28,9,15,4,9,0,0,0,71,5,11,31.3,Matches
Achraf Dari,ma MAR,"DF,FW",Brest,24,1999,1.3,0,0,0,2,1,0,0,5,1,0,0,0,9,4,0,100.0,Matches
Jonathan David,ca CAN,FW,Lille,23,2000,29.2,4,0,0,29,56,13,2,9,15,2,0,0,83,21,67,23.9,Matches
Thibault De Smet,be BEL,DF,Reims,25,1998,20.3,7,1,0,38,9,2,31,21,35,1,1,0,87,17,21,44.7,Matches
Romain Del Castillo,fr FRA,FW,Brest,27,1996,27.7,4,0,0,21,58,3,251,9,29,0,0,0,137,22,30,42.3,Matches
Thomas Delaine,fr FRA,"DF,MF",Strasbourg,31,1992,22.7,5,0,0,39,21,1,104,17,19,0,1,0,77,17,17,50.0,Matches
Sacha Delaye,fr FRA,"MF,FW",Montpellier,21,2002,1.4,1,0,0,6,1,0,3,0,2,0,0,0,8,1,6,14.3,Matches
Karamoko Dembélé,eng ENG,"MF,FW",Brest,20,2003,0.2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,Matches
Ousmane Dembélé,fr FRA,"MF,FW",Paris S-G,26,1997,16.7,0,0,0,7,27,6,99,5,14,1,0,0,59,3,6,33.3,Matches
Jessy Deminguet,fr FRA,"MF,FW",Strasbourg,25,1998,7.7,1,0,0,16,9,1,9,9,9,0,0,0,40,6,6,50.0,Matches
Rémy Descamps,fr FRA,GK,Nantes,27,1996,6.0,1,0,0,0,2,0,0,0,0,0,0,0,4,1,2,33.3,Matches
Mikkel Desler,dk DEN,DF,Toulouse,28,1995,17.2,2,0,0,17,20,1,30,19,12,0,0,0,91,22,17,56.4,Matches
Arthur Desmas,fr FRA,GK,Le Havre,29,1994,33.0,2,0,0,0,9,0,0,0,0,0,0,0,25,7,0,100.0,Matches
Lamine Diack,sn SEN,MF,Nantes,22,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Mamadou Diakhon,fr FRA,"FW,MF",Reims,17,2005,2.3,0,0,0,4,11,0,4,1,3,0,0,0,15,2,4,33.3,Matches

Bafodé Diakité,fr FRA,DF,Lille,22,2001,18.8,4,0,0,16,12,2,3,21,20,0,1,0,83,32,19,62.7,Matches
Ibrahim Diakité,gn GUI,DF,Reims,19,2003,1.2,0,0,0,5,3,0,9,2,0,0,0,0,12,3,2,60.0,Matches
Oumar Diakité,ci CIV,FW,Reims,19,2003,17.6,4,0,0,35,27,32,3,7,12,1,0,0,57,23,63,26.7,Matches
Habib Diarra,sn SEN,"MF,FW",Strasbourg,19,2004,25.6,3,0,0,40,41,1,22,17,23,0,0,0,112,14,25,35.9,Matches
