Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches
Zé Carlos,pt POR,DF,Gil Vicente FC,23,1998,27.3,0,8,2,25.0,0.29,0.07,0.00,0.00,21.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
David Carmo,ao ANG,DF,Braga,22,1999,11.0,0,4,1,25.0,0.36,0.09,0.00,0.00,12.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Carraça,pt POR,"DF,MF",B-SAD,28,1993,24.5,0,31,7,22.6,1.26,0.29,0.00,0.00,28.1,10,0,0,1.4,1.4,0.04,-1.4,-1.4,Matches
Anderson Carvalho,br BRA,MF,Santa Clara,31,1990,21.1,0,21,1,4.8,1.00,0.05,0.00,0.00,23.1,0,0,0,0.8,0.8,0.04,-0.8,-0.8,Matches
Duarte Carvalho,pt POR,MF,Estoril,19,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Vitor Carvalho,br BRA,MF,Gil Vicente FC,24,1997,24.8,0,15,3,20.0,0.60,0.12,0.00,0.00,19.4,0,0,0,1.1,1.1,0.07,-1.1,-1.1,Matches
Cassiano,br BRA,FW,Vizela,32,1989,17.7,7,46,11,23.9,2.61,0.62,0.13,0.55,14.9,2,1,1,6.8,6.0,0.13,+0.2,0.0,Matches
Mateo Cassierra,co COL,FW,B-SAD,24,1997,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Moises Castillo,co COL,"DF,FW",Marítimo,20,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
André Castro,pt POR,MF,Braga,33,1988,12.8,0,14,4,28.6,1.10,0.31,0.00,0.00,12.8,0,0,0,1.7,1.7,0.12,-1.7,-1.7,Matches
Fernando Castro,br BRA,GK,Arouca,24,1997,6.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Tomás Castro,pt POR,MF,B-SAD,22,1999,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Geny Catamo,mz MOZ,DF,Sporting CP,20,2001,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Geny Catamo,mz MOZ,"FW,MF",Vitória,20,2001,2.5,0,8,1,12.5,3.16,0.39,0.00,0.00,23.4,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
Charles,br BRA,GK,Vizela,27,1994,14.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Francisco Chico,pt POR,"MF,FW",B-SAD,23,1998,6.1,0,4,1,25.0,0.66,0.16,0.00,0.00,12.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Fábio China,pt POR,DF,Marítimo,29,1992,6.4,0,2,1,50.0,0.31,0.16,0.00,0.00,21.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Chiquinho,pt POR,FW,Estoril,21,2000,9.3,3,20,7,35.0,2.15,0.75,0.15,0.43,17.6,2,0,0,1.8,1.8,0.09,+1.2,+1.2,Matches
Chiquinho,pt POR,"MF,FW",Braga,26,1995,2.3,0,5,3,60.0,2.18,1.31,0.00,0.00,16.0,0,0,0,0.7,0.7,0.13,-0.7,-0.7,Matches
André Clóvis,br BRA,FW,Estoril,23,1997,9.7,1,21,6,28.6,2.16,0.62,0.05,0.17,15.7,0,0,1,2.6,1.9,0.09,-1.6,-0.9,Matches
Sebastián Coates,uy URU,DF,Sporting CP,30,1990,29.3,2,33,11,33.3,1.13,0.38,0.06,0.18,10.3,0,0,0,3.5,3.4,0.10,-1.5,-1.4,Matches
Racine Coly,sn SEN,DF,Estoril,25,1995,1.9,0,1,0,0.0,0.53,0.00,0.00,,32.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches

Francisco Conceição,pt POR,"MF,FW",Porto,18,2002,5.5,2,25,8,32.0,4.58,1.47,0.08,0.25,14.6,0,0,0,2.8,2.8,0.11,-0.8,-0.8,Matches
Rodrigo Conceição,pt POR,"DF,MF",Moreirense,21,2000,4.3,0,1,0,0.0,0.23,0.00,0.00,,15.3,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
Abdu Conté,pt POR,"DF,MF",Moreirense,23,1998,15.3,0,5,1,20.0,0.33,0.07,0.00,0.00,13.3,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
Jeriel Córdova,ve VEN,"FW,MF",Boavista,19,2002,2.3,2,8,3,37.5,3.43,1.29,0.25,0.67,12.1,0,0,0,1.5,1.5,0.19,+0.5,+0.5,Matches
Jesús Corona,mx MEX,"DF,MF",Porto,28,1993,4.3,0,3,2,66.7,0.70,0.46,0.00,0.00,12.7,0,0,0,0.6,0.6,0.21,-0.6,-0.6,Matches
Rui Filipe Cunha Correia,pt POR,MF,Santa Clara,26,1995,13.4,0,5,1,20.0,0.37,0.07,0.00,0.00,22.9,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Bruno Xavier Almeida Costa,pt POR,"MF,DF",Porto,24,1997,7.5,0,7,3,42.9,0.94,0.40,0.00,0.00,25.5,1,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Diogo Costa,pt POR,GK,Porto,21,1999,33.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Edgar Costa,pt POR,"MF,FW",Marítimo,34,1987,14.4,1,20,4,20.0,1.39,0.28,0.05,0.25,28.2,3,0,0,1.3,1.3,0.07,-0.3,-0.3,Matches
Matheus Costa,br BRA,DF,Marítimo,26,1995,21.1,5,15,9,60.0,0.71,0.43,0.33,0.56,9.4,0,0,0,2.5,2.5,0.17,+2.5,+2.5,Matches
Murilo Costa,br BRA,"FW,MF",Gil Vicente FC,26,1994,9.4,2,28,14,50.0,2.99,1.49,0.07,0.14,20.3,0,0,0,2.7,2.7,0.10,-0.7,-0.7,Matches
Diogo Costa Rodrigues,pt POR,MF,Portimonense,21,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rui Costa,pt POR,FW,Santa Clara,25,1996,21.8,5,55,21,38.2,2.52,0.96,0.09,0.24,21.1,0,0,0,6.1,6.1,0.11,-1.1,-1.1,Matches
Tomás Costa Silva,pt POR,"FW,MF",Vizela,21,1999,0.4,0,2,1,50.0,4.62,2.31,0.00,0.00,9.5,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
Vitor Costa,br BRA,DF,Marítimo,27,1994,28.4,0,14,1,7.1,0.49,0.04,0.00,0.00,24.7,5,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
Costinha,pt POR,FW,Santa Clara,28,1992,0.9,0,2,0,0.0,2.34,0.00,0.00,,30.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Filipe Couto,pt POR,MF,Marítimo,27,1994,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Yan Couto,br BRA,"DF,MF",Braga,19,2002,20.0,1,18,2,11.1,0.90,0.10,0.06,0.50,19.0,0,0,0,1.6,1.6,0.10,-0.6,-0.6,Matches
