Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches
Welton Felipe,br BRA,MF,Levski Sofia,25,1997,13.9,3,,,,,,,,,0,0,Matches
Alex Fernandes,br BRA,MF,Cherno More,21,2002,14.6,5,,,,,,,,,0,0,Matches
Joaquín Fernández,uy URU,DF,Levski Sofia,24,1999,1.4,0,,,,,,,,,0,0,Matches
França,br BRA,MF,Lokomotiv Sofia,28,1995,28.2,5,,,,,,,,,0,0,Matches
Steve Furtado,cv CPV,DF,CSKA 1948,28,1994,19.9,0,,,,,,,,,0,0,Matches
Patrik Galchev,bg BUL,DF,Levski Sofia,22,2001,18.1,1,,,,,,,,,0,0,Matches

Petko Ganev,bg BUL,DF,Botev Vratsa,26,1996,0.0,0,,,,,,,,,0,0,Matches
Bruno Garcia,br BRA,MF,FK Levski 2005,26,1997,0.2,0,,,,,,,,,0,0,Matches
Rodrigo Garcìa,ar ARG,GK,Beroe,31,1992,23.8,0,,,,,,,,,0,0,Matches
Nathan Gassama,fr FRA,DF,Slavia Sofia,22,2001,1.0,0,,,,,,,,,0,0,Matches
Stefan Gavrilov,bg BUL,MF,Beroe,23,2000,9.9,0,,,,,,,,,0,0,Matches
Baboucarr Gaye,gm GAM,GK,Lokomotiv Sofia,25,1998,3.0,0,,,,,,,,,0,0,Matches
Viktor Genev,bg BUL,DF,Slavia Sofia,34,1988,28.7,2,,,,,,,,,0,0,Matches
Daniel Genov,bg BUL,MF,Botev Vratsa,34,1989,21.9,4,,,,,,,,,0,0,Matches
Aleksandar Georgiev,bg BUL,MF,FK Levski 2005,25,1997,10.2,0,,,,,,,,,0,0,Matches
Evgeni Georgiev,bg BUL,MF,Pirin Blagoevgrad,18,2005,2.4,0,,,,,,,,,0,0,Matches
Martin Georgiev,bg BUL,DF,Pirin Blagoevgrad,18,2005,0.8,1,,,,,,,,,0,0,Matches
Martin Georgiev,bg BUL,DF,Slavia Sofia,17,2005,22.0,2,,,,,,,,,0,0,Matches
Miroslav Georgiev,bg BUL,FW,Beroe,15,2008,0.5,0,,,,,,,,,0,0,Matches
Miroslav Georgiev,bg BUL,DF,Botev Plovdiv,17,2005,1.0,0,,,,,,,,,0,0,Matches
Spas Georgiev,bg BUL,MF,Botev Vratsa,31,1992,24.1,1,,,,,,,,,0,0,Matches
Yanko Georgiev,bg BUL,GK,FK Levski 2005,34,1988,29.0,0,,,,,,,,,0,0,Matches
Giovanny,br BRA,MF,Loko Plovdiv,25,1997,17.7,7,,,,,,,,,2,2,Matches
Santiago Godoy,ar ARG,FW,Beroe,22,2001,9.1,3,,,,,,,,,0,0,Matches
Claude Gonçalves,pt POR,MF,Ludogorets,29,1994,20.7,1,,,,,,,,,0,0,Matches
Anatoli Gospodinov,bg BUL,GK,Arda,29,1994,33.0,0,,,,,,,,,0,0,Matches
Jefferson Granado,co COL,DF,FK Levski 2005,20,2003,4.6,0,,,,,,,,,0,0,Matches
Denny Gropper,il ISR,DF,Ludogorets,24,1999,2.6,0,,,,,,,,,0,0,Matches
Kelyan Guessoum,fr FRA,DF,Etar,24,1999,4.9,0,,,,,,,,,0,0,Matches
Erdenis Gurishta,al ALB,DF,CSKA 1948,28,1995,8.4,0,,,,,,,,,0,0,Matches
Chris Hamilton,fr FRA,FW,Pirin Blagoevgrad,23,2000,27.6,4,,,,,,,,,0,0,Matches

Henadii Haniev,ua UKR,GK,CSKA 1948,33,1990,3.6,0,,,,,,,,,0,0,Matches
Hidajet Hankić,ba BIH,GK,Botev Plovdiv,29,1994,21.0,0,,,,,,,,,0,0,Matches
Tobias Heintz,no NOR,MF,CSKA Sofia,25,1998,26.7,6,,,,,,,,,0,0,Matches
Marcel Heister,de GER,"DF,MF",Ludogorets,31,1992,3.8,0,,,,,,,,,0,0,Matches
Héliton,br BRA,DF,CSKA 1948,27,1995,18.0,2,,,,,,,,,0,0,Matches
Roi Herman,il ISR,DF,Botev Plovdiv,23,2000,1.6,0,,,,,,,,,0,0,Matches
Dinko Horkaš,hr CRO,GK,Loko Plovdiv,24,1999,21.0,0,,,,,,,,,0,0,Matches
Enzo Hoyos,ar ARG,MF,Beroe,23,2000,8.2,0,,,,,,,,,0,0,Matches
Damyan Hristov,bg BUL,GK,Ludogorets,20,2002,2.0,0,,,,,,,,,0,0,Matches
Martin Hristov,bg BUL,DF,Botev Vratsa,19,2003,15.0,0,,,,,,,,,0,0,Matches
Nikolai Hristov,no NOR,FW,Slavia Sofia,23,2000,1.4,0,,,,,,,,,0,0,Matches
Valeri Hristov,bg BUL,DF,Etar,25,1998,10.7,0,,,,,,,,,0,0,Matches
Vasil Hristov,bg BUL,FW,Pirin Blagoevgrad,17,2005,0.0,0,,,,,,,,,0,0,Matches
Cəlal Hüseynov,az AZE,DF,Arda,20,2003,22.4,1,,,,,,,,,0,0,Matches
Aboubacar Ibrahim Toungara,ml MLI,FW,Arda,28,1994,19.5,5,,,,,,,,,1,1,Matches
Kerimdzhan Ignatov,bg BUL,MF,Arda,18,2005,0.5,0,,,,,,,,,0,0,Matches
Matvei Igonen,ee EST,GK,Botev Plovdiv,26,1996,7.0,0,,,,,,,,,0,0,Matches
Matvei Igonen,ee EST,GK,PFC Hebar Pazardzhik,26,1996,15.0,0,,,,,,,,,0,0,Matches
Atanas Iliev,bg BUL,FW,Cherno More,28,1994,17.9,12,,,,,,,,,5,5,Matches
Dimitar Iliev,bg BUL,DF,Ludogorets,24,1999,0.2,0,,,,,,,,,0,0,Matches
Dimitar Iliev,bg BUL,"FW,MF",Loko Plovdiv,34,1988,28.1,4,,,,,,,,,1,1,Matches
Ilian Iliev,bg BUL,MF,Cherno More,23,1999,11.1,0,,,,,,,,,0,0,Matches
Nikola Iliev,bg BUL,FW,CSKA 1948,19,2004,6.3,1,,,,,,,,,0,0,Matches
Ismail Isa,bg BUL,FW,Cherno More,34,1989,13.5,5,,,,,,,,,0,0,Matches
Zharko Istatkov,bg BUL,GK,Lokomotiv Sofia,19,2004,2.4,0,,,,,,,,,0,0,Matches

Arhan Isuf,bg BUL,DF,PFC Hebar Pazardzhik,24,1999,16.4,0,,,,,,,,,0,0,Matches
Antoni Ivanov,bg BUL,MF,Lokomotiv Sofia,27,1995,14.0,2,,,,,,,,,0,0,Matches
Galin Ivanov,bg BUL,"FW,MF",Slavia Sofia,35,1988,25.9,5,,,,,,,,,0,0,Matches
Hristo Ivanov,bg BUL,MF,Loko Plovdiv,22,2000,23.8,1,,,,,,,,,0,0,Matches
Ivaylo Ivanov,bg BUL,MF,Loko Plovdiv,20,2002,7.7,0,,,,,,,,,0,0,Matches
Georgi Ivanov Karakashev,bg BUL,MF,Loko Plovdiv,24,1999,2.2,0,,,,,,,,,0,0,Matches
Georgi Ivanov Karakashev,bg BUL,MF,PFC Hebar Pazardzhik,24,1999,11.2,0,,,,,,,,,0,0,Matches
Luka Ivanov,bg BUL,MF,Lokomotiv Sofia,19,2003,7.5,0,,,,,,,,,0,0,Matches
Mariyan Ivanov,bg BUL,DF,Etar,33,1990,7.9,0,,,,,,,,,0,0,Matches
Peter Ivanov,bg BUL,DF,Botev Plovdiv,17,2006,0.0,0,,,,,,,,,0,0,Matches
Rosen Ivanov,bg BUL,MF,Ludogorets,20,2003,0.1,0,,,,,,,,,0,0,Matches
Stanislav Ivanov,bg BUL,FW,Arda,24,1999,32.9,6,,,,,,,,,0,0,Matches
Teodor Ivanov,bg BUL,DF,Lokomotiv Sofia,19,2004,0.3,0,,,,,,,,,0,0,Matches
Teodor Ivanov,bg BUL,DF,CSKA 1948,19,2004,12.9,0,,,,,,,,,0,0,Matches
Chavdar Ivaylov,bg BUL,MF,Botev Vratsa,27,1996,6.9,0,,,,,,,,,0,0,Matches
Teodor Ivaylov Ivanov,bg BUL,MF,Lokomotiv Sofia,19,2004,0.0,0,,,,,,,,,0,0,Matches
Vitālijs Jagodinskis,lv LVA,DF,Pirin Blagoevgrad,31,1992,9.5,1,,,,,,,,,0,0,Matches
Mario Jason Kikonda,fr FRA,MF,Botev Vratsa,27,1996,6.5,0,,,,,,,,,0,0,Matches
Veljko Jelenković,bg BUL,DF,Slavia Sofia,20,2003,14.7,0,,,,,,,,,0,0,Matches
Jawad El Jemili,es ESP,FW,Levski Sofia,20,2002,24.3,8,,,,,,,,,0,0,Matches
Weslen Júnior,br BRA,FW,Cherno More,23,1999,4.5,1,,,,,,,,,0,0,Matches
Atanas Kabov,bg BUL,MF,PFC Hebar Pazardzhik,24,1999,20.2,3,,,,,,,,,0,0,Matches
Daniel Kajzer,pl POL,GK,Botev Plovdiv,31,1992,7.0,0,,,,,,,,,0,0,Matches
Wabo Kamdem,fr FRA,MF,Loko Plovdiv,20,2002,24.3,1,,,,,,,,,0,0,Matches
Daniel Kamy,fr FRA,DF,Lokomotiv Sofia,27,1996,9.1,1,,,,,,,,,0,0,Matches

Yanis Karabelyov,bg BUL,MF,Botev Plovdiv,27,1996,25.1,3,,,,,,,,,0,0,Matches
Bircent Karagaren,bg BUL,"FW,MF",CSKA 1948,30,1992,20.3,4,,,,,,,,,0,0,Matches
Fernando Karanga,br BRA,FW,CSKA Sofia,32,1991,10.1,5,,,,,,,,,0,0,Matches
Bozhidar Katsarov,bg BUL,DF,FK Levski 2005,29,1993,28.9,3,,,,,,,,,0,0,Matches
Martin Kavdanski,bg BUL,DF,Botev Vratsa,36,1987,7.3,0,,,,,,,,,0,0,Matches
Vasil Kazaldzhiev,bg BUL,FW,Slavia Sofia,17,2006,0.1,0,,,,,,,,,0,0,Matches
Sibiry Keita,ml MLI,MF,Slavia Sofia,22,2001,4.3,1,,,,,,,,,0,0,Matches
Hyusein Kelyovluev,bg BUL,FW,Ludogorets,23,2000,0.2,0,,,,,,,,,0,0,Matches
Petar Kepov,bg BUL,MF,Botev Vratsa,21,2002,0.0,0,,,,,,,,,0,0,Matches
Ventsislav Kerchev,bg BUL,DF,Slavia Sofia,26,1997,33.6,1,,,,,,,,,0,0,Matches
Nehemie Kintuntu,cg CGO,MF,Botev Plovdiv,18,2005,0.8,0,,,,,,,,,0,0,Matches
Mario Kirev,bg BUL,GK,Pirin Blagoevgrad,33,1989,1.0,0,,,,,,,,,0,0,Matches
Radoslav Kirilov,bg BUL,"FW,MF",CSKA 1948,31,1992,16.3,3,,,,,,,,,0,0,Matches
Klaidher,br BRA,DF,FK Levski 2005,24,1999,17.3,0,,,,,,,,,0,0,Matches
Lovre Knežević,hr CRO,MF,Etar,25,1998,7.6,0,,,,,,,,,0,0,Matches
Menno Koch,nl NED,DF,CSKA Sofia,29,1994,6.8,0,,,,,,,,,0,0,Matches
Ivan Kokonov,bg BUL,MF,Arda,31,1991,9.1,1,,,,,,,,,0,0,Matches
Aleksandar Kolev,bg BUL,"FW,MF",FK Levski 2005,30,1992,31.6,15,,,,,,,,,3,3,Matches
Krasian Kolev,bg BUL,MF,Botev Plovdiv,19,2004,6.5,1,,,,,,,,,0,0,Matches
Krasian Kolev,bg BUL,MF,PFC Hebar Pazardzhik,19,2004,2.7,1,,,,,,,,,0,0,Matches
