Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches
Dijon Kameri,at AUT,"FW,MF",RB Salzburg,18,2004,5.2,1,17,6,35.3,3.30,1.16,0.06,0.17,,0,0,Matches
Marin Karamarko,hr CRO,"DF,MF",Hartberg,24,1998,11.7,0,9,0,0.0,0.77,0.00,0.00,,,0,0,Matches
Sinan Karweina,de GER,FW,SK Austria Klagenfurt,23,1999,13.0,1,20,4,20.0,1.54,0.31,0.05,0.25,,0,0,Matches
Denso Kasius,nl NED,DF,Rapid Wien,19,2002,7.7,0,11,4,36.4,1.43,0.52,0.00,0.00,,0,0,Matches
Ákos Kecskés,hu HUN,DF,LASK,26,1996,1.8,0,0,0,,0.00,0.00,,,,0,0,Matches
Can Keles,at AUT,"MF,FW",Austria Wien,20,2001,6.5,3,22,6,27.3,3.38,0.92,0.14,0.50,,0,0,Matches
Roman Kerschbaum,at AUT,MF,Rapid Wien,28,1994,21.3,2,27,7,25.9,1.27,0.33,0.07,0.29,,0,0,Matches
Konstantin Kerschbaumer,at AUT,MF,Wolfsberger AC,30,1992,18.7,2,18,8,44.4,0.96,0.43,0.11,0.25,,0,0,Matches
Otar Kiteishvili,ge GEO,"FW,MF",Sturm Graz,26,1996,13.3,6,36,16,44.4,2.70,1.20,0.14,0.31,,1,2,Matches

Maurits Kjærgaard,dk DEN,MF,RB Salzburg,19,2003,17.8,2,30,8,26.7,1.69,0.45,0.07,0.25,,0,0,Matches
Christian Klem,at AUT,DF,Hartberg,31,1991,2.9,0,0,0,,0.00,0.00,,,,0,0,Matches
Marco Knaller,at AUT,GK,SK Austria Klagenfurt,35,1987,2.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Christoph Knasmüllner,at AUT,MF,Rapid Wien,30,1992,5.9,0,7,0,0.0,1.18,0.00,0.00,,,0,0,Matches
Jakob Knollmüller,at AUT,FW,Hartberg,19,2003,0.5,0,0,0,,0.00,0.00,,,,0,0,Matches
Thomas Kofler,at AUT,DF,Hartberg,24,1998,5.2,0,0,0,,0.00,0.00,,,,0,0,Matches
Philipp Köhn,ch SUI,GK,RB Salzburg,24,1998,31.6,0,0,0,,0.00,0.00,,,,0,0,Matches
Sekou Koita,ml MLI,FW,RB Salzburg,22,1999,12.4,6,42,12,28.6,3.38,0.97,0.12,0.42,,1,1,Matches
Karim Konaté,ci CIV,FW,RB Salzburg,18,2004,2.2,3,10,3,30.0,4.62,1.38,0.30,1.00,,0,0,Matches
Mirko Kos,at AUT,GK,Austria Wien,25,1997,0.5,0,0,0,,0.00,0.00,,,,0,0,Matches
Martin Koscelník,sk SVK,"DF,MF",Rapid Wien,27,1995,13.4,0,5,0,0.0,0.37,0.00,0.00,,,0,0,Matches
Henri Koudossou,de GER,"MF,DF",SC Austria Lustenau,22,1999,2.2,0,0,0,,0.00,0.00,,,,0,0,Matches
Efthimis Koulouris,gr GRE,FW,LASK,26,1996,3.9,1,12,4,33.3,3.10,1.03,0.08,0.25,,0,0,Matches
Billy Koumetio,fr FRA,DF,Austria Wien,19,2002,3.6,0,0,0,,0.00,0.00,,,,0,0,Matches
Oliver Kragl,de GER,MF,Ried,32,1990,1.2,0,0,0,,0.00,0.00,,,,0,0,Matches
Dario Kreiker,at AUT,DF,Austria Wien,19,2003,1.0,0,1,0,0.0,1.01,0.00,0.00,,,0,0,Matches
Rene Kriwak,at AUT,FW,Rapid Wien,23,1999,1.1,0,2,0,0.0,1.86,0.00,0.00,,,0,0,Matches
Rene Kriwak,at AUT,FW,Hartberg,23,1999,9.1,2,16,8,50.0,1.76,0.88,0.13,0.25,,0,0,Matches
Luca Kronberger,at AUT,"MF,FW",Ried,20,2002,4.8,0,6,0,0.0,1.25,0.00,0.00,,,0,0,Matches
