Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches
Kian Hansen,dk DEN,DF,Nordsjælland,33,1989,30.0,2,0,0,10,7,0,17,17,14,,,2,Matches
Mads Hansen,dk DEN,FW,Nordsjælland,20,2002,14.4,2,0,0,18,12,6,87,2,8,,,0,Matches
Martin Hansen,dk DEN,GK,Odense,32,1990,25.0,5,0,0,0,9,0,0,0,0,,,0,Matches
Sabil Hansen,no NOR,DF,Randers,16,2005,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Marco Harboe Ramkilde,dk DEN,FW,Aalborg,24,1998,7.5,0,0,0,13,4,4,2,2,7,,,0,Matches
Conrad Harder,dk DEN,FW,Nordsjælland,17,2005,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Sebastian Hausner,dk DEN,DF,AGF,22,2000,2.7,1,0,0,3,1,0,0,2,2,,,0,Matches
Sigurd Hauso Haugen,no NOR,FW,AGF,25,1997,15.2,4,0,0,32,10,16,15,4,2,,,0,Matches
Frederik Hedegaard,dk DEN,FW,Midtjylland,19,2003,3.6,2,0,0,5,2,1,0,0,1,,,0,Matches
Simon Hedlund,se SWE,"FW,MF",Brøndby,29,1993,17.4,4,0,0,15,12,18,36,6,8,,,0,Matches
Henrik Heggheim,no NOR,DF,Brøndby,21,2001,2.0,1,0,0,3,2,0,0,9,1,,,0,Matches
Nicklas Helenius,dk DEN,FW,Aalborg,31,1991,11.2,1,0,0,9,11,4,2,2,2,,,0,Matches
Nicklas Helenius,dk DEN,FW,Silkeborg,31,1991,13.4,0,0,0,6,14,3,0,3,5,,,0,Matches

Mads Hermansen,dk DEN,GK,Brøndby,22,2000,27.0,1,0,0,0,0,0,1,1,0,,,0,Matches
Lucas Hey,dk DEN,DF,Lyngby,19,2003,21.2,4,0,0,19,27,0,3,26,17,,,0,Matches
Viktor Hjorth,dk DEN,DF,Viborg,17,2005,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Malthe Hojholt,dk DEN,MF,Aalborg,21,2001,20.8,2,0,0,35,16,0,5,26,45,,,0,Matches
Charly Horneman,dk DEN,"MF,FW",Odense,18,2004,5.8,1,0,0,12,6,4,4,2,6,,,0,Matches
Benjamin Hvidt,dk DEN,MF,AGF,22,2000,0.3,0,0,0,0,1,0,1,4,0,,,0,Matches
Daniel Høegh,dk DEN,DF,Randers,31,1991,14.7,2,0,0,12,12,0,3,26,9,,,0,Matches
Lucas Høgsberg,dk DEN,FW,Nordsjælland,16,2006,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Frederik Ibsen,dk DEN,GK,Lyngby,25,1997,6.0,0,0,0,0,1,0,0,0,1,,,0,Matches
Frederik Ibsen,dk DEN,DF,Brøndby,22,1999,8.0,0,0,0,11,2,0,0,15,6,,,0,Matches
Mustapha Isah,ng NGA,FW,Randers,18,2004,0.4,0,0,0,0,1,1,0,0,2,,,0,Matches
Gustav Isaksen,dk DEN,"FW,MF",Midtjylland,21,2001,27.0,3,0,0,18,52,5,87,8,7,,,0,Matches
Mihajlo Ivančević,rs SRB,DF,Odense,23,1999,14.4,4,1,1,11,11,1,0,10,10,,,0,Matches
Samson Iyede,ng NGA,"FW,MF",Horsens,24,1998,4.8,2,0,0,14,1,4,5,1,3,,,0,Matches
Alassana Jatta,gm GAM,FW,Viborg,23,1999,7.2,0,0,0,9,7,3,0,1,7,,,0,Matches
Issam Jebali,tn TUN,"MF,FW",Odense,30,1991,11.9,1,0,0,17,20,1,43,4,6,,,0,Matches
Omar Jebali,tn TUN,DF,Odense,22,2000,0.3,0,0,0,0,0,0,0,0,1,,,0,Matches
Elias Jelert,dk DEN,"DF,MF",FC Copenhagen,19,2003,21.1,7,0,0,12,23,1,62,33,21,,,0,Matches
Magnus Jensen,dk DEN,"DF,FW",Horsens,25,1996,23.2,6,0,0,31,5,9,7,25,15,,,0,Matches
Oliver Jensen,dk DEN,MF,Midtjylland,20,2002,19.2,1,0,0,10,9,7,18,11,16,,,0,Matches
Victor Jensen,dk DEN,DF,Midtjylland,18,2003,5.2,1,0,0,1,3,1,4,10,7,,,0,Matches
Ísak Jóhannesson,is ISL,"MF,FW",FC Copenhagen,19,2003,9.3,4,0,0,10,8,2,38,6,6,,,0,Matches
Carl Johansson,se SWE,DF,Randers,28,1994,12.9,6,1,1,7,7,1,1,27,10,,,0,Matches
Karl-Johan Johnsson,se SWE,GK,FC Copenhagen,32,1990,3.9,0,0,0,0,0,0,0,0,0,,,0,Matches
Mikkel Juhl,dk DEN,DF,Lyngby,22,2000,0.0,0,0,0,0,0,0,5,0,0,,,0,Matches

Juninho,br BRA,DF,Midtjylland,26,1995,19.5,4,1,1,17,18,0,3,22,20,,,0,Matches
Renato Junior,br BRA,FW,Viborg,20,2002,7.6,0,0,0,8,16,2,2,10,3,,,0,Matches
