Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches
Mustafa Burak Bozan,,GK,Gaziantep FK,20,2000,3.1,0,0,0,0,1,0,0,0,2,,,0,Matches
Dženan Bureković,ba BIH,MF,Göztepe,26,1995,2.7,1,0,0,3,2,0,24,7,2,,,0,Matches
Adem Büyük,tr TUR,"FW,MF",Yeni Mal'spor,33,1987,18.3,6,0,0,26,68,8,12,7,24,,,0,Matches
Walter Bwalya,cd COD,FW,Yeni Mal'spor,26,1995,1.4,0,0,0,2,3,1,0,0,0,,,0,Matches

Zymer Bytyqi,no NOR,"MF,FW",Konyaspor,24,1996,32.3,3,0,0,19,17,10,208,15,9,,,0,Matches
Torgeir Børven,no NOR,FW,Gaziantep FK,29,1991,2.0,1,0,0,2,2,3,1,1,2,,,0,Matches
Musa Çağıran,tr TUR,DF,Konyaspor,28,1992,5.5,2,0,0,4,2,1,4,6,3,,,1,Matches
Rahman Çağıran,tr TUR,MF,Yeni Mal'spor,26,1995,8.4,2,0,0,17,7,0,14,15,10,,,0,Matches
Oğulcan Çağlayan,tr TUR,"DF,MF",Galatasaray,25,1996,3.7,2,0,0,11,5,0,17,3,4,,,0,Matches
Júnior Caiçara,br BRA,DF,Başakşehir,32,1989,23.9,6,0,0,40,24,3,40,41,41,,,0,Matches
Uğurcan Çakır,tr TUR,GK,Trabzonspor,25,1996,35.9,6,1,1,1,3,0,0,1,0,,,0,Matches
Samba Camara,ml MLI,DF,Sivasspor,28,1992,13.7,1,0,0,9,6,0,2,28,12,,,1,Matches
Tarık Çamdal,tr TUR,DF,Adana Demirspor,30,1991,2.5,0,0,0,4,8,0,5,6,5,,,0,Matches
Burak Çamoğlu,tr TUR,DF,Hatayspor,24,1996,0.5,0,0,0,0,2,0,3,0,1,,,0,Matches
Gustavo Campanharo,br BRA,MF,Kayserispor,29,1992,14.6,7,0,0,27,24,0,23,28,40,,,0,Matches
Gastón Campi,ar ARG,DF,Yeni Mal'spor,30,1991,12.8,1,1,0,15,3,0,1,32,12,,,0,Matches
Erol Can Akdağ,,MF,Giresunspor,24,1996,0.5,1,0,0,2,1,0,0,3,0,,,0,Matches
İrfan Can Eğribayat,tr TUR,GK,Göztepe,23,1998,30.0,3,0,0,2,4,0,0,0,0,,,0,Matches
Efe Can Saçıkara,,MF,Göztepe,17,2004,1.4,0,0,0,1,1,0,6,1,1,,,0,Matches
Daniel Candeias,pt POR,"MF,FW",Alanyaspor,33,1988,17.1,1,0,0,21,10,5,118,11,26,,,0,Matches
Metin Caner Akbayrak,,MF,Giresunspor,17,2004,0.6,0,0,0,0,0,0,0,1,0,,,0,Matches
