Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches
Mark van der Maarel,nl NED,DF,Utrecht,33,1989,8.3,2,0,0,15,5,1,7,5,5,0,1,0,29,4,17,19.0,Matches
Silvester van der Water,nl NED,"FW,MF",Zwolle,26,1996,6.4,0,0,0,8,5,2,19,5,9,0,0,0,31,4,11,26.7,Matches
Anthony Descotte,be BEL,FW,Utrecht,19,2003,2.3,1,0,0,4,0,0,1,1,3,0,0,0,8,0,10,0.0,Matches
Sergiño Dest,us USA,DF,PSV Eindhoven,22,2000,23.5,1,0,0,11,20,0,94,11,21,1,0,0,117,7,14,33.3,Matches
Mitchell Dijks,nl NED,DF,Fortuna Sittard,30,1993,26.0,4,0,0,33,30,0,48,20,33,0,1,0,115,28,18,60.9,Matches
Javairô Dilrosun,nl NED,"FW,MF",Feyenoord,25,1998,3.5,0,0,0,2,12,0,26,4,5,0,0,0,16,0,3,0.0,Matches
Toni Domgjoni,xk KVX,MF,Vitesse,24,1998,7.5,2,0,0,13,5,0,6,8,8,0,0,0,33,16,3,84.2,Matches
Bas Dost,nl NED,FW,NEC Nijmegen,34,1989,5.1,1,0,0,0,3,5,2,1,0,0,0,0,5,48,24,66.7,Matches
Achraf Douiri,nl NED,"DF,FW",Volendam,23,1999,3.8,1,0,0,5,3,1,21,6,10,0,0,0,21,0,3,0.0,Matches
Anastasios Douvikas,gr GRE,FW,Utrecht,23,1999,2.0,0,0,0,5,4,1,2,0,1,0,0,0,4,9,10,47.4,Matches
Bram van Driel,nl NED,MF,Volendam,18,2005,2.6,0,0,0,4,1,0,0,3,7,0,0,0,9,3,1,75.0,Matches
Couhaib Driouech,ma MAR,"FW,MF",Excelsior,21,2002,21.3,4,0,0,28,26,9,82,15,26,0,0,0,144,3,20,13.0,Matches
Joel Drommel,nl NED,GK,PSV Eindhoven,26,1996,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
Ferdy Druijf,nl NED,"FW,MF",Zwolle,25,1998,10.5,2,0,0,12,14,7,6,0,3,0,0,0,24,45,34,57.0,Matches
Deroy Duarte,cv CPV,MF,Fortuna Sittard,24,1999,26.9,4,0,0,25,16,0,2,27,35,0,1,0,153,34,35,49.3,Matches
Lance Duijvestijn,nl NED,"MF,FW",Almere City,24,1999,5.0,1,0,0,9,4,1,8,3,3,0,1,0,37,5,10,33.3,Matches
Lance Duijvestijn,nl NED,"MF,FW",Excelsior,24,1999,12.2,1,0,0,10,10,11,7,10,14,0,0,0,55,11,26,29.7,Matches
Mike van Duinen,nl NED,"FW,MF",Excelsior,31,1991,1.0,1,0,0,2,2,0,2,1,0,0,1,0,5,6,9,40.0,Matches
Oliver Edvardsen,no NOR,"FW,MF",Go Ahead Eag,24,1999,26.1,0,0,0,13,60,7,68,18,12,2,0,0,115,27,20,57.4,Matches

Victor Edvardsen,se SWE,FW,Go Ahead Eag,27,1996,20.3,1,0,0,14,7,7,22,2,4,0,0,0,41,18,74,19.6,Matches
Espen van Ee,nl NED,"MF,FW",Heerenveen,20,2003,4.6,0,1,0,12,8,1,5,5,7,0,0,0,18,6,3,66.7,Matches
Mike Eerdhuijzen,nl NED,DF,Sparta R'dam,23,2000,14.7,1,0,0,9,4,1,11,22,10,0,1,0,46,38,20,65.5,Matches
Mats Egbring,nl NED,DF,Vitesse,16,2006,0.7,0,0,0,2,2,0,1,4,1,0,0,0,10,2,1,66.7,Matches
Carel Eiting,nl NED,MF,Twente,25,1998,8.8,2,0,0,7,6,0,64,8,9,0,0,0,57,3,9,25.0,Matches
Hamza el Dahri,nl NED,"MF,FW",Sparta R'dam,18,2005,0.4,1,0,0,1,0,0,0,0,2,0,0,0,3,1,2,33.3,Matches
