Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches
Edgar Costa,pt POR,"MF,FW",Marítimo,34,1987,14.4,10,0,0,29,53,5,79,6,14,0,0,0,74,2,11,15.4,Matches
Matheus Costa,br BRA,DF,Marítimo,26,1995,21.1,10,0,0,23,19,3,1,24,26,1,0,0,125,50,28,64.1,Matches
Murilo Costa,br BRA,"FW,MF",Gil Vicente FC,26,1994,9.4,2,0,0,8,13,1,37,8,5,0,0,0,53,11,26,29.7,Matches
Diogo Costa Rodrigues,pt POR,MF,Portimonense,21,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
Rui Costa,pt POR,FW,Santa Clara,25,1996,21.8,3,0,0,24,36,16,34,7,9,0,0,0,81,15,44,25.4,Matches
Tomás Costa Silva,pt POR,"FW,MF",Vizela,21,1999,0.4,1,0,0,1,4,0,1,2,1,0,0,0,1,2,1,66.7,Matches
Vitor Costa,br BRA,DF,Marítimo,27,1994,28.4,8,0,0,45,37,2,61,46,63,0,1,0,169,38,21,64.4,Matches
Costinha,pt POR,FW,Santa Clara,28,1992,0.9,1,0,0,3,3,0,5,0,1,0,0,0,5,0,0,,Matches
Filipe Couto,pt POR,MF,Marítimo,27,1994,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Yan Couto,br BRA,"DF,MF",Braga,19,2002,20.0,4,0,0,19,31,2,81,23,19,1,0,0,123,5,13,27.8,Matches
Crespo,pt POR,"MF,FW",Estoril,24,1996,2.9,3,0,0,5,14,1,9,2,4,0,0,0,15,2,6,25.0,Matches
Sandro Cruz,ao ANG,DF,Benfica,20,2001,1.8,0,0,0,5,3,0,3,2,4,0,0,0,12,0,0,,Matches
Crysan,br BRA,FW,Santa Clara,25,1996,15.9,3,1,1,32,32,9,13,7,17,0,0,0,76,38,40,48.7,Matches
Lucas Cunha,br BRA,DF,Gil Vicente FC,24,1997,32.0,10,0,0,27,20,0,2,29,8,0,0,1,137,54,35,60.7,Matches
Sessi D'Almeida,bj BEN,MF,Tondela,25,1995,2.4,0,0,0,5,5,0,0,3,5,0,0,0,18,0,5,0.0,Matches
Oday Dabbagh,ps PLE,"FW,MF",Arouca,22,1998,7.6,6,1,1,17,9,7,6,4,5,0,0,0,25,28,44,38.9,Matches
Julien Dacosta,fr FRA,"DF,MF",Portimonense,25,1996,4.4,4,0,0,9,8,1,6,2,7,0,0,0,12,10,3,76.9,Matches

Renat Dadaşov,az AZE,FW,Tondela,22,1999,16.0,3,0,0,35,50,7,1,4,2,0,0,0,47,34,61,35.8,Matches
Dalberson,br BRA,GK,Famalicão,24,1997,2.0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,1,50.0,Matches
Daniel,br BRA,FW,Tondela,25,1996,17.7,5,0,0,32,53,20,7,2,5,3,0,0,43,59,58,50.4,Matches
Tiago Dantas,pt POR,MF,Tondela,20,2000,12.2,0,0,0,2,11,0,10,11,10,0,0,0,74,0,5,0.0,Matches
Or Dasa,il ISR,"MF,FW",Arouca,22,1998,0.6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
Hernán De La Fuente,ar ARG,"DF,MF",Famalicão,24,1997,10.3,5,0,0,13,12,2,17,15,14,0,0,0,60,4,4,50.0,Matches
Juan Delgado,cl CHI,"DF,FW",Paços,28,1993,21.9,6,0,0,42,57,2,79,19,27,0,0,0,92,19,23,45.2,Matches
Denílson,br BRA,FW,Paços,26,1995,20.1,4,1,0,27,61,12,9,3,2,0,0,0,52,53,77,40.8,Matches
Jordan van der Gaag,nl NED,"MF,FW",B-SAD,22,1999,2.0,2,1,1,7,4,0,1,0,3,0,0,0,3,2,3,40.0,Matches
Lamine Diaby,fr FRA,"MF,FW",Paços,24,1996,2.5,3,0,0,12,12,0,0,10,6,0,0,0,28,15,8,65.2,Matches
Luis Díaz,co COL,"MF,FW",Porto,24,1997,16.6,2,0,0,29,26,8,22,4,5,1,0,0,73,33,30,52.4,Matches
Marcelo Djaló,gw GNB,DF,Boavista,27,1993,0.6,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,,Matches
Matchoi Djaló,pt POR,"MF,FW",Paços,18,2003,7.9,5,0,0,22,43,1,23,2,7,0,0,0,27,3,15,16.7,Matches
Ivan Dolček,hr CRO,"DF,MF",Famalicão,21,2000,2.2,1,0,0,5,1,0,5,5,3,0,0,0,12,0,5,0.0,Matches
Bruno Duarte,br BRA,"FW,MF",Vitória,25,1996,11.2,3,0,0,15,11,5,11,4,4,1,0,0,21,37,68,35.2,Matches
Marcus Edwards,eng ENG,"MF,FW",Sporting CP,22,1998,5.8,1,0,0,10,18,0,19,1,4,0,0,0,20,0,2,0.0,Matches
Marcus Edwards,eng ENG,FW,Vitória,22,1998,14.3,2,1,1,13,29,7,23,2,3,3,0,0,63,3,6,33.3,Matches
Ricardo Esgaio,pt POR,"DF,MF",Sporting CP,28,1993,16.3,7,0,0,34,2,6,54,14,27,0,0,0,76,12,17,41.4,Matches
Tiago Esgaio,pt POR,DF,Arouca,25,1995,10.2,4,0,0,11,10,0,20,12,7,0,0,0,36,16,10,61.5,Matches
Tiago Esgaio,pt POR,DF,Braga,25,1995,0.8,0,0,0,1,1,0,2,1,2,0,0,0,1,0,1,0.0,Matches
Dario Essugo,pt POR,MF,Sporting CP,16,2005,0.5,1,0,0,2,2,0,0,4,1,0,0,0,4,1,2,33.3,Matches
Gonçalo Esteves,pt POR,"DF,FW",Sporting CP,17,2004,1.6,2,0,0,3,6,0,4,0,2,0,0,0,6,0,0,,Matches
Luís Esteves,pt POR,MF,Vitória,23,1998,0.4,1,0,0,2,1,0,3,0,1,0,0,0,4,0,1,0.0,Matches
Paulo Estrela Moreira,pt POR,MF,Portimonense,22,1999,0.1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,,Matches
Oscar Estupiñan,co COL,FW,Vitória,24,1996,24.1,9,1,1,41,19,17,5,2,7,1,0,0,26,120,139,46.3,Matches

Friday Etim,ng NGA,"FW,MF",Vizela,19,2002,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4,33.3,Matches
Stephen Eustáquio,ca CAN,MF,Paços,24,1996,16.4,2,0,0,32,20,1,19,28,23,1,0,0,107,14,10,58.3,Matches
Stephen Eustáquio,ca CAN,MF,Porto,24,1996,1.0,1,0,0,2,2,0,3,3,5,0,0,0,9,4,6,40.0,Matches
Evanilson,br BRA,FW,Porto,21,1999,22.5,2,0,0,30,58,10,4,5,17,0,0,0,68,26,57,31.3,Matches
Ewerton,br BRA,MF,Portimonense,28,1992,8.1,3,0,0,13,13,0,0,8,10,0,0,0,58,9,9,50.0,Matches
Fabiano,br BRA,"DF,MF",Braga,21,2000,15.8,6,0,0,31,28,1,46,23,25,0,0,0,87,11,18,37.9,Matches
Miguel Falé,pt POR,"FW,MF",Braga,17,2004,2.8,0,0,0,8,2,0,9,0,1,0,0,0,17,2,8,20.0,Matches
Zouhair Feddal,ma MAR,DF,Sporting CP,32,1989,11.2,5,0,0,15,3,1,3,12,5,0,0,0,41,20,8,71.4,Matches
Luiz Felipe,br BRA,GK,B-SAD,24,1997,32.0,4,0,0,1,10,0,0,2,0,0,1,0,61,9,2,81.8,Matches
Volnei Feltes,br BRA,DF,Estoril,21,2000,1.7,0,0,0,2,0,0,0,2,0,0,0,0,5,1,3,25.0,Matches
Gedson Fernandes,pt POR,MF,Benfica,22,1999,0.6,0,0,0,2,5,0,0,1,2,0,0,0,4,0,0,,Matches
