Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches
Arnaud Bodart,be BEL,GK,Standard Liège,23,1998,25,25,"2,250",25.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches

Merveille Bokadi,cd COD,"MF,DF",Standard Liège,29,1992,19,17,"1,472",16.4,1,0,1,1,0,0,4,0,2.7,2.7,0.5,3.2,15,49,31,0.06,0.00,0.06,0.06,0.06,0.17,0.03,0.19,0.17,0.19,Matches
Sinan Bolat,tr TUR,GK,Gent,32,1988,25,25,"2,250",25.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Theo Bongonda,cd COD,FW,Genk,25,1995,29,20,"1,887",21.0,10,2,12,9,1,1,2,0,10.8,10.1,3.8,13.8,96,81,156,0.48,0.10,0.57,0.43,0.52,0.52,0.18,0.70,0.48,0.66,Matches
Indy Boonen,be BEL,MF,Oostende,22,1999,5,3,248,2.8,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,7,13,18,0.00,0.00,0.00,0.00,0.00,0.11,0.15,0.26,0.11,0.26,Matches
Sammy Bossut,be BEL,GK,Zulte Waregem,35,1985,24,24,"2,160",24.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Louis Bostyn,be BEL,GK,Zulte Waregem,27,1993,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Benjamin Boulenger,fr FRA,DF,R.F.C. Seraing,31,1990,24,21,"1,729",19.2,0,0,0,0,0,0,9,2,0.7,0.7,0.3,0.9,4,43,4,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.05,0.03,0.05,Matches
Pierre Bourdin,fr FRA,DF,Beerschot,27,1994,25,23,"1,985",22.1,0,1,1,0,0,0,7,0,0.5,0.5,1.4,1.9,18,68,36,0.00,0.05,0.05,0.00,0.05,0.02,0.07,0.09,0.02,0.09,Matches
Frank Boya,cm CMR,MF,Antwerp,25,1996,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Frank Boya,cm CMR,"DF,MF",Zulte Waregem,25,1996,17,13,"1,056",11.7,0,0,0,0,0,0,6,1,0.9,0.9,0.2,1.1,0,30,7,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.09,0.08,0.09,Matches
Christian Brüls,be BEL,MF,Sint-Truiden,32,1988,33,29,"2,532",28.1,7,5,12,3,4,5,3,0,6.0,2.1,6.3,8.4,85,156,129,0.25,0.18,0.43,0.11,0.28,0.21,0.22,0.44,0.07,0.30,Matches
Gianni Bruno,be BEL,FW,Gent,29,1991,8,4,313,3.5,1,0,1,1,0,0,0,0,1.8,1.8,0.2,2.0,7,11,34,0.29,0.00,0.29,0.29,0.29,0.51,0.06,0.56,0.51,0.56,Matches
Jonathan Buatu Mananga,ao ANG,DF,Sint-Truiden,27,1993,9,4,491,5.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,22,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
