Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Ryan Laursen,dk DEN,"DF,MF",Odense,29,1992,2,0,41,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Clint Leemans,nl NED,MF,Viborg,25,1995,29,11,"1,123",12.5,3,3,6,2,1,1,2,0,0.24,0.24,0.48,0.16,0.40,Matches
Lukas Lerager,dk DEN,MF,FC Copenhagen,28,1993,29,23,"2,089",23.2,6,1,7,6,0,0,7,0,0.26,0.04,0.30,0.26,0.30,Matches
Mart Lieder,nl NED,FW,Odense,31,1990,15,1,328,3.6,2,0,2,2,0,0,0,0,0.55,0.00,0.55,0.55,0.55,Matches
Alexander Lind Rasmussen,dk DEN,FW,Silkeborg,19,2002,6,3,230,2.6,1,0,1,1,0,0,0,0,0.39,0.00,0.39,0.39,0.39,Matches
Victor Lind,dk DEN,FW,Midtjylland,18,2003,20,3,511,5.7,3,0,3,3,0,0,1,0,0.53,0.00,0.53,0.53,0.53,Matches
Gift Links,za RSA,"FW,MF",AGF,22,1998,21,11,940,10.4,1,1,2,1,0,0,2,0,0.10,0.10,0.19,0.10,0.19,Matches
Justin Lonwijk,sr SUR,MF,Viborg,21,1999,28,26,"2,135",23.7,3,3,6,3,0,0,6,0,0.13,0.13,0.25,0.13,0.25,Matches
Jonas Lössl,dk DEN,GK,Midtjylland,32,1989,8,8,720,8.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Vágner Love,br BRA,FW,Midtjylland,37,1984,9,0,106,1.2,1,0,1,1,0,0,0,0,0.85,0.00,0.85,0.85,0.85,Matches
Oliver Lund,dk DEN,"DF,MF",AGF,30,1990,26,18,"1,592",17.7,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
Lucas Lund Pedersen,dk DEN,GK,Viborg,21,2000,26,26,"2,340",26.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Valdemar Lund,dk DEN,DF,FC Copenhagen,18,2003,3,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
