Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Marcin Grabowski,pl POL,"MF,DF",Bruk-Bet Termalica Nieciecza,21,2000,17,5,568,6.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Bartłomiej Gradecki,pl POL,GK,Wisła Płock,21,1999,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Albin Granlund,fi FIN,"DF,MF",Stal Mielec,31,1989,17,7,705,7.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Narek Grigoryan,am ARM,MF,Jagiellonia,20,2001,3,0,70,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jędrzej Grobelny,pl POL,GK,Warta Poznań,20,2001,9,9,810,9.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Kamil Grosicki,pl POL,MF,Pogoń Szczecin,33,1988,26,21,"1,825",20.3,9,6,15,9,0,0,3,0,0.44,0.30,0.74,0.44,0.74,Matches
Mateusz Grudzinski,pl POL,FW,Legia Warsaw,21,2000,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Konrad Gruszkowski,pl POL,DF,Wisła Kraków,20,2001,30,28,"2,452",27.2,2,3,5,2,0,0,8,0,0.07,0.11,0.18,0.07,0.18,Matches
Filip Gryglak,pl POL,MF,Śląsk Wrocław,16,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Adrian Gryszkiewicz,pl POL,DF,Górnik Zabrze,21,1999,22,22,"1,969",21.9,1,0,1,1,0,0,9,0,0.05,0.00,0.05,0.05,0.05,Matches
Jan Grzesik,pl POL,"MF,DF",Warta Poznań,26,1994,34,34,"3,060",34.0,3,1,4,3,0,0,3,0,0.09,0.03,0.12,0.09,0.12,Matches
Mateusz Grzybek,pl POL,"DF,MF",Bruk-Bet Termalica Nieciecza,25,1996,26,26,"2,142",23.8,2,3,5,2,0,0,5,0,0.08,0.13,0.21,0.08,0.21,Matches
Marc Gual,es ESP,FW,Jagiellonia,25,1996,7,7,546,6.1,3,0,3,3,0,0,1,0,0.49,0.00,0.49,0.49,0.49,Matches
Alexandre Guedes,pt POR,FW,RKS Raków,27,1994,8,3,284,3.2,0,1,1,0,0,0,1,0,0.00,0.32,0.32,0.00,0.32,Matches
Vladislavs Gutkovskis,lv LVA,FW,RKS Raków,26,1995,29,19,"1,785",19.8,9,3,12,9,0,0,2,0,0.45,0.15,0.61,0.45,0.61,Matches
Valerian Gvilia,ge GEO,MF,RKS Raków,27,1994,21,12,"1,133",12.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Sergiu Hanca,ro ROU,"MF,FW",Cracovia,29,1992,31,29,"2,431",27.0,4,4,8,4,0,1,8,1,0.15,0.15,0.30,0.15,0.30,Matches
Matěj Hanousek,cz CZE,DF,Wisła Kraków,28,1993,31,31,"2,747",30.5,0,5,5,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,Matches
Tom Hateley,eng ENG,MF,Piast Gliwice,31,1989,23,19,"1,724",19.2,0,3,3,0,0,0,4,0,0.00,0.16,0.16,0.00,0.16,Matches
Omran Haydary,af AFG,MF,Lechia Gdańsk,23,1998,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mathias Hebo,dk DEN,MF,Cracovia,25,1995,28,20,"1,908",21.2,2,1,3,2,0,0,3,0,0.09,0.05,0.14,0.09,0.14,Matches
Koki Hinokio,jp JPN,MF,Zagłębie Lubin,20,2001,7,5,446,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches

Koki Hinokio,jp JPN,"MF,FW",Stal Mielec,20,2001,14,9,791,8.8,1,1,2,1,0,0,1,0,0.11,0.11,0.23,0.11,0.23,Matches
Adam Hloušek,cz CZE,"MF,DF",Bruk-Bet Termalica Nieciecza,32,1988,10,6,618,6.9,0,1,1,0,0,0,1,0,0.00,0.15,0.15,0.00,0.15,Matches
Jakub Holúbek,sk SVK,"DF,MF",Piast Gliwice,30,1991,23,17,"1,499",16.7,1,1,2,1,0,0,1,0,0.06,0.06,0.12,0.06,0.12,Matches
Mateusz Hołownia,pl POL,"DF,MF",Legia Warsaw,23,1998,10,10,772,8.6,1,1,2,1,0,0,3,0,0.12,0.12,0.23,0.12,0.23,Matches
