Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches
Ilija Vukotić,me MNE,MF,Boavista,22,1999,20,9,808,9.0,0,1,1,0,0,0,5,0,0.2,0.2,0.7,0.9,4,18,3,0.00,0.11,0.11,0.00,0.11,0.02,0.08,0.10,0.02,0.10,Matches
Luca Waldschmidt,de GER,"FW,MF",Benfica,25,1996,2,2,140,1.6,2,0,2,2,0,0,0,0,1.7,1.7,0.2,1.9,5,8,9,1.29,0.00,1.29,1.29,1.29,1.08,0.12,1.20,1.08,1.20,Matches
Walterson,br BRA,"FW,MF",Moreirense,26,1994,25,17,"1,425",15.8,1,0,1,1,0,0,5,0,2.8,2.8,1.1,3.9,38,42,105,0.06,0.00,0.06,0.06,0.06,0.18,0.07,0.25,0.18,0.25,Matches
Julian Weigl,de GER,MF,Benfica,25,1995,29,27,"2,413",26.8,2,3,5,2,0,0,9,0,1.5,1.5,1.7,3.2,16,177,19,0.07,0.11,0.19,0.07,0.19,0.06,0.06,0.12,0.06,0.12,Matches
Wendell,br BRA,DF,Porto,28,1993,19,10,951,10.6,1,1,2,1,0,0,6,0,0.5,0.5,2.2,2.6,33,47,59,0.09,0.09,0.19,0.09,0.19,0.04,0.20,0.25,0.04,0.25,Matches
Willyan,br BRA,"DF,MF",Portimonense,26,1995,26,26,"2,131",23.7,1,3,4,1,0,0,12,1,1.6,1.6,1.2,2.8,6,64,4,0.04,0.13,0.17,0.04,0.17,0.07,0.05,0.12,0.07,0.12,Matches
Bruno Wilson,pt POR,DF,Vizela,24,1996,17,16,"1,422",15.8,1,0,1,1,0,0,5,0,1.8,1.8,0.0,1.8,9,47,1,0.06,0.00,0.06,0.06,0.06,0.11,0.00,0.11,0.11,0.11,Matches
Cláudio Winck,br BRA,DF,Marítimo,27,1994,30,30,"2,572",28.6,4,1,5,4,0,0,10,2,1.6,1.6,2.0,3.6,64,87,98,0.14,0.03,0.17,0.14,0.17,0.06,0.07,0.13,0.06,0.13,Matches
Xadas,pt POR,"MF,FW",Marítimo,23,1997,25,15,"1,316",14.6,3,2,5,3,0,0,4,0,1.3,1.3,2.0,3.3,20,62,55,0.21,0.14,0.34,0.21,0.34,0.09,0.13,0.22,0.09,0.22,Matches

António Xavier,pt POR,"FW,MF",Estoril,29,1992,21,7,652,7.2,0,0,0,0,0,0,1,0,0.8,0.8,0.4,1.2,14,9,52,0.00,0.00,0.00,0.00,0.00,0.11,0.06,0.16,0.11,0.16,Matches
Roman Yaremchuk,ua UKR,FW,Benfica,25,1995,23,13,"1,068",11.9,6,3,9,6,0,0,2,0,6.9,6.9,3.1,10.0,21,31,94,0.51,0.25,0.76,0.51,0.76,0.58,0.26,0.84,0.58,0.84,Matches
Hugues Zagbayou,ci CIV,MF,Vizela,31,1990,9,6,386,4.3,0,1,1,0,0,0,2,0,0.0,0.0,0.4,0.4,0,15,6,0.00,0.23,0.23,0.00,0.23,0.01,0.09,0.10,0.01,0.10,Matches
Ivan Zlobin,ru RUS,GK,Famalicão,24,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Kévin Zohi,ml MLI,FW,Vizela,24,1996,25,8,826,9.2,0,1,1,0,0,0,2,0,2.2,2.2,0.3,2.5,12,20,50,0.00,0.11,0.11,0.00,0.11,0.24,0.03,0.27,0.24,0.27,Matches
Emilijus Zubas,lt LTU,GK,Arouca,31,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
