Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches
Ole Romeny,nl NED,"FW,MF",Emmen,22,2000,33,29,"2,497",27.7,11,1,12,11,0,0,2,0,8.3,8.3,1.9,10.1,63,47,165,0.40,0.04,0.43,0.40,0.43,0.30,0.07,0.37,0.30,0.37,Matches
Philippe Rommens,be BEL,MF,Go Ahead Eag,24,1997,28,28,"2,478",27.5,3,1,4,3,0,0,2,0,2.1,2.1,4.9,6.9,26,168,37,0.11,0.04,0.15,0.11,0.15,0.08,0.18,0.25,0.08,0.25,Matches
Bart van Rooij,nl NED,DF,NEC Nijmegen,21,2001,33,33,"2,970",33.0,0,0,0,0,0,0,3,0,1.1,1.1,3.4,4.6,62,112,135,0.00,0.00,0.00,0.00,0.00,0.03,0.10,0.14,0.03,0.14,Matches
Rayvien Rosario,cw CUW,FW,Sparta R'dam,18,2004,1,0,1,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Daan Rots,nl NED,"FW,MF",Twente,21,2001,22,5,675,7.5,0,0,0,0,0,0,0,0,1.1,1.1,0.7,1.8,15,29,67,0.00,0.00,0.00,0.00,0.00,0.15,0.10,0.24,0.15,0.24,Matches
Robbin Ruiter,nl NED,GK,Cambuur,35,1987,16,16,"1,440",16.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Gerónimo Rulli,ar ARG,GK,Ajax,30,1992,19,19,"1,710",19.0,0,0,0,0,0,0,1,0,0.0,0.0,0.5,0.5,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Mathew Ryan,au AUS,GK,AZ Alkmaar,30,1992,18,18,"1,620",18.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Pim Saathof,nl NED,"MF,DF",Go Ahead Eag,18,2003,3,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,2,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.13,0.13,Matches
Michal Sadílek,cz CZE,MF,Twente,23,1999,14,12,"1,006",11.2,2,2,4,2,0,0,2,0,2.0,2.0,3.5,5.4,19,65,27,0.18,0.18,0.36,0.18,0.36,0.18,0.31,0.49,0.18,0.49,Matches
Modibo Sagnan,ml MLI,DF,Utrecht,23,1999,23,22,"1,809",20.1,1,0,1,1,0,0,3,0,0.6,0.6,0.0,0.6,10,39,3,0.05,0.00,0.05,0.05,0.05,0.03,0.00,0.03,0.03,0.03,Matches
Osame Sahraoui,no NOR,"FW,MF",Heerenveen,21,2001,15,12,"1,114",12.4,1,5,6,1,0,0,1,0,1.7,1.7,3.6,5.4,67,56,122,0.08,0.40,0.48,0.08,0.48,0.14,0.29,0.43,0.14,0.43,Matches
Ismael Saibari,ma MAR,FW,PSV Eindhoven,21,2001,17,5,417,4.6,0,2,2,0,0,0,0,0,2.2,2.2,1.5,3.7,25,29,61,0.00,0.43,0.43,0.00,0.43,0.48,0.33,0.81,0.48,0.81,Matches

Koki Saito,jp JPN,FW,Sparta R'dam,20,2001,26,19,"1,622",18.0,7,5,12,7,0,0,0,0,3.6,3.6,2.3,5.8,78,52,131,0.39,0.28,0.67,0.39,0.67,0.20,0.13,0.33,0.20,0.33,Matches
Anass Salah-Eddine,nl NED,"MF,DF",Twente,20,2002,14,7,641,7.1,0,0,0,0,0,0,1,0,0.3,0.3,0.8,1.1,14,32,45,0.00,0.00,0.00,0.00,0.00,0.04,0.11,0.15,0.04,0.15,Matches
David Sambissa,ga GAB,"FW,MF",Cambuur,26,1996,18,2,505,5.6,1,1,2,1,0,0,0,0,0.7,0.7,1.4,2.1,34,12,58,0.18,0.18,0.36,0.18,0.36,0.13,0.25,0.38,0.13,0.38,Matches
Shurandy Sambo,nl NED,DF,Sparta R'dam,20,2001,30,28,"2,307",25.6,2,1,3,2,0,0,4,2,1.0,1.0,0.5,1.4,55,99,92,0.08,0.04,0.12,0.08,0.12,0.04,0.02,0.06,0.04,0.06,Matches
