Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches
Jean-Baptiste Leo,fr FRA,"FW,MF",PAS Giannina,27,1996,8.6,0,0,0,,,,,,,,,0,Matches
Aaron Leya Iseka,be BEL,FW,OFI Crete,25,1997,10.9,2,0,0,,,,,,,,,0,Matches
Angelos Liasos,gr GRE,MF,PAS Giannina,23,2000,11.2,5,0,0,,,,,,,,,0,Matches
Georgios Liavas,gr GRE,"MF,DF",Panetolikos,22,2001,22.9,4,0,0,,,,,,,,,0,Matches
Dimitris Limnios,gr GRE,"MF,FW",Panathinaikos,25,1998,3.8,1,0,0,,,,,,,,,0,Matches
Robert Ljubicic,at AUT,MF,AEK Athens,24,1999,3.1,1,0,0,,,,,,,,,0,Matches
Yuri Lodygin,ru RUS,GK,Panathinaikos,33,1990,14.9,0,0,0,,,,,,,,,0,Matches
Alexandros Lolis,gr GRE,FW,PAS Giannina,20,2002,0.5,1,0,0,,,,,,,,,0,Matches
Sebastián Lomonaco,ar ARG,FW,Panetolikos,24,1998,4.3,2,0,0,,,,,,,,,0,Matches
Samuele Longo,it ITA,FW,PAS Lamia,31,1992,4.0,2,0,0,,,,,,,,,0,Matches
Lucão,br BRA,DF,OFI Crete,27,1996,5.8,1,0,0,,,,,,,,,0,Matches
José Luis Valiente,es ESP,MF,Asteras Tripoli,32,1991,2.0,0,0,0,,,,,,,,,0,Matches
Antonio Luna,es ESP,DF,Volos NFC,32,1991,21.1,2,0,0,,,,,,,,,0,Matches
Leftheris Lyratzis,gr GRE,DF,PAOK,23,2000,0.4,0,0,0,,,,,,,,,0,Matches
Leftheris Lyratzis,gr GRE,DF,Asteras Tripoli,23,2000,10.5,2,0,0,,,,,,,,,0,Matches
Theodosios Machairas,gr GRE,FW,Volos NFC,23,2000,3.8,0,0,0,,,,,,,,,0,Matches
Hörður Magnússon,is ISL,DF,Panathinaikos,30,1993,1.8,0,0,0,,,,,,,,,0,Matches

Flosard Malci,al ALB,FW,PAS Lamia,28,1994,12.1,2,0,0,,,,,,,,,0,Matches
Alexandros Malis,gr GRE,DF,Panetolikos,26,1997,20.1,3,0,0,,,,,,,,,0,Matches
Daniel Mancini,ar ARG,MF,Panathinaikos,26,1996,15.4,4,0,0,,,,,,,,,0,Matches
Christos Mandas,gr GRE,GK,OFI Crete,21,2001,2.0,0,0,0,,,,,,,,,0,Matches
Petros Mantalos,gr GRE,"MF,FW",AEK Athens,31,1991,13.4,4,1,0,,,,,,,,,0,Matches
Vassilis Mantzis,gr GRE,FW,Asteras Tripoli,31,1991,9.5,3,0,0,,,,,,,,,0,Matches
Juan Manuel García,ar ARG,FW,Volos NFC,30,1992,23.6,10,1,1,,,,,,,,,0,Matches
Gabriele Marchegiani,it ITA,GK,Atromitos,27,1996,7.0,0,0,0,,,,,,,,,0,Matches
Nikos Marinakis,gr GRE,"DF,MF",OFI Crete,29,1993,9.9,8,0,0,,,,,,,,,0,Matches
Rubén Martínez,es ESP,"MF,FW",PAS Lamia,33,1989,18.8,4,1,0,,,,,,,,,0,Matches
Gelson Martins,pt POR,MF,Olympiacos,28,1995,6.4,2,0,0,,,,,,,,,0,Matches
Jaloliddin Masharipov,uz UZB,MF,Panserraikos,29,1993,4.9,1,0,0,,,,,,,,,0,Matches
Alexandros Maskanakis,gr GRE,MF,Panserraikos,18,2004,3.1,1,0,0,,,,,,,,,0,Matches
