Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Matches
Gonzalo Escalante,ar ARG,MF,Cádiz,29,1993,12.5,36,24,15,20,1,15,29,51.7,14,18,4,14,17,53,26,1,Matches
Sergio Escudero,es ESP,DF,Valladolid,32,1989,16.0,33,19,21,8,4,15,35,42.9,20,26,6,20,26,59,46,0,Matches
Alfonso Espino,uy URU,DF,Cádiz,30,1992,34.7,87,56,55,20,12,48,96,50.0,48,52,11,41,48,135,99,3,Matches
Bernardo Espinosa,co COL,DF,Girona,33,1989,13.6,6,2,2,4,0,3,9,33.3,6,17,10,7,12,18,70,2,Matches
Edu Expósito,es ESP,MF,Espanyol,25,1996,12.9,34,20,16,15,3,13,23,56.5,10,7,0,7,12,46,20,0,Matches
Nicolás Ezequiel Fernández,ar ARG,"MF,DF",Elche,22,2000,5.7,23,12,10,7,6,9,17,52.9,8,7,0,7,5,28,2,1,Matches
Abde Ezzalzouli,ma MAR,"FW,MF",Osasuna,20,2001,16.7,29,19,13,12,4,13,23,56.5,10,20,0,20,4,33,6,0,Matches
Radamel Falcao,co COL,"FW,MF",Rayo Vallecano,36,1986,6.8,4,4,1,3,0,1,8,12.5,7,5,1,4,2,6,10,0,Matches
Fali,es ESP,"DF,MF",Cádiz,28,1993,19.0,27,19,19,8,0,18,29,62.1,11,24,15,9,13,40,70,1,Matches
Mamadou Fall,sn SEN,DF,Villarreal,19,2002,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Matches
Ansu Fati,es ESP,FW,Barcelona,19,2002,15.5,16,9,8,4,4,5,18,27.8,13,19,0,19,5,21,6,0,Matches
Zouhair Feddal,ma MAR,DF,Valladolid,33,1989,4.2,4,2,1,3,0,3,4,75.0,1,9,9,0,5,9,27,0,Matches
Nabil Fekir,fr FRA,MF,Betis,29,1993,10.7,11,5,3,3,5,2,9,22.2,7,6,2,4,1,12,0,0,Matches
Felipe,br BRA,DF,Atlético Madrid,33,1989,2.2,3,2,1,2,0,2,4,50.0,2,2,2,0,0,3,7,0,Matches

Luiz Felipe,it ITA,DF,Betis,25,1997,19.6,34,23,23,11,0,18,34,52.9,16,43,24,19,28,62,106,0,Matches
João Félix,pt POR,"FW,MF",Atlético Madrid,22,1999,7.2,10,7,2,3,5,1,6,16.7,5,1,0,1,3,13,2,0,Matches
Kiko Femenía,es ESP,DF,Villarreal,31,1991,12.6,18,9,14,3,1,13,18,72.2,5,15,6,9,20,38,22,0,Matches
Aitor Fernández,es ESP,GK,Osasuna,31,1991,21.0,1,1,1,0,0,0,1,0.0,1,0,0,0,2,3,17,0,Matches
Álex Fernández,es ESP,"MF,FW",Cádiz,29,1992,17.5,13,7,6,4,3,4,14,28.6,10,14,1,13,8,21,19,0,Matches
Álvaro Fernández,es ESP,GK,Espanyol,24,1998,11.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,2,Matches
Carlos Fernández,es ESP,FW,Real Sociedad,26,1996,7.0,6,4,1,3,2,1,15,6.7,14,1,0,1,1,7,4,0,Matches
Federico Fernández,ar ARG,DF,Elche,33,1989,1.0,1,1,1,0,0,1,1,100.0,0,0,0,0,2,3,12,0,Matches
Joaquín Fernández,es ESP,DF,Valladolid,26,1996,24.0,35,28,20,11,4,19,30,63.3,11,31,22,9,27,62,98,1,Matches
Valery Fernández,es ESP,"MF,DF",Girona,22,1999,10.7,12,6,4,6,2,5,9,55.6,4,8,1,7,10,22,9,1,Matches
