Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Matches
Nino Galović,hr CRO,DF,Arouca,31,1992,16.0,10,6,6,2,2,7,17,41.2,10,10,7,3,16,26,68,0,Matches

Fabrício Garcia,cv CPV,"FW,MF",Estoril,22,2001,3.7,13,10,6,4,3,7,10,70.0,3,5,0,5,1,14,3,0,Matches
Gaspar,ao ANG,DF,Estrela,25,1997,26.1,53,36,29,20,4,32,41,78.0,9,35,19,16,40,93,146,2,Matches
Bruno Gaspar,ao ANG,"MF,DF",Vitória,30,1993,25.4,37,23,21,10,6,19,32,59.4,13,35,4,31,17,54,32,1,Matches
Mory Gbane,ci CIV,MF,Gil Vicente FC,22,2000,21.2,59,36,28,21,10,32,47,68.1,15,33,15,18,27,86,52,1,Matches
André Geraldes,pt POR,"MF,DF",Casa Pia,32,1991,6.7,7,3,6,1,0,3,4,75.0,1,5,1,4,2,9,15,0,Matches
Saviour Godwin,ng NGA,"FW,MF",Casa Pia,26,1996,3.8,5,3,3,1,1,0,1,0.0,1,7,0,7,4,9,0,0,Matches
Eulânio Ângelo Chipela Gomes,gw GNB,MF,Estrela,29,1994,6.5,8,5,1,2,5,2,4,50.0,2,10,1,9,5,13,6,0,Matches
Rodrigo Gomes,pt POR,"MF,DF",Estoril,20,2003,27.2,47,30,21,19,7,19,49,38.8,30,39,6,33,25,72,53,1,Matches
Vítor Gomes,pt POR,MF,Rio Ave,35,1987,3.6,5,4,2,3,0,2,4,50.0,2,7,3,4,3,8,5,0,Matches
Victor Gomez,es ESP,DF,Braga,23,2000,22.6,41,27,18,17,6,31,49,63.3,18,22,6,16,26,67,62,1,Matches
