Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Matches
Ibrahim Cissoko,nl NED,"FW,MF",Toulouse,20,2003,2.7,4,3,3,1,0,1,3,33.3,2,3,0,3,1,5,0,0,Matches
Alexis Claude-Maurice,fr FRA,MF,Nice,25,1998,5.6,12,5,3,6,3,1,5,20.0,4,4,1,3,5,17,7,0,Matches
Jonathan Clauss,fr FRA,DF,Marseille,30,1992,23.0,47,20,22,19,6,26,49,53.1,23,17,3,14,36,83,46,0,Matches
Marcus Coco,fr FRA,"DF,FW",Nantes,27,1996,16.5,43,26,29,10,4,28,60,46.7,32,19,1,18,21,64,38,0,Matches
Maxime Colin,fr FRA,DF,Metz,31,1991,20.4,39,23,25,7,7,16,29,55.2,13,22,7,15,20,59,71,0,Matches
Eray Cömert,ch SUI,DF,Nantes,25,1998,22.2,42,28,28,13,1,28,38,73.7,10,35,18,17,36,78,77,1,Matches
Alois Confais,fr FRA,"MF,FW",Le Havre,26,1996,0.1,2,2,1,1,0,1,1,100.0,0,0,0,0,0,2,0,0,Matches
Joaquín Correa,ar ARG,"FW,MF",Marseille,28,1994,4.8,7,5,4,2,1,0,8,0.0,8,2,0,2,1,8,1,0,Matches
Oscar Cortés,co COL,"FW,MF",Lens,19,2003,0.5,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
David Costa,pt POR,MF,Lens,22,2001,16.6,18,10,5,12,1,10,23,43.5,13,21,4,17,16,34,8,1,Matches

Logan Costa,cv CPV,DF,Toulouse,22,2001,29.4,40,24,31,9,0,15,24,62.5,9,42,27,15,23,63,120,1,Matches
Grégoire Coudert,fr FRA,GK,Brest,24,1999,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Mamadou Coulibaly,fr FRA,MF,Monaco,19,2004,1.3,7,4,2,3,2,3,8,37.5,5,4,0,4,0,7,0,0,Matches
Tanguy Coulibaly,fr FRA,"FW,MF",Montpellier,22,2001,6.9,13,11,8,4,1,4,9,44.4,5,11,1,10,2,15,2,0,Matches
Nicolas Cozza,fr FRA,DF,Nantes,24,1999,9.9,35,23,23,10,2,17,24,70.8,7,7,0,7,14,49,32,0,Matches
Trévis Dago,ci CIV,"FW,MF",Lille,18,2005,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
Thijs Dallinga,nl NED,FW,Toulouse,22,2000,27.9,29,15,6,11,12,9,15,60.0,6,11,4,7,3,32,35,0,Matches
Kevin Danso,at AUT,DF,Lens,24,1998,29.5,24,14,12,11,1,15,30,50.0,15,43,30,13,23,47,115,1,Matches
Dante,br BRA,DF,Nice,39,1983,31.6,62,30,44,16,2,38,52,73.1,14,43,22,21,37,99,77,2,Matches
Raimane Daou,km COM,"DF,MF",Marseille,18,2004,0.3,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,2,0,Matches
Mohammed Daramy,dk DEN,"FW,MF",Reims,21,2002,18.3,10,9,4,4,2,6,16,37.5,10,5,1,4,4,14,4,0,Matches
Achraf Dari,ma MAR,"DF,FW",Brest,24,1999,1.3,1,1,1,0,0,0,2,0.0,2,2,0,2,5,6,9,1,Matches
Jonathan David,ca CAN,FW,Lille,23,2000,29.2,26,15,6,13,7,8,26,30.8,18,16,0,16,9,35,4,0,Matches
Thibault De Smet,be BEL,DF,Reims,25,1998,20.3,56,35,36,16,4,33,59,55.9,26,25,5,20,21,77,51,1,Matches
Romain Del Castillo,fr FRA,FW,Brest,27,1996,27.7,46,29,14,18,14,18,70,25.7,52,33,1,32,9,55,8,0,Matches
Thomas Delaine,fr FRA,"DF,MF",Strasbourg,31,1992,22.7,38,19,29,8,1,20,42,47.6,22,18,2,16,17,55,51,0,Matches
