Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches
Amin Sarr,se SWE,FW,Heerenveen,21,2001,18.2,5,52,18,34.6,2.86,0.99,0.10,0.28,18.4,2,0,2,7.0,5.4,0.10,-2.0,-0.4,Matches
Sávio,br BRA,"FW,MF",PSV Eindhoven,18,2004,1.1,0,1,0,0.0,0.90,0.00,0.00,,21.1,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Kjell Scherpen,nl NED,GK,Vitesse,22,2000,25.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Doke Schmidt,nl NED,DF,Cambuur,30,1992,18.5,0,5,1,20.0,0.27,0.05,0.00,0.00,31.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Ben Scholte,nl NED,MF,Emmen,20,2001,1.8,0,3,1,33.3,1.64,0.55,0.00,0.00,21.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Lasse Schöne,dk DEN,MF,NEC Nijmegen,36,1986,30.8,1,20,3,15.0,0.65,0.10,0.05,0.33,25.9,7,0,0,1.0,1.0,0.05,0.0,0.0,Matches
Youri Schoonderwaldt,nl NED,GK,Sparta R'dam,22,2000,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jorg Schreuders,nl NED,DF,Groningen,17,2004,3.8,0,3,1,33.3,0.80,0.27,0.00,0.00,23.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Perr Schuurs,nl NED,DF,Ajax,22,1999,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Darío Serra,es ESP,FW,Go Ahead Eag,19,2003,0.5,1,2,2,100.0,4.39,4.39,0.50,0.50,12.3,0,0,0,0.5,0.5,0.25,+0.5,+0.5,Matches
