Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches
Emil Ceide,no NOR,"FW,MF",Sassuolo,19,2001,0.6,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,66.7,Matches
Luca Ceppitelli,it ITA,DF,Cagliari,31,1989,16.1,3,0,0,18,12,1,7,25,12,0,0,0,87,40,22,64.5,Matches
Damir Ceter,co COL,FW,Cagliari,23,1997,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Julian Chabot,de GER,DF,Sampdoria,23,1998,5.4,5,0,0,10,11,0,1,9,10,0,0,0,32,20,11,64.5,Matches
Giorgio Chiellini,it ITA,DF,Juventus,36,1984,15.0,2,0,0,15,22,2,1,22,13,0,0,0,78,37,21,63.8,Matches
Federico Chiesa,it ITA,"MF,FW",Juventus,23,1997,9.6,0,0,0,9,16,1,32,4,19,1,0,0,47,0,8,0.0,Matches
Vlad Chiricheș,ro ROU,DF,Sassuolo,31,1989,25.6,4,0,0,28,13,1,0,41,15,0,3,0,165,34,53,39.1,Matches
Riccardo Ciervo,it ITA,"MF,DF",Sampdoria,19,2002,2.5,0,0,0,3,1,0,9,2,3,0,0,0,17,0,3,0.0,Matches
Moustapha Cissé,gn GUI,FW,Atalanta,17,2003,0.4,0,0,0,2,1,2,0,0,0,0,0,0,1,4,2,66.7,Matches
Giorgio Cittadini,it ITA,DF,Atalanta,19,2002,0.0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,,Matches
Ebrima Colley,gm GAM,"FW,MF",Spezia,21,2000,4.4,1,0,0,10,12,2,18,3,1,0,0,0,15,2,5,28.6,Matches
Omar Colley,gm GAM,DF,Sampdoria,28,1992,30.5,6,1,0,25,31,1,1,80,36,0,1,0,182,56,38,59.6,Matches
Andrea Consigli,it ITA,GK,Sassuolo,34,1987,36.9,2,0,0,2,7,0,0,0,0,0,2,0,40,7,1,87.5,Matches

Andrea Conti,it ITA,"DF,MF",Sampdoria,27,1994,2.6,1,0,0,5,4,0,0,7,2,0,0,0,5,0,3,0.0,Matches
Andrea Conti,it ITA,DF,Milan,27,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
Diego Coppola,it ITA,DF,Hellas Verona,17,2003,2.8,0,0,0,2,1,0,0,4,4,0,0,0,18,11,4,73.3,Matches
Joaquín Correa,ar ARG,FW,Inter,26,1994,11.4,2,0,0,15,16,1,1,3,5,0,0,0,32,8,11,42.1,Matches
Lassana Coulibaly,ml MLI,MF,Salernitana,25,1996,25.9,3,0,0,34,49,0,13,22,32,0,0,0,171,22,23,48.9,Matches
Mamadou Coulibaly,sn SEN,MF,Salernitana,22,1999,9.0,1,0,0,16,9,0,8,11,12,1,0,0,74,9,8,52.9,Matches
Alessio Cragno,it ITA,GK,Cagliari,27,1994,35.0,3,0,0,1,8,0,0,1,3,0,1,0,39,3,3,50.0,Matches
Domenico Criscito,it ITA,DF,Genoa,34,1986,18.0,4,0,0,21,27,0,50,39,21,0,0,0,126,18,17,51.4,Matches
Bryan Cristante,it ITA,MF,Roma,26,1995,29.8,9,0,0,40,14,1,14,40,39,0,1,1,190,87,61,58.8,Matches
Domen Črnigoj,si SVN,MF,Venezia,25,1995,20.9,3,0,0,26,12,1,30,24,13,0,1,0,106,25,43,36.8,Matches
Giovanni Crociata,it ITA,FW,Empoli,23,1997,0.2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,Matches
Juan Cuadrado,co COL,"DF,MF",Juventus,33,1988,27.6,9,0,0,19,52,1,134,29,23,0,0,0,162,20,14,58.8,Matches
Mickaël Cuisance,fr FRA,MF,Venezia,21,1999,10.2,2,0,0,12,9,1,18,12,9,0,1,0,57,9,9,50.0,Matches
Patrick Cutrone,it ITA,FW,Empoli,23,1998,15.6,1,0,0,13,16,20,21,5,2,1,0,0,40,9,30,23.1,Matches
Danilo D'Ambrosio,it ITA,DF,Inter,32,1988,11.1,2,0,0,13,5,1,7,8,15,0,0,0,63,18,16,52.9,Matches
Mikkel Damsgaard,dk DEN,"MF,FW",Sampdoria,21,2000,6.4,1,0,0,10,8,0,5,7,13,0,0,0,41,7,5,58.3,Matches
Danilo,br BRA,"DF,MF",Juventus,30,1991,21.0,6,0,0,19,11,0,13,32,26,0,0,0,121,37,24,60.7,Matches
Ebrima Darboe,gm GAM,MF,Roma,20,2001,0.7,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,,Matches
Matteo Darmian,it ITA,DF,Inter,31,1989,16.7,4,0,0,23,18,0,37,19,16,1,0,0,54,18,5,78.3,Matches
Paweł Dawidowicz,pl POL,DF,Hellas Verona,26,1995,13.3,3,0,0,26,14,0,6,21,18,0,1,0,70,22,25,46.8,Matches
Sebastien De Maio,fr FRA,DF,Udinese,34,1987,2.0,0,0,0,3,0,0,0,1,1,0,0,0,16,2,3,40.0,Matches
Tommaso De Nipoti,it ITA,FW,Atalanta,18,2003,0.1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,100.0,Matches
Mattia De Sciglio,it ITA,DF,Juventus,28,1992,13.0,2,1,0,15,7,0,52,10,12,0,1,0,75,16,8,66.7,Matches
Lorenzo De Silvestri,it ITA,DF,Bologna,33,1988,25.5,7,0,0,28,28,3,57,26,14,1,0,0,97,75,46,62.0,Matches
Grégoire Defrel,mq MTQ,FW,Sassuolo,30,1991,15.1,3,0,0,16,18,3,1,4,9,0,0,0,43,9,36,20.0,Matches

Alessandro Deiola,it ITA,MF,Cagliari,25,1995,23.7,5,0,0,45,21,1,12,26,22,0,0,0,149,40,42,48.8,Matches
Filippo Delli Carri,it ITA,DF,Salernitana,22,1999,3.7,1,0,0,2,2,0,3,4,4,0,0,0,18,4,3,57.1,Matches
Merih Demiral,tr TUR,DF,Atalanta,23,1998,21.3,8,0,0,29,16,3,0,58,17,0,1,0,122,85,37,69.7,Matches
Diego Demme,de GER,MF,Napoli,29,1991,7.7,4,0,0,28,8,0,7,9,12,0,0,0,52,4,5,44.4,Matches
Fabio Depaoli,it ITA,DF,Hellas Verona,24,1997,7.8,3,0,0,20,10,4,32,8,7,0,0,0,39,9,12,42.9,Matches
Fabio Depaoli,it ITA,"MF,DF",Sampdoria,24,1997,1.2,1,0,0,8,1,0,3,1,1,0,0,0,4,1,3,25.0,Matches
Mattia Destro,it ITA,FW,Genoa,30,1991,19.4,4,0,0,40,31,19,2,2,4,0,0,0,30,62,110,36.0,Matches
Gerard Deulofeu,es ESP,"FW,MF",Udinese,27,1994,29.1,9,0,0,25,31,33,166,9,6,2,0,0,93,2,17,10.5,Matches
Jacopo Dezi,it ITA,MF,Venezia,29,1992,0.2,0,0,0,0,0,0,3,1,0,0,0,0,1,1,0,100.0,Matches
Samuel Di Carmine,it ITA,FW,Hellas Verona,32,1988,0.4,1,0,0,1,2,0,0,0,0,0,0,0,1,1,2,33.3,Matches
Federico Di Francesco,it ITA,"FW,MF",Empoli,27,1994,15.2,2,0,0,29,27,13,38,9,5,1,0,0,50,2,17,10.5,Matches
Giovanni Di Lorenzo,it ITA,DF,Napoli,27,1993,31.9,3,0,0,37,46,8,49,38,36,1,0,0,168,44,28,61.1,Matches
Francesco Di Mariano,it ITA,FW,Venezia,25,1996,0.7,0,0,0,1,1,0,1,0,1,0,0,0,2,0,1,0.0,Matches
Francesco Di Tacchio,it ITA,MF,Salernitana,31,1990,13.9,3,0,0,24,24,0,7,22,7,0,0,1,85,15,17,46.9,Matches
Amadou Diawara,gn GUI,MF,Roma,24,1997,1.9,0,0,0,5,0,0,0,0,2,0,0,0,12,1,0,100.0,Matches
Brahim Díaz,ma MAR,MF,Milan,21,1999,20.6,4,0,0,22,33,4,11,8,17,0,0,0,108,4,40,9.1,Matches
Mitchell Dijks,nl NED,"DF,FW",Bologna,28,1993,7.7,2,0,0,10,10,0,28,3,6,0,0,0,44,9,4,69.2,Matches
Federico Dimarco,it ITA,DF,Inter,23,1997,15.9,1,0,0,15,14,2,151,19,15,0,0,0,103,8,8,50.0,Matches
Filippo Distefano,it ITA,FW,Fiorentina,17,2003,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,Matches
Koffi Djidji,ci CIV,DF,Torino,28,1992,19.3,6,1,1,25,7,1,17,34,29,0,3,0,113,45,41,52.3,Matches
Berat Djimsiti,al ALB,DF,Atalanta,28,1993,25.1,6,0,0,21,14,1,11,31,24,0,1,1,144,57,27,67.9,Matches
Nicolás Domínguez,ar ARG,MF,Bologna,23,1998,22.4,8,0,0,26,39,0,14,32,45,0,0,0,158,32,29,52.5,Matches
Bartłomiej Drągowski,pl POL,GK,Fiorentina,23,1997,6.2,0,1,0,1,0,0,0,1,0,0,0,0,9,0,0,,Matches
Radu Drăgușin,ro ROU,DF,Sampdoria,19,2002,6.9,1,0,0,6,5,1,4,10,3,0,0,0,49,14,7,66.7,Matches
Radu Drăgușin,ro ROU,DF,Salernitana,19,2002,5.4,1,0,0,3,4,0,0,13,4,0,0,0,28,7,7,50.0,Matches

Denzel Dumfries,nl NED,DF,Inter,25,1996,22.5,3,0,0,32,37,4,36,9,12,2,1,0,89,43,32,57.3,Matches
Alfred Duncan,gh GHA,MF,Fiorentina,28,1993,21.5,3,0,0,22,13,0,44,10,19,0,0,0,92,9,17,34.6,Matches
Paulo Dybala,ar ARG,"FW,MF",Juventus,27,1993,22.9,3,0,0,16,48,6,66,9,13,0,0,0,103,10,19,34.5,Matches
Edin Džeko,ba BIH,FW,Inter,35,1986,27.4,2,0,0,27,39,5,35,4,8,2,0,0,81,84,74,53.2,Matches
Tyronne Ebuehi,ng NGA,DF,Venezia,25,1995,12.6,1,1,0,22,4,1,28,16,12,0,0,0,61,15,18,45.5,Matches
Éderson,br BRA,MF,Salernitana,22,1999,12.7,5,0,0,18,34,1,5,19,18,0,0,0,62,11,17,39.3,Matches
Albin Ekdal,se SWE,MF,Sampdoria,32,1989,18.2,11,1,1,31,39,0,2,29,28,0,0,0,144,24,17,58.5,Matches
Caleb Ekuban,gh GHA,"FW,MF",Genoa,27,1994,19.1,2,0,0,22,32,2,13,9,12,0,0,0,78,36,51,41.4,Matches
Elif Elmas,mk MKD,"FW,MF",Napoli,21,1999,18.0,3,0,0,27,30,2,10,8,15,1,0,0,64,7,22,24.1,Matches
Martin Erlic,hr CRO,DF,Spezia,23,1998,28.6,5,0,0,28,20,0,2,28,16,2,2,0,134,55,40,57.9,Matches
