Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches
Antonio Blanco,es ESP,MF,Cádiz,22,2000,3,2,158,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Lautaro Blanco,ar ARG,"DF,MF",Elche,23,1999,17,9,872,9.7,0,2,2,0,0,0,2,0,0.0,0.0,1.5,1.6,41,28,76,0.00,0.21,0.21,0.00,0.21,0.00,0.16,0.16,0.00,0.16,Matches
Theo Bongonda,cd COD,"MF,FW",Cádiz,26,1995,31,24,"1,938",21.5,4,3,7,3,1,1,2,0,5.2,4.4,3.0,7.4,74,39,105,0.19,0.14,0.33,0.14,0.28,0.24,0.14,0.38,0.20,0.34,Matches
Yassine Bounou,ma MAR,GK,Sevilla,31,1991,25,25,"2,151",23.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Lucas Boyé,ar ARG,FW,Elche,26,1996,35,29,"2,462",27.4,7,2,9,7,0,1,7,1,8.3,7.5,2.9,10.5,58,63,160,0.26,0.07,0.33,0.26,0.33,0.30,0.11,0.41,0.27,0.38,Matches

Martin Braithwaite,dk DEN,"FW,MF",Espanyol,31,1991,31,29,"2,456",27.3,10,2,12,10,0,0,5,1,9.2,9.2,1.4,10.6,32,54,126,0.37,0.07,0.44,0.37,0.44,0.34,0.05,0.39,0.34,0.39,Matches
Darko Brašanac,rs SRB,MF,Osasuna,30,1992,25,9,"1,041",11.6,1,1,2,1,0,0,5,0,1.2,1.2,0.6,1.8,18,49,36,0.09,0.09,0.17,0.09,0.17,0.10,0.05,0.15,0.10,0.15,Matches
Claudio Bravo,cl CHI,GK,Betis,39,1983,12,12,"1,080",12.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ante Budimir,hr CRO,FW,Osasuna,31,1991,31,22,"1,798",20.0,8,0,8,8,0,0,5,0,7.6,7.6,0.7,8.3,23,23,98,0.40,0.00,0.40,0.40,0.40,0.38,0.03,0.41,0.38,0.41,Matches
Manu Bueno,es ESP,MF,Sevilla,18,2004,2,2,149,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,4,1,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches
Santiago Bueno,uy URU,DF,Girona,23,1998,34,34,"3,010",33.4,0,1,1,0,0,0,7,1,1.3,1.3,1.0,2.3,30,148,4,0.00,0.03,0.03,0.00,0.03,0.04,0.03,0.07,0.04,0.07,Matches
Sergio Busquets,es ESP,MF,Barcelona,34,1988,30,28,"2,339",26.0,0,4,4,0,0,0,8,1,0.4,0.4,2.8,3.3,26,254,32,0.00,0.15,0.15,0.00,0.15,0.02,0.11,0.13,0.02,0.13,Matches
Leandro Cabrera,uy URU,DF,Espanyol,31,1991,32,31,"2,669",29.7,0,1,1,0,0,0,10,2,2.3,2.3,1.5,3.7,13,95,8,0.00,0.03,0.03,0.00,0.03,0.08,0.05,0.13,0.08,0.13,Matches
Cala,es ESP,DF,Cádiz,32,1989,3,1,137,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Fernando Calero,es ESP,"DF,MF",Espanyol,26,1995,27,20,"1,611",17.9,0,1,1,0,0,0,6,0,0.7,0.7,0.6,1.3,9,64,4,0.00,0.06,0.06,0.00,0.06,0.04,0.03,0.07,0.04,0.07,Matches
Alexander Callens,pe PER,DF,Girona,30,1992,6,0,120,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,6,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,19,2002,37,21,"2,010",22.3,0,1,1,0,0,0,6,0,0.8,0.8,1.5,2.3,69,165,99,0.00,0.04,0.04,0.00,0.04,0.04,0.07,0.10,0.04,0.10,Matches
