Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Matches
Franco Carboni,it ITA,"DF,FW",Monza,19,2003,0.7,1,1,1,0,0,0,2,0.0,2,3,0,3,1,2,0,0,Matches
Valentin Carboni,ar ARG,"MF,DF",Inter,17,2005,0.3,1,1,0,1,0,1,3,33.3,2,1,0,1,0,1,0,0,Matches
Marco Carnesecchi,it ITA,GK,Cremonese,22,2000,27.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,11,2,Matches
Nicolò Casale,it ITA,DF,Lazio,24,1998,27.1,42,20,28,14,0,22,34,64.7,12,25,17,8,17,59,73,1,Matches
Tommaso Cassandro,it ITA,DF,Lecce,22,2000,0.1,1,1,0,1,0,0,0,,0,1,1,0,0,1,0,0,Matches
Michele Castagnetti,it ITA,MF,Cremonese,32,1989,15.7,46,21,20,24,2,18,54,33.3,36,14,4,10,15,61,22,0,Matches
Gaetano Castrovilli,it ITA,MF,Fiorentina,25,1997,8.0,10,8,1,7,2,2,9,22.2,7,5,1,4,8,18,5,0,Matches
Danilo Cataldi,it ITA,MF,Lazio,27,1994,21.3,25,16,7,15,3,14,40,35.0,26,23,9,14,24,49,33,0,Matches
Pietro Ceccaroni,it ITA,DF,Lecce,26,1995,0.5,0,0,0,0,0,0,0,,0,1,1,0,3,3,2,0,Matches
Federico Ceccherini,it ITA,DF,Hellas Verona,30,1992,15.7,25,19,15,9,1,13,23,56.5,10,17,10,7,19,44,55,0,Matches
Assan Ceesay,gm GAM,FW,Lecce,28,1994,20.1,23,18,7,8,8,9,17,52.9,8,15,2,13,3,26,24,0,Matches
Emil Ceide,no NOR,FW,Sassuolo,20,2001,5.7,5,2,5,0,0,3,5,60.0,2,3,1,2,1,6,0,0,Matches
Zeki Çelik,tr TUR,DF,Roma,25,1997,16.7,42,21,19,21,2,24,41,58.5,17,33,6,27,14,56,36,2,Matches
Michele Cerofolini,it ITA,GK,Fiorentina,23,1999,5.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,Matches
Federico Chiesa,it ITA,"DF,MF",Juventus,24,1997,9.5,22,11,6,6,10,5,14,35.7,9,13,1,12,0,22,1,0,Matches
Vlad Chiricheș,ro ROU,DF,Cremonese,32,1989,10.9,35,20,27,7,1,16,24,66.7,8,36,23,13,22,57,44,0,Matches
Daniel Ciofani,it ITA,FW,Cremonese,37,1985,11.8,6,3,1,2,3,4,7,57.1,3,7,1,6,2,8,10,0,Matches
Tio Cipot,si SVN,"FW,MF",Spezia,19,2003,1.5,12,7,6,3,3,6,8,75.0,2,0,0,0,0,12,2,0,Matches

Patrick Ciurria,it ITA,"DF,MF",Monza,27,1995,30.6,31,18,20,10,1,17,33,51.5,16,24,2,22,7,38,32,0,Matches
Nicolò Cocetta,it ITA,DF,Udinese,18,2003,0.4,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,1,0,Matches
Omar Colley,gm GAM,DF,Sampdoria,29,1992,15.4,17,10,10,7,0,9,12,75.0,3,9,5,4,22,39,69,1,Matches
Lorenzo Colombo,it ITA,FW,Lecce,20,2002,16.8,17,9,1,9,7,6,14,42.9,8,22,0,22,2,19,7,0,Matches
Andrea Colpani,it ITA,MF,Monza,23,1999,10.5,14,9,6,5,3,8,12,66.7,4,14,2,12,3,17,6,0,Matches
Andrea Consigli,it ITA,GK,Sassuolo,35,1987,35.0,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,13,3,Matches
Andrea Conti,it ITA,DF,Sampdoria,28,1994,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Diego Coppola,it ITA,DF,Hellas Verona,18,2003,13.1,25,17,15,10,0,11,24,45.8,13,20,6,14,14,39,38,0,Matches
Alex Cordaz,it ITA,GK,Inter,39,1983,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Joaquín Correa,ar ARG,FW,Inter,27,1994,10.6,12,7,3,6,3,4,15,26.7,11,4,1,3,3,15,0,0,Matches
Alessandro Cortinovis,it ITA,MF,Hellas Verona,21,2001,0.1,1,0,1,0,0,0,0,,0,1,0,1,0,1,0,0,Matches
Lassana Coulibaly,ml MLI,MF,Salernitana,26,1996,32.1,84,50,42,35,7,30,73,41.1,43,35,7,28,25,109,33,2,Matches
Alessio Cragno,it ITA,GK,Monza,28,1994,1.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Bryan Cristante,it ITA,"MF,DF",Roma,27,1995,32.6,113,62,55,49,9,55,90,61.1,35,39,10,29,18,131,53,0,Matches
Domen Črnigoj,si SVN,MF,Salernitana,26,1995,3.3,8,3,0,7,1,1,2,50.0,1,9,1,8,9,17,6,0,Matches
Juan Cuadrado,co COL,"DF,FW",Juventus,34,1988,23.1,50,34,34,13,3,27,65,41.5,38,15,2,13,24,74,32,0,Matches
Mickaël Cuisance,fr FRA,MF,Sampdoria,22,1999,6.9,13,10,7,5,1,5,23,21.7,18,10,0,10,5,18,4,0,Matches
Marco D'Alessandro,it ITA,"DF,FW",Monza,31,1991,3.2,4,4,3,1,0,2,5,40.0,3,2,0,2,1,5,3,0,Matches
Danilo D'Ambrosio,it ITA,DF,Inter,33,1988,8.1,25,17,17,7,1,15,27,55.6,12,12,4,8,10,35,17,0,Matches
Luca D'Andrea,it ITA,FW,Sassuolo,17,2004,3.5,4,0,2,1,1,1,4,25.0,3,2,0,2,1,5,1,0,Matches
Flavius Daniliuc,at AUT,DF,Salernitana,21,2001,24.4,57,29,37,17,3,26,47,55.3,21,30,13,17,29,86,76,0,Matches
Danilo,br BRA,DF,Juventus,31,1991,35.4,92,62,61,23,8,52,73,71.2,21,39,20,19,47,139,114,1,Matches
Matteo Darmian,it ITA,DF,Inter,32,1989,22.5,56,30,29,15,12,31,47,66.0,16,33,5,28,21,77,36,0,Matches
Juan David Cabal,co COL,DF,Hellas Verona,21,2001,4.9,10,6,7,3,0,7,12,58.3,5,8,5,3,13,23,12,0,Matches
Paweł Dawidowicz,pl POL,DF,Hellas Verona,27,1995,18.1,48,31,28,17,3,22,31,71.0,9,14,9,5,23,71,71,0,Matches

Charles De Ketelaere,be BEL,"MF,FW",Milan,21,2001,12.4,26,12,7,14,5,13,30,43.3,17,14,2,12,4,30,9,0,Matches
Manuel De Luca,it ITA,"FW,MF",Sampdoria,24,1998,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
