nation_rank,nation_prev_rank,nation,confederation,points,season
72,72,North Macedonia,UEFA,1351,2023_2024
73,74,Northern Ireland,UEFA,1340,2023_2024
74,73,Montenegro,UEFA,1333,2023_2024
75,75,Bosnia and Herzegovina,UEFA,1332,2023_2024
76,80,Bahrain,AFC,1315,2023_2024
77,79,Honduras,CONCACAF,1311,2023_2024
78,76,Oman,AFC,1309,2023_2024
79,78,Israel,UEFA,1308,2023_2024
80,81,El Salvador,CONCACAF,1307,2023_2024
81,82,Bulgaria,UEFA,1303,2023_2024
82,77,Guinea,CAF,1298,2023_2024
83,89,Bolivia,CONMEBOL,1294,2023_2024
84,83,Gabon,CAF,1293,2023_2024
85,90,Angola,CAF,1281,2023_2024
86,85,Haiti,CONCACAF,1279,2023_2024
87,84,Luxembourg,UEFA,1262,2023_2024
88,86,Curaçao,CONCACAF,1261,2023_2024
89,91,Benin,CAF,1258,2023_2024
90,95,Uganda,CAF,1258,2023_2024
91,87,China,AFC,1254,2023_2024
92,93,Syria,AFC,1253,2023_2024
93,92,Zambia,CAF,1253,2023_2024
94,88,Equatorial Guinea,CAF,1251,2023_2024
95,94,New Zealand,OFC,1247,2023_2024
96,97,Armenia,UEFA,1230,2023_2024
97,99,Belarus,UEFA,1229,2023_2024
98,96,Palestine,AFC,1229,2023_2024
99,104,Mozambique,CAF,1226,2023_2024
100,101,Thailand,AFC,1223,2023_2024
101,100,Trinidad and Tobago,CONCACAF,1213,2023_2024
102,108,Kenya,CAF,1209,2023_2024
103,103,Tajikistan,AFC,1208,2023_2024
104,106,Kosovo,UEFA,1206,2023_2024
105,98,Namibia,CAF,1201,2023_2024
106,102,Kyrgyzstan,AFC,1201,2023_2024
107,107,Guatemala,CONCACAF,1200,2023_2024
108,105,Madagascar,CAF,1197,2023_2024
109,109,Kazakhstan,UEFA,1193,2023_2024
110,113,Tanzania,CAF,1188,2023_2024
111,110,North Korea,AFC,1183,2023_2024
112,112,Mauritania,CAF,1179,2023_2024
113,111,Azerbaijan,UEFA,1173,2023_2024
114,116,Lebanon,AFC,1167,2023_2024
115,114,Guinea-Bissau,CAF,1166,2023_2024
116,115,Vietnam,AFC,1161,2023_2024
117,118,Republic of the Congo,CAF,1160,2023_2024
118,119,Comoros,CAF,1160,2023_2024
119,120,Togo,CAF,1159,2023_2024
120,121,Sudan,CAF,1154,2023_2024
121,117,Libya,CAF,1154,2023_2024
122,123,Estonia,UEFA,1140,2023_2024
123,127,Cyprus,UEFA,1137,2023_2024
124,129,Zimbabwe,CAF,1135,2023_2024
125,122,Sierra Leone,CAF,1134,2023_2024
