squad,#_of_players,90s_played,passes_completed,passes_attempted,pass_completion_%,total_passing_distance,progressive_passing_distance,passes_completed_(short),passes_attempted_(short),pass_completion_%_(short),passes_completed_(medium),passes_attempted_(medium),pass_completion_%_(medium),passes_completed_(long),passes_attempted_(long),pass_completion_%_(long),assists,xag:_exp._assisted_goals,xa:_expected_assists,assists_-_xag,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,league,season
Freiburg,26,34,11641,15652,74,219063,88322,4842,5855,82,4953,5947,83,1504,2875,52,37,34,39,2,333,919,293,73,1229,Bundesliga,2021_2022
Gladbach,26,34,14537,17978,80,251602,93864,6542,7467,87,6272,7138,87,1318,2354,56,38,37,39,0,357,920,250,46,1291,Bundesliga,2021_2022
Greuther Fürth,29,34,10180,13971,72,187432,77521,4297,5107,84,4428,5407,81,1187,2565,46,15,18,19,-3,208,737,150,43,976,Bundesliga,2021_2022
Hertha BSC,36,34,10314,14077,73,185733,76968,4615,5523,83,4151,5105,81,1226,2478,49,23,25,26,-2,271,650,181,56,975,Bundesliga,2021_2022
Hoffenheim,32,34,14323,18141,79,256560,98199,6165,7101,86,6198,7189,86,1564,2758,56,42,46,53,-4,336,1046,343,112,1474,Bundesliga,2021_2022
Köln,26,34,12636,16910,74,245192,96608,4661,5646,82,5989,7240,82,1722,3053,56,40,38,42,1,355,921,319,125,1406,Bundesliga,2021_2022
Leverkusen,29,34,14735,18338,80,258289,94652,6448,7325,88,6309,7258,86,1474,2579,57,58,46,47,11,351,991,296,60,1341,Bundesliga,2021_2022
Mainz 05,28,34,10773,15000,71,190321,80921,4904,5893,83,4358,5557,78,1175,2534,46,36,36,35,0,317,878,255,72,1178,Bundesliga,2021_2022
RB Leipzig,29,34,16163,19771,81,265026,97087,7780,8702,89,6442,7384,87,1269,2311,54,53,49,56,3,329,1144,376,75,1467,Bundesliga,2021_2022
Stuttgart,34,34,13753,17353,79,244827,91553,6094,7015,86,5735,6674,85,1484,2611,56,31,33,37,-2,337,976,239,60,1269,Bundesliga,2021_2022
Union Berlin,28,34,10673,14818,72,204003,82846,4154,5080,81,4744,5871,80,1458,2914,50,33,31,31,1,299,815,248,111,1123,Bundesliga,2021_2022
Wolfsburg,30,34,12596,16439,76,238876,90051,4894,5882,83,5811,6785,85,1568,2774,56,25,33,38,-8,295,862,253,69,1220,Bundesliga,2021_2022
Arouca,29,34,11968,15448,77,223596,87751,5091,5803,87,5095,6052,84,1522,2847,53,23,26,25,-3,268,872,188,51,1022,Primeira_Liga,2022_2023
Benfica,32,34,18706,22135,84,315310,103650,8824,9722,90,7369,8238,89,1784,2710,65,51,61,64,-10,437,1631,469,125,1955,Primeira_Liga,2022_2023
Boavista,30,34,11977,15388,77,221552,81190,5008,5683,88,5261,6165,85,1406,2678,52,35,28,26,6,275,842,204,76,1087,Primeira_Liga,2022_2023
Braga,31,34,14708,18309,80,276959,96649,5882,6640,88,6546,7497,87,1876,3181,59,50,40,41,9,407,1225,326,90,1511,Primeira_Liga,2022_2023
Casa Pia,31,34,10557,13947,75,189632,74859,4660,5367,86,4534,5423,83,1103,2345,47,20,27,27,-7,291,801,179,66,1062,Primeira_Liga,2022_2023
