player,nation,position,squad,age,year_of_birth,matches_played,starts,minutes,90s_played,goals_against,goals_against/90,shots_on_target_against,saves,save_percentage,wins,draws,losses,clean_sheets,clean_sheet_percentage,penalty_kicks_attempted,penalty_kicks_allowed,penalty_kicks_saved,penalty_kicks_missed,save%_(penalty_kicks),league,season
Manuel Riemann,GER,GK,Bochum,33,1988,34,34,"3,060",34.0,72.0,2.12,200.0,128.0,68.0,10.0,5.0,19.0,5.0,14.7,14.0,8.0,3.0,3.0,27.3,Bundesliga,2022_2023
Frederik Rønnow,DEN,GK,Union Berlin,29,1992,29,29,"2,610",29.0,27.0,0.93,119.0,92.0,81.5,16.0,7.0,6.0,11.0,37.9,5.0,5.0,0.0,0.0,0.0,Bundesliga,2022_2023
Marvin Schwäbe,GER,GK,Köln,27,1995,34,34,"3,060",34.0,54.0,1.59,129.0,77.0,61.2,10.0,12.0,12.0,6.0,17.6,5.0,4.0,1.0,0.0,20.0,Bundesliga,2022_2023
Alexander Schwolow,GER,GK,Schalke 04,30,1992,23,22,"2,035",22.6,58.0,2.57,138.0,80.0,60.9,4.0,4.0,14.0,2.0,9.1,4.0,4.0,0.0,0.0,0.0,Bundesliga,2022_2023
Tobias Sippel,GER,GK,Gladbach,34,1988,6,5,510,5.7,12.0,2.12,33.0,21.0,66.7,1.0,1.0,3.0,1.0,20.0,1.0,1.0,0.0,0.0,0.0,Bundesliga,2022_2023
Yann Sommer,SUI,GK,Gladbach,33,1988,10,10,900,10.0,14.0,1.4,60.0,47.0,80.0,4.0,4.0,2.0,3.0,30.0,2.0,2.0,0.0,0.0,0.0,Bundesliga,2022_2023
Yann Sommer,SUI,GK,Bayern Munich,33,1988,19,19,"1,710",19.0,25.0,1.32,55.0,30.0,67.3,11.0,4.0,4.0,5.0,26.3,7.0,7.0,0.0,0.0,0.0,Bundesliga,2022_2023
Kevin Trapp,GER,GK,Eint Frankfurt,32,1990,33,33,"2,970",33.0,51.0,1.55,130.0,80.0,62.3,13.0,10.0,10.0,6.0,18.2,2.0,2.0,0.0,0.0,0.0,Bundesliga,2022_2023
Sven Ulreich,GER,GK,Bayern Munich,33,1988,3,3,270,3.0,2.0,0.67,8.0,5.0,75.0,3.0,0.0,0.0,2.0,66.7,1.0,0.0,1.0,0.0,100.0,Bundesliga,2022_2023
Robin Zentner,GER,GK,Mainz 05,27,1994,26,26,"2,340",26.0,39.0,1.5,109.0,69.0,67.0,9.0,8.0,9.0,7.0,26.9,5.0,3.0,1.0,1.0,25.0,Bundesliga,2022_2023
Michael Zetterer,GER,GK,Werder Bremen,27,1995,2,1,152,1.7,3.0,1.78,14.0,11.0,78.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Bundesliga,2022_2023
Alaa Bellaarouch,MAR,GK,Strasbourg,21,2002,15,15,"1,350",15.0,26.0,1.73,63.0,37.0,63.5,4.0,2.0,9.0,2.0,13.3,4.0,3.0,1.0,0.0,25.0,Ligue_1,2023_2024
Dimitry Bertaud,COD,GK,Montpellier,25,1998,4,4,360,4.0,11.0,2.75,34.0,23.0,67.6,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,Ligue_1,2023_2024
