squad,#_of_players,90s_played,tackles,tackles_won,tackles_(def_3rd),tackles_(mid_3rd),tackles_(att_3rd),dribblers_tackled,dribbles_challenged,%_of_dribblers_tackled,challenges_lost,blocks,shots_blocked,passes_blocked,interceptions,tkl+int,clearances,errors,league,season
Montpellier,31,34,619,379,352,187,80,310,691,44,381,427,161,266,308,927,766,5,Ligue_1,2023_2024
Nantes,35,34,582,352,307,220,55,298,616,48,318,339,102,237,332,914,697,4,Ligue_1,2023_2024
Nice,27,34,538,308,247,212,79,285,505,56,220,389,111,278,292,830,505,10,Ligue_1,2023_2024
Paris S-G,29,34,585,360,254,221,110,283,602,47,319,346,108,238,268,853,509,22,Ligue_1,2023_2024
Reims,29,34,640,392,303,246,91,320,639,50,319,398,133,265,342,982,671,10,Ligue_1,2023_2024
Rennes,29,34,526,311,261,190,75,280,525,53,245,371,106,265,328,854,618,10,Ligue_1,2023_2024
Strasbourg,30,34,620,383,317,240,63,308,572,53,264,406,115,291,347,967,682,13,Ligue_1,2023_2024
Toulouse,26,34,612,358,295,241,76,294,626,47,332,431,148,283,294,906,715,6,Ligue_1,2023_2024
Angers,30,38,619,370,301,253,65,284,659,43,375,384,99,285,423,1042,631,9,Ligue_1,2021_2022
Bordeaux,39,38,642,377,321,243,78,323,741,43,418,357,104,253,454,1096,688,19,Ligue_1,2021_2022
Brest,25,38,682,400,342,249,91,310,655,47,345,369,108,261,469,1151,707,4,Ligue_1,2021_2022
Clermont Foot,28,38,622,361,285,262,75,291,665,43,374,372,99,273,386,1008,527,9,Ligue_1,2021_2022
Lens,28,38,591,359,273,243,75,266,602,44,336,360,99,261,455,1046,616,7,Ligue_1,2021_2022
Lille,26,38,653,359,310,274,69,305,619,49,314,351,111,240,377,1030,672,6,Ligue_1,2021_2022
Lorient,29,38,696,412,337,292,67,383,811,47,428,405,115,290,412,1108,776,9,Ligue_1,2021_2022
Lyon,30,38,632,367,264,270,98,279,614,45,335,385,91,294,396,1028,621,17,Ligue_1,2021_2022
Marseille,27,38,556,319,252,238,66,232,501,46,269,263,65,198,327,883,437,10,Ligue_1,2021_2022
Metz,36,38,711,442,395,275,41,300,649,46,349,452,139,313,507,1218,782,11,Ligue_1,2021_2022
Monaco,27,38,745,435,292,368,85,324,701,46,377,378,103,275,424,1169,487,10,Ligue_1,2021_2022
Montpellier,27,38,625,380,340,210,75,309,723,42,414,363,134,229,356,981,675,13,Ligue_1,2021_2022
Nantes,26,38,685,405,331,262,92,353,774,45,421,419,136,283,415,1100,680,9,Ligue_1,2021_2022
Nice,27,38,610,369,291,253,66,314,590,53,276,392,119,273,441,1051,595,7,Ligue_1,2021_2022
Paris S-G,36,38,607,360,229,276,102,290,599,48,309,330,106,224,303,910,437,14,Ligue_1,2021_2022
Reims,35,38,615,365,328,221,66,286,629,45,343,460,154,306,493,1108,753,7,Ligue_1,2021_2022
Rennes,28,38,546,318,234,215,97,261,550,47,289,347,92,255,315,861,646,12,Ligue_1,2021_2022
Saint-Étienne,39,38,695,397,341,265,89,295,638,46,343,398,93,305,452,1147,563,10,Ligue_1,2021_2022
Strasbourg,26,38,660,392,302,257,101,293,626,46,333,380,93,287,433,1093,563,6,Ligue_1,2021_2022
Troyes,35,38,636,351,351,221,64,285,625,45,340,375,107,268,430,1066,656,8,Ligue_1,2021_2022
Augsburg,29,34,528,319,234,222,72,237,492,48,255,439,133,306,295,823,727,9,Bundesliga,2023_2024
Bayern Munich,30,34,520,323,227,191,102,245,510,48,265,378,81,297,288,808,473,18,Bundesliga,2023_2024
Bochum,25,34,603,366,272,253,78,294,574,51,280,460,142,318,308,911,768,9,Bundesliga,2023_2024
Darmstadt 98,32,34,560,323,303,197,60,285,583,48,298,400,137,263,317,877,707,19,Bundesliga,2023_2024
Dortmund,32,34,548,356,297,201,50,292,557,52,265,431,121,310,251,799,628,12,Bundesliga,2023_2024
Eint Frankfurt,34,34,602,359,282,240,80,293,548,53,255,424,99,325,302,904,704,12,Bundesliga,2023_2024
Freiburg,25,34,546,319,303,175,68,227,463,49,236,436,149,287,272,818,725,7,Bundesliga,2023_2024
Gladbach,27,34,582,337,291,247,44,287,534,53,247,465,168,297,333,915,860,15,Bundesliga,2023_2024
Heidenheim,22,34,601,352,311,225,65,275,591,46,316,463,129,334,302,903,783,5,Bundesliga,2023_2024
Hoffenheim,30,34,517,304,286,185,46,259,541,47,282,413,143,270,357,874,790,12,Bundesliga,2023_2024
Köln,26,34,617,375,330,234,53,342,659,51,317,506,154,352,305,922,766,9,Bundesliga,2023_2024
Leverkusen,24,34,458,277,183,187,88,197,403,48,206,330,72,258,224,682,460,9,Bundesliga,2023_2024
Mainz 05,30,34,572,328,256,253,63,276,526,52,250,442,117,325,346,918,704,3,Bundesliga,2023_2024
RB Leipzig,26,34,538,317,236,240,62,244,487,50,243,444,97,347,240,778,630,12,Bundesliga,2023_2024
Stuttgart,27,34,537,316,222,239,76,253,513,49,260,378,109,269,269,806,619,12,Bundesliga,2023_2024
Union Berlin,30,34,549,352,242,240,67,254,504,50,250,480,137,343,305,854,861,9,Bundesliga,2023_2024
Werder Bremen,30,34,604,351,303,239,62,312,609,51,297,434,153,281,284,888,785,9,Bundesliga,2023_2024
Wolfsburg,28,34,550,303,272,201,77,262,527,49,265,414,99,315,268,818,801,8,Bundesliga,2023_2024
Augsburg,34,34,522,299,251,202,69,232,479,48,247,428,125,303,286,808,755,14,Bundesliga,2022_2023
Bayern Munich,28,34,623,387,263,258,102,287,538,53,251,381,77,304,287,910,477,19,Bundesliga,2022_2023
Bochum,26,34,626,386,301,247,78,310,635,48,325,402,118,284,337,963,776,13,Bundesliga,2022_2023
Dortmund,30,34,580,334,246,241,93,287,551,52,264,382,95,287,298,878,491,9,Bundesliga,2022_2023
Eint Frankfurt,28,34,562,357,244,248,70,265,585,45,320,415,88,327,284,846,687,5,Bundesliga,2022_2023
Freiburg,27,34,498,289,223,211,64,207,451,45,244,375,106,269,325,823,612,10,Bundesliga,2022_2023
Gladbach,27,34,497,275,274,171,52,267,536,49,269,405,104,301,267,764,728,7,Bundesliga,2022_2023
Hertha BSC,32,34,576,344,307,215,54,251,521,48,270,416,132,284,366,942,797,8,Bundesliga,2022_2023
Hoffenheim,31,34,543,323,254,231,58,236,474,49,238,428,119,309,285,828,665,8,Bundesliga,2022_2023
Köln,27,34,615,370,287,263,65,310,666,46,356,423,99,324,372,987,716,5,Bundesliga,2022_2023
Leverkusen,27,34,494,280,242,206,46,236,421,56,185,358,99,259,294,788,599,12,Bundesliga,2022_2023
Mainz 05,27,34,547,341,268,206,73,270,559,48,289,419,98,321,433,980,673,9,Bundesliga,2022_2023
