squad,#_of_players,average_age,possession,matches_played,starts,minutes,90s_played,goals,assists,goals_+_assists,non-penalty_goals,penalty_kicks_made,penalty_kicks_attempted,yellow_cards,red_cards,goals/90,assists/90,goals_+_assists/90,non-penalty_goals/90,npxg_+_xag/90,league,season,xg:_expected_goals,npxg:_non-penalty_xg,xag:_exp._assisted_goals,npxg_+_xag,progressive_carries,progressive_passes,non-penalty_goals_+_assists/90,xg/90,xag/90,xg_+_xag/90,npxg/90
Sparta R'dam,32,27,42.0,34,374,3060,34,30,22.0,52.0,29,1,2,58,3,0,0.0,1.0,0,1.0,Eredivisie,2021_2022,33.0,31.0,22.0,54.0,318.0,1007.0,1.0,0.0,0.0,1.0,0.0
Twente,28,25,51.0,34,374,3060,34,53,33.0,86.0,48,5,6,54,3,1,0.0,2.0,1,2.0,Eredivisie,2021_2022,53.0,49.0,37.0,86.0,512.0,1273.0,2.0,1.0,1.0,2.0,1.0
Utrecht,36,25,48.0,34,374,3060,34,49,34.0,83.0,44,5,6,53,0,1,1.0,2.0,1,2.0,Eredivisie,2021_2022,61.0,57.0,44.0,101.0,525.0,1432.0,2.0,1.0,1.0,3.0,1.0
Vitesse,29,23,52.0,34,374,3060,34,42,27.0,69.0,39,3,4,69,6,1,0.0,2.0,1,2.0,Eredivisie,2021_2022,48.0,46.0,32.0,78.0,529.0,1257.0,1.0,1.0,0.0,2.0,1.0
Willem II,33,24,45.0,34,374,3060,34,30,23.0,53.0,30,0,0,42,6,0,0.0,1.0,0,1.0,Eredivisie,2021_2022,35.0,35.0,25.0,60.0,571.0,1101.0,1.0,1.0,0.0,1.0,1.0
Zwolle,32,25,50.0,34,374,3060,34,26,21.0,47.0,23,3,4,50,2,0,0.0,1.0,0,1.0,Eredivisie,2021_2022,39.0,36.0,29.0,66.0,622.0,1288.0,1.0,1.0,0.0,2.0,1.0
Admira,29,25,45.0,32,352,2880,32,35,19.0,54.0,28,7,8,82,4,1,0.0,1.0,0,1.0,Austrian_Bundesliga,2021_2022,,,,,,,,,,,
Austria Wien,26,24,48.0,32,352,2880,32,44,28.0,72.0,42,2,2,70,2,1,0.0,2.0,1,2.0,Austrian_Bundesliga,2021_2022,,,,,,,,,,,
Hartberg,30,27,51.0,32,352,2880,32,43,27.0,70.0,40,3,4,61,0,1,0.0,2.0,1,2.0,Austrian_Bundesliga,2021_2022,,,,,,,,,,,
LASK,32,25,56.0,32,352,2880,32,44,28.0,72.0,40,4,5,70,5,1,0.0,2.0,1,2.0,Austrian_Bundesliga,2021_2022,,,,,,,,,,,
Rapid Wien,39,24,53.0,32,352,2880,32,48,35.0,83.0,46,2,3,71,3,1,1.0,2.0,1,2.0,Austrian_Bundesliga,2021_2022,,,,,,,,,,,
RB Salzburg,31,22,64.0,32,352,2880,32,76,53.0,129.0,70,6,9,52,0,2,1.0,4.0,2,3.0,Austrian_Bundesliga,2021_2022,,,,,,,,,,,
Ried,26,25,45.0,32,352,2880,32,37,31.0,68.0,36,1,3,53,4,1,0.0,2.0,1,2.0,Austrian_Bundesliga,2021_2022,,,,,,,,,,,
SCR Altach,32,26,43.0,32,352,2880,32,23,13.0,36.0,21,2,3,83,6,0,0.0,1.0,0,1.0,Austrian_Bundesliga,2021_2022,,,,,,,,,,,
SK Austria Klagenfurt,28,25,38.0,32,352,2880,32,41,28.0,69.0,36,5,5,66,11,1,0.0,2.0,1,2.0,Austrian_Bundesliga,2021_2022,,,,,,,,,,,
Sturm Graz,24,24,50.0,32,352,2880,32,61,46.0,107.0,54,7,7,52,2,1,1.0,3.0,1,3.0,Austrian_Bundesliga,2021_2022,,,,,,,,,,,
Wolfsberger AC,24,26,51.0,32,352,2880,32,46,36.0,82.0,42,4,5,57,3,1,1.0,2.0,1,2.0,Austrian_Bundesliga,2021_2022,,,,,,,,,,,
WSG Tirol,28,24,51.0,32,352,2880,32,44,37.0,81.0,41,3,4,77,2,1,1.0,2.0,1,2.0,Austrian_Bundesliga,2021_2022,,,,,,,,,,,
Austria Wien,28,25,57.0,32,352,2880,32,35,25.0,60.0,31,4,7,88,9,1,0.0,1.0,0,1.0,Austrian_Bundesliga,2023_2024,,,,,,,,,,,
Blau-Weiß Linz,25,25,44.0,32,352,2880,32,32,23.0,55.0,28,4,4,69,1,1,0.0,1.0,0,1.0,Austrian_Bundesliga,2023_2024,,,,,,,,,,,
Hartberg,23,24,52.0,32,352,2880,32,47,35.0,82.0,45,2,3,70,7,1,1.0,2.0,1,2.0,Austrian_Bundesliga,2023_2024,,,,,,,,,,,
LASK,30,25,54.0,32,352,2880,32,42,27.0,69.0,38,4,6,72,1,1,0.0,2.0,1,2.0,Austrian_Bundesliga,2023_2024,,,,,,,,,,,
Rapid Wien,31,24,53.0,32,352,2880,32,45,33.0,78.0,37,8,8,69,4,1,1.0,2.0,1,2.0,Austrian_Bundesliga,2023_2024,,,,,,,,,,,
RB Salzburg,30,22,58.0,32,352,2880,32,73,47.0,120.0,71,2,2,54,2,2,1.0,3.0,2,3.0,Austrian_Bundesliga,2023_2024,,,,,,,,,,,
SC Austria Lustenau,30,24,40.0,32,352,2880,32,22,14.0,36.0,20,2,4,67,6,0,0.0,1.0,0,1.0,Austrian_Bundesliga,2023_2024,,,,,,,,,,,
SCR Altach,29,26,43.0,32,352,2880,32,26,15.0,41.0,23,3,3,91,3,0,0.0,1.0,0,1.0,Austrian_Bundesliga,2023_2024,,,,,,,,,,,
SK Austria Klagenfurt,23,26,48.0,32,352,2880,32,39,27.0,66.0,36,3,4,66,0,1,0.0,2.0,1,1.0,Austrian_Bundesliga,2023_2024,,,,,,,,,,,
Sturm Graz,27,24,49.0,32,352,2880,32,55,36.0,91.0,53,2,4,60,6,1,1.0,2.0,1,2.0,Austrian_Bundesliga,2023_2024,,,,,,,,,,,
Wolfsberger AC,28,24,50.0,32,352,2880,32,40,26.0,66.0,34,6,7,77,3,1,0.0,2.0,1,1.0,Austrian_Bundesliga,2023_2024,,,,,,,,,,,
WSG Tirol,27,24,48.0,32,352,2880,32,27,18.0,45.0,25,2,3,74,5,0,0.0,1.0,0,1.0,Austrian_Bundesliga,2023_2024,,,,,,,,,,,
Arouca,29,26,47.0,34,374,3060,34,36,23.0,59.0,31,5,6,79,4,1,0.0,1.0,0,1.0,Primeira_Liga,2022_2023,39.0,35.0,26.0,61.0,400.0,1022.0,1.0,1.0,0.0,1.0,1.0
Benfica,32,26,63.0,34,374,3060,34,78,51.0,129.0,69,9,13,65,3,2,1.0,3.0,2,4.0,Primeira_Liga,2022_2023,87.0,77.0,61.0,138.0,763.0,1955.0,3.0,2.0,1.0,4.0,2.0
Boavista,30,27,48.0,34,374,3060,34,43,35.0,78.0,41,2,4,107,7,1,1.0,2.0,1,1.0,Primeira_Liga,2022_2023,40.0,37.0,28.0,66.0,518.0,1087.0,2.0,1.0,0.0,2.0,1.0
Braga,31,26,54.0,34,374,3060,34,72,50.0,122.0,68,4,6,87,6,2,1.0,3.0,2,2.0,Primeira_Liga,2022_2023,59.0,54.0,40.0,95.0,613.0,1511.0,3.0,1.0,1.0,2.0,1.0
Casa Pia,31,28,42.0,34,374,3060,34,29,20.0,49.0,26,3,4,99,6,0,0.0,1.0,0,1.0,Primeira_Liga,2022_2023,37.0,34.0,27.0,62.0,503.0,1062.0,1.0,1.0,0.0,1.0,1.0
