Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches
Quentin Boisgard,fr FRA,"MF,FW",Lorient,24,1997,25,9,958,10.6,1,1,2,1,0,0,3,0,0.8,0.8,1.4,2.2,18,31,57,0.09,0.09,0.19,0.09,0.19,0.08,0.13,0.21,0.08,0.21,Matches
Charles Boli,fr FRA,"MF,DF",Lens,22,1998,4,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Sven Botman,nl NED,DF,Lille,21,2000,25,25,"2,250",25.0,3,1,4,3,0,0,4,0,1.6,1.6,0.2,1.9,12,79,0,0.12,0.04,0.16,0.12,0.16,0.06,0.01,0.07,0.06,0.07,Matches
Denis Bouanga,ga GAB,"FW,MF",Saint-Étienne,26,1994,34,28,"2,436",27.1,9,6,15,9,0,0,4,1,8.0,8.0,4.9,12.9,79,66,244,0.33,0.22,0.55,0.33,0.55,0.29,0.18,0.48,0.29,0.48,Matches
Hicham Boudaoui,dz ALG,MF,Nice,21,1999,29,21,"1,621",18.0,3,2,5,3,0,0,7,0,1.1,1.1,2.7,3.8,38,47,101,0.17,0.11,0.28,0.17,0.28,0.06,0.15,0.21,0.06,0.21,Matches
Ryad Boudebouz,dz ALG,"MF,FW",Saint-Étienne,31,1990,30,27,"2,252",25.0,3,4,7,2,1,1,2,0,2.3,1.5,3.6,5.1,85,182,138,0.12,0.16,0.28,0.08,0.24,0.09,0.15,0.24,0.06,0.20,Matches
Sofiane Boufal,ma MAR,"FW,MF",Angers,27,1993,29,28,"2,330",25.9,8,4,12,5,3,3,6,0,8.5,6.1,6.4,12.6,127,125,207,0.31,0.15,0.46,0.19,0.35,0.33,0.25,0.58,0.24,0.49,Matches
Farid Boulaya,dz ALG,"MF,FW",Metz,28,1993,24,18,"1,526",17.0,4,2,6,4,0,0,1,1,1.5,1.5,3.5,5.1,50,74,73,0.24,0.12,0.35,0.24,0.35,0.09,0.21,0.30,0.09,0.30,Matches
Ismaël Boura,km COM,DF,Lens,20,2000,5,1,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,2,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Benjamin Bourigeaud,fr FRA,"FW,MF",Rennes,27,1994,38,38,"3,193",35.5,11,12,23,11,0,0,2,0,5.7,5.7,12.3,18.0,47,201,322,0.31,0.34,0.65,0.31,0.65,0.16,0.35,0.51,0.16,0.51,Matches
Redwan Bourles,fr FRA,"MF,FW",Lorient,18,2003,4,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Domagoj Bradarić,hr CRO,DF,Lille,21,1999,15,2,417,4.6,0,0,0,0,0,0,2,0,0.1,0.1,0.7,0.8,11,15,21,0.00,0.00,0.00,0.00,0.00,0.01,0.16,0.17,0.01,0.17,Matches
Bilal Brahimi,dz ALG,MF,Nice,21,2000,11,2,378,4.2,0,0,0,0,0,0,1,0,0.6,0.6,0.9,1.6,25,9,39,0.00,0.00,0.00,0.00,0.00,0.15,0.22,0.37,0.15,0.37,Matches
Bilal Brahimi,dz ALG,FW,Angers,21,2000,9,3,338,3.8,0,1,1,0,0,0,0,0,0.5,0.5,0.9,1.4,19,5,32,0.00,0.27,0.27,0.00,0.27,0.13,0.24,0.37,0.13,0.37,Matches
Lilian Brassier,fr FRA,DF,Brest,21,1999,31,23,"2,263",25.1,1,0,1,1,0,0,4,0,1.1,1.1,0.6,1.7,31,86,22,0.04,0.00,0.04,0.04,0.04,0.04,0.02,0.07,0.04,0.07,Matches
Jimmy Briand,fr FRA,"FW,MF",Bordeaux,35,1985,17,1,226,2.5,2,1,3,1,1,2,1,0,2.2,0.7,1.0,1.6,2,7,23,0.80,0.40,1.19,0.40,0.80,0.89,0.38,1.27,0.26,0.64,Matches
Dylan Bronn,tn TUN,DF,Metz,26,1995,30,28,"2,545",28.3,1,2,3,1,0,0,10,1,1.8,1.8,1.2,3.0,14,58,3,0.04,0.07,0.11,0.04,0.11,0.06,0.04,0.11,0.06,0.11,Matches
Osman Bukari,gh GHA,"FW,MF",Nantes,22,1998,24,10,"1,012",11.2,2,4,6,2,0,0,1,0,1.4,1.4,2.8,4.2,46,20,91,0.18,0.36,0.53,0.18,0.53,0.12,0.25,0.37,0.12,0.37,Matches
Maxime Busi,be BEL,DF,Reims,21,1999,18,13,"1,296",14.4,1,0,1,1,0,0,3,0,0.6,0.6,1.1,1.7,40,60,64,0.07,0.00,0.07,0.07,0.07,0.04,0.07,0.12,0.04,0.12,Matches
Oriol Busquets,es ESP,MF,Clermont Foot,22,1999,9,2,201,2.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,10,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Marcin Bułka,pl POL,GK,Nice,21,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches

Rémy Cabella,fr FRA,"MF,FW",Montpellier,31,1990,5,3,313,3.5,0,0,0,0,0,0,0,0,0.3,0.3,0.6,0.9,18,34,41,0.00,0.00,0.00,0.00,0.00,0.08,0.17,0.25,0.08,0.25,Matches
Jimmy Cabot,fr FRA,DF,Angers,27,1994,24,24,"2,008",22.3,0,5,5,0,0,0,4,0,0.4,0.4,1.7,2.1,92,77,150,0.00,0.22,0.22,0.00,0.22,0.02,0.08,0.09,0.02,0.09,Matches
