Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Vagner Gonçalves,cv CPV,"MF,FW",Radomiak Radom,27,1996,12,6,593,6.6,2,1,3,2,0,0,1,1,0.30,0.15,0.46,0.30,0.46,Matches
Alexander Gorgon,at AUT,MF,Pogoń Szczecin,34,1988,32,25,"2,178",24.2,8,4,12,8,0,0,8,0,0.33,0.17,0.50,0.33,0.50,Matches
Jędrzej Grobelny,pl POL,GK,Warta Poznań,22,2001,25,24,"2,212",24.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Kamil Grosicki,pl POL,MF,Pogoń Szczecin,35,1988,34,34,"2,913",32.4,13,10,23,8,5,7,3,0,0.40,0.31,0.71,0.25,0.56,Matches

Jan Grzesik,pl POL,DF,Radomiak Radom,28,1994,30,25,"2,309",25.7,1,1,2,1,0,0,5,0,0.04,0.04,0.08,0.04,0.08,Matches
Mateusz Grzybek,pl POL,DF,Zagłębie Lubin,27,1996,28,23,"2,021",22.5,1,2,3,1,0,0,7,1,0.04,0.09,0.13,0.04,0.13,Matches
Marc Gual,es ESP,"FW,MF",Legia Warsaw,27,1996,33,22,"1,965",21.8,8,3,11,8,0,0,2,0,0.37,0.14,0.50,0.37,0.50,Matches
Tomasso Guercio,pl POL,MF,Śląsk Wrocław,18,2005,4,2,161,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Matthew Guillaumier,mt MLT,MF,Stal Mielec,25,1998,33,22,"1,979",22.0,2,1,3,2,0,0,3,0,0.09,0.05,0.14,0.09,0.14,Matches
Levent Gülen,ch SUI,DF,Łódzki KS,29,1994,18,16,"1,437",16.0,0,1,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,Matches
