Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Baboucarr Gaye,gm GAM,GK,Lokomotiv Sofia,25,1998,3,3,270,3.0,0,,,0,0,0,1,0,0.00,,,0.00,,Matches
Viktor Genev,bg BUL,DF,Slavia Sofia,34,1988,30,30,"2,582",28.7,2,,,2,0,0,8,0,0.07,,,0.07,,Matches
Daniel Genov,bg BUL,MF,Botev Vratsa,34,1989,35,21,"1,975",21.9,4,,,4,0,0,3,0,0.18,,,0.18,,Matches
Aleksandar Georgiev,bg BUL,MF,FK Levski 2005,25,1997,11,11,918,10.2,0,,,0,0,0,4,0,0.00,,,0.00,,Matches
Evgeni Georgiev,bg BUL,MF,Pirin Blagoevgrad,18,2005,12,0,218,2.4,0,,,0,0,0,3,0,0.00,,,0.00,,Matches
Martin Georgiev,bg BUL,DF,Pirin Blagoevgrad,18,2005,7,0,76,0.8,1,,,1,0,0,0,0,1.18,,,1.18,,Matches
Martin Georgiev,bg BUL,DF,Slavia Sofia,17,2005,25,21,"1,982",22.0,2,,,2,0,0,3,0,0.09,,,0.09,,Matches
Miroslav Georgiev,bg BUL,FW,Beroe,15,2008,1,1,45,0.5,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Miroslav Georgiev,bg BUL,DF,Botev Plovdiv,17,2005,1,1,90,1.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Spas Georgiev,bg BUL,MF,Botev Vratsa,31,1992,31,25,"2,172",24.1,1,,,1,0,0,5,0,0.04,,,0.04,,Matches
Yanko Georgiev,bg BUL,GK,FK Levski 2005,34,1988,29,29,"2,610",29.0,0,,,0,0,0,4,0,0.00,,,0.00,,Matches
Giovanny,br BRA,MF,Loko Plovdiv,25,1997,20,18,"1,589",17.7,7,,,5,2,2,2,0,0.40,,,0.28,,Matches
Santiago Godoy,ar ARG,FW,Beroe,22,2001,10,9,818,9.1,3,,,3,0,0,2,1,0.33,,,0.33,,Matches
Claude Gonçalves,pt POR,MF,Ludogorets,29,1994,27,22,"1,864",20.7,1,,,1,0,0,5,0,0.05,,,0.05,,Matches
Anatoli Gospodinov,bg BUL,GK,Arda,29,1994,33,33,"2,970",33.0,0,,,0,0,0,1,0,0.00,,,0.00,,Matches
Jefferson Granado,co COL,DF,FK Levski 2005,20,2003,10,5,411,4.6,0,,,0,0,0,3,0,0.00,,,0.00,,Matches
Denny Gropper,il ISR,DF,Ludogorets,24,1999,4,2,231,2.6,0,,,0,0,0,1,0,0.00,,,0.00,,Matches
Kelyan Guessoum,fr FRA,DF,Etar,24,1999,6,6,443,4.9,0,,,0,0,0,1,0,0.00,,,0.00,,Matches
Erdenis Gurishta,al ALB,DF,CSKA 1948,28,1995,9,9,757,8.4,0,,,0,0,0,3,0,0.00,,,0.00,,Matches
Chris Hamilton,fr FRA,FW,Pirin Blagoevgrad,23,2000,31,28,"2,484",27.6,4,,,4,0,0,4,0,0.14,,,0.14,,Matches

Henadii Haniev,ua UKR,GK,CSKA 1948,33,1990,4,4,326,3.6,0,,,0,0,0,0,1,0.00,,,0.00,,Matches
Hidajet Hankić,ba BIH,GK,Botev Plovdiv,29,1994,21,21,"1,890",21.0,0,,,0,0,0,2,0,0.00,,,0.00,,Matches
Tobias Heintz,no NOR,MF,CSKA Sofia,25,1998,32,28,"2,401",26.7,6,,,6,0,0,3,0,0.22,,,0.22,,Matches
Marcel Heister,de GER,"DF,MF",Ludogorets,31,1992,6,4,338,3.8,0,,,0,0,0,2,0,0.00,,,0.00,,Matches
Héliton,br BRA,DF,CSKA 1948,27,1995,18,18,"1,618",18.0,2,,,2,0,0,4,1,0.11,,,0.11,,Matches
Roi Herman,il ISR,DF,Botev Plovdiv,23,2000,4,2,147,1.6,0,,,0,0,0,1,0,0.00,,,0.00,,Matches
