Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Björn Kopplin,de GER,DF,Randers,34,1989,27,18,"1,760",19.6,2,2,4,2,0,0,0,0,0.10,0.10,0.20,0.10,0.20,Matches
Mateusz Kowalczyk,pl POL,MF,Brøndby,19,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Thomas Kristensen,dk DEN,DF,AGF,21,2002,6,6,526,5.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Jeppe Kudsk,dk DEN,DF,Randers,20,2003,8,0,100,1.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Willy Kumado,gh GHA,MF,Lyngby,20,2002,27,21,"1,710",19.0,0,3,3,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16,Matches
Kasper Kusk,dk DEN,MF,Silkeborg,31,1991,22,1,404,4.5,0,2,2,0,0,0,1,0,0.00,0.45,0.45,0.00,0.45,Matches
Srđan Kuzmić,si SVN,DF,Viborg,19,2004,21,13,"1,154",12.8,1,0,1,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,Matches
Mathias Kvistgaarden,dk DEN,"FW,MF",Brøndby,21,2002,24,18,"1,550",17.2,8,5,13,8,0,0,4,0,0.46,0.29,0.75,0.46,0.75,Matches
Emile Kwimbia Chambo,cm CMR,FW,Lyngby,17,2006,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mads Larsen,dk DEN,MF,Silkeborg,21,2001,15,5,580,6.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Nicolai Larsen,dk DEN,GK,Silkeborg,32,1991,32,32,"2,847",31.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jordan Larsson,se SWE,FW,FC Copenhagen,26,1997,22,8,907,10.1,3,0,3,3,0,0,4,0,0.30,0.00,0.30,0.30,0.30,Matches
Frederik Lauenborg,dk DEN,MF,Randers,26,1997,4,1,106,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rasmus Lauritsen,dk DEN,DF,Brøndby,27,1996,19,16,"1,454",16.2,1,0,1,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,Matches
Tobias Lauritsen,dk DEN,"MF,FW",Vejle BK,19,2004,22,9,890,9.9,1,0,1,1,0,0,3,1,0.10,0.00,0.10,0.10,0.10,Matches
Lukas Lerager,dk DEN,MF,FC Copenhagen,30,1993,25,13,"1,296",14.4,2,2,4,2,0,0,2,0,0.14,0.14,0.28,0.14,0.28,Matches
Alexander Lind,dk DEN,FW,Silkeborg,21,2002,28,22,"1,763",19.6,10,3,13,10,0,0,3,1,0.51,0.15,0.66,0.51,0.66,Matches

Victor Lind,dk DEN,"FW,MF",Vejle BK,20,2003,12,6,434,4.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Marcus Lindberg,dk DEN,"FW,MF",Hvidovre IF,23,2000,14,11,959,10.7,0,1,1,0,0,0,3,1,0.00,0.09,0.09,0.00,0.09,Matches
Gift Links,za RSA,"MF,DF",AGF,24,1998,27,19,"1,614",17.9,0,5,5,0,0,0,3,0,0.00,0.28,0.28,0.00,0.28,Matches
Lucas Lissens,be BEL,DF,Lyngby,22,2001,13,9,925,10.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Jonas Lössl,dk DEN,GK,Midtjylland,34,1989,26,25,"2,304",25.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Matti Lund Nielsen,dk DEN,MF,Hvidovre IF,35,1988,3,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Lucas Lund Pedersen,dk DEN,GK,Viborg,23,2000,17,17,"1,484",16.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Valdemar Lund,dk DEN,DF,FC Copenhagen,20,2003,5,3,385,4.3,1,0,1,1,0,0,1,0,0.23,0.00,0.23,0.23,0.23,Matches
Magnus Lysholm,dk DEN,MF,Hvidovre IF,21,2002,8,4,418,4.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Sævar Magnússon,is ISL,"MF,FW",Lyngby,23,2000,32,23,"2,041",22.7,5,3,8,5,0,0,3,0,0.22,0.13,0.35,0.22,0.35,Matches
Simon Makienok,dk DEN,FW,Hvidovre IF,32,1990,19,8,912,10.1,2,1,3,2,0,0,1,0,0.20,0.10,0.30,0.20,0.30,Matches
Alasana Manneh,gm GAM,MF,Odense,25,1998,21,16,"1,422",15.8,2,1,3,2,0,0,5,0,0.13,0.06,0.19,0.13,0.19,Matches
Nico Mantl,de GER,GK,Viborg,23,2000,15,15,"1,350",15.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Marrony,br BRA,FW,Midtjylland,24,1999,3,0,36,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jens Martin Gammelby,dk DEN,DF,Silkeborg,28,1995,14,1,240,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Emiliano Martínez,uy URU,MF,Midtjylland,23,1999,16,10,886,9.8,0,2,2,0,0,0,3,0,0.00,0.20,0.20,0.00,0.20,Matches
Erik Marxen,dk DEN,DF,Nordsjælland,32,1990,2,0,36,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Magnus Mattsson,dk DEN,"MF,FW",FC Copenhagen,24,1999,12,11,948,10.5,2,2,4,2,0,0,2,0,0.19,0.19,0.38,0.19,0.38,Matches
Pelle Mattsson,dk DEN,MF,Silkeborg,21,2001,28,27,"2,344",26.0,2,0,2,2,0,0,6,0,0.08,0.00,0.08,0.08,0.08,Matches
Jean-Manuel Mbom,de GER,MF,Viborg,23,2000,24,18,"1,719",19.1,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches
Callum McCowatt,nz NZL,"MF,FW",Silkeborg,24,1999,32,17,"1,489",16.5,5,1,6,5,0,0,0,0,0.30,0.06,0.36,0.30,0.36,Matches
Scott McKenna,sct SCO,DF,FC Copenhagen,26,1996,13,12,"1,064",11.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Birger Meling,no NOR,"DF,MF",FC Copenhagen,28,1994,19,12,"1,042",11.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Kevin Mensah,dk DEN,MF,Brøndby,32,1991,18,7,785,8.7,0,1,1,0,0,0,0,0,0.00,0.11,0.11,0.00,0.11,Matches
Johan Meyer,dk DEN,MF,Lyngby,19,2004,7,0,104,1.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches

Nicholas Mickelson,th THA,"MF,DF",Odense,24,1999,22,15,"1,354",15.0,2,2,4,2,0,0,1,0,0.13,0.13,0.27,0.13,0.27,Matches
Thomas Mikkelsen,dk DEN,GK,Brøndby,39,1983,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Gustav Mortensen,dk DEN,DF,Lyngby,19,2004,3,0,32,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Patrick Mortensen,dk DEN,FW,AGF,34,1989,32,30,"2,732",30.4,13,4,17,10,3,4,1,0,0.43,0.13,0.56,0.33,0.46,Matches
Nils Mortimer,es ESP,FW,Viborg,22,2001,1,0,28,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Nicklas Mouritsen,dk DEN,"MF,DF",Odense,28,1995,23,7,"1,053",11.7,0,1,1,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09,Matches
Marc Muniesa,es ESP,DF,Lyngby,31,1992,10,8,706,7.8,0,1,1,0,0,0,5,0,0.00,0.13,0.13,0.00,0.13,Matches
Lubambo Musonda,zm ZAM,DF,Silkeborg,28,1995,24,13,"1,296",14.4,0,1,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,Matches
Alen Mustafić,ba BIH,MF,Odense,24,1999,4,1,154,1.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Viljar Myhra,no NOR,GK,Odense,27,1996,15,15,"1,350",15.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Tobias Mølgaard,dk DEN,DF,AGF,27,1996,18,17,"1,546",17.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Adamo Nagalo,bf BFA,DF,Nordsjælland,20,2002,31,28,"2,527",28.1,1,0,1,1,0,0,4,0,0.04,0.00,0.04,0.04,0.04,Matches
Noah Nartey,dk DEN,MF,Brøndby,17,2005,9,2,197,2.2,0,1,1,0,0,0,0,0,0.00,0.46,0.46,0.00,0.46,Matches
Sanders Ngabo,dk DEN,MF,Lyngby,19,2004,2,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Yeni Ngbakoto,cd COD,"FW,MF",Vejle BK,31,1992,17,13,"1,026",11.4,2,0,2,2,0,0,2,0,0.18,0.00,0.18,0.18,0.18,Matches
