Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches
Adrien Bongiovanni,be BEL,MF,Charleroi,22,1999,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Victor Boniface,ng NGA,FW,Union SG,21,2000,31,27,"2,220",24.7,7,7,14,7,0,0,2,0,7.9,7.9,4.3,12.1,76,65,215,0.28,0.28,0.57,0.28,0.57,0.32,0.17,0.49,0.32,0.49,Matches
Viktor Boone,be BEL,DF,Union SG,24,1998,1,1,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Indy Boonen,be BEL,"FW,MF",Oostende,23,1999,11,4,389,4.3,1,1,2,1,0,0,1,0,0.8,0.8,0.7,1.4,3,15,37,0.23,0.23,0.46,0.23,0.46,0.17,0.15,0.33,0.17,0.33,Matches
Sammy Bossut,be BEL,GK,Zulte Waregem,36,1985,22,22,"1,980",22.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Louis Bostyn,be BEL,GK,Zulte Waregem,28,1993,12,12,"1,080",12.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mehdi Boukamir,ma MAR,DF,Charleroi,18,2004,10,8,735,8.2,0,0,0,0,0,0,1,1,0.4,0.4,0.0,0.4,3,27,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
Frank Boya,cm CMR,MF,Sint-Truiden,26,1996,31,27,"2,335",25.9,1,0,1,1,0,0,6,0,2.9,2.9,1.5,4.5,22,93,37,0.04,0.00,0.04,0.04,0.04,0.11,0.06,0.17,0.11,0.17,Matches
Dedryck Boyata,be BEL,DF,Club Brugge,31,1990,11,6,548,6.1,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3,48,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Stan Braem,be BEL,"FW,MF",Zulte Waregem,23,1998,16,0,196,2.2,2,0,2,2,0,0,1,0,1.0,1.0,0.8,1.8,2,3,15,0.92,0.00,0.92,0.92,0.92,0.44,0.38,0.82,0.44,0.82,Matches
Christian Brüls,be BEL,"MF,FW",Sint-Truiden,33,1988,18,14,"1,262",14.0,1,3,4,0,1,1,2,0,2.1,1.3,1.7,2.9,36,84,67,0.07,0.21,0.29,0.00,0.21,0.15,0.12,0.27,0.09,0.21,Matches
Christian Brüls,be BEL,"MF,FW",Zulte Waregem,33,1988,15,12,"1,011",11.2,0,2,2,0,0,0,3,1,0.6,0.6,2.0,2.6,33,65,49,0.00,0.18,0.18,0.00,0.18,0.05,0.18,0.23,0.05,0.23,Matches
Gianni Bruno,be BEL,FW,Sint-Truiden,30,1991,30,23,"2,091",23.2,18,3,21,14,4,5,4,0,14.0,10.1,3.3,13.4,40,41,161,0.77,0.13,0.90,0.60,0.73,0.60,0.14,0.74,0.43,0.57,Matches
